id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
101,東京都,八王子市,自転車ヘルメット購入補助,安全,最大2000円,usesBike,SGマーク付ヘルメット購入時に適用（交通安全講座参加要件あり）,令和7年度受付終了・令和8年度要確認,八王子市 道路・交通安全課,https://www.city.hachioji.tokyo.jp/kurashi/life/001/007/003/index.html,TRUE,2026-06-10
102,東京都,八王子市,おむつ専用ごみ袋の無料配布,子育て,ごみ袋 年数冊,hasChildren,3歳未満の子供がいる家庭に指定袋を配布,通年（3歳まで毎年申請）,八王子市 子育て支援課,https://www.city.hachioji.tokyo.jp/kurashi/kosodate/1003588.html,TRUE,2026-04-27
103,東京都,八王子市,居住環境整備補助金,住まい,最大100万円,ownsHome,耐震・バリアフリー・断熱改修などの工事に,令和8年2月28日まで,八王子市 建築指導課,https://www.city.hachioji.tokyo.jp/,TRUE,2026-04-27
104,東京都,八王子市,物価高騰対応子育て手当,子育て,2万円/人,hasChildren,18歳以下の子供1人につき2万円を支給する臨時給付金,令和8年6月30日まで,八王子市 子ども家庭部 給付金係,https://www.city.hachioji.tokyo.jp/,TRUE,2026-04-27
105,東京都,八王子市,省エネ家電買い替え補助,エコ,最大3万円,all,古い冷蔵庫やエアコンを省エネ型に替えると支給,令和8年7月31日まで,八王子市 環境部 省エネ推進課,https://www.city.hachioji.tokyo.jp/,TRUE,2026-04-27
202,東京都,新宿区,民間賃貸住宅家賃助成,住まい,月3万円・最長5年,hasChildren,義務教育修了前の子供がいる世帯対象。年1回10月の2週間募集（抽選）。所得520万円以下,令和7年度は10月15日終了・年1回募集,新宿区 都市計画部 住宅課 居住支援係（03-5273-3567）,https://www.city.shinjuku.lg.jp/seikatsu/file07_02_00001.html,TRUE,2026-05-07
203,東京都,新宿区,東京都特定不妊治療費（先進医療）助成,子育て,先進医療実費の一部,all,保険診療と併用する先進医療部分の助成。実施主体は東京都,通年,東京都福祉局,https://fukushihoken.metro.tokyo.lg.jp/kodomo/kosodate/josei/funin-senshiniryou/index.html,TRUE,2026-05-07
204,東京都,世田谷区,せたがや子育て利用券,子育て,1万円相当,hasChildren,ネウボラ面接受診で交付・2歳の誕生日まで利用可能,通年,世田谷保健所 健康推進課（03-5432-2446）,https://www.city.setagaya.lg.jp/02244/1188.html,TRUE,2026-05-07
206,東京都,世田谷区,高齢者住宅改修費助成,福祉,予防改修最大20万円・設備改修最大37.9万円,hasElderly,65歳以上で要介護未認定（予防改修）・着工前の事前相談必須,通年,世田谷区 高齢福祉課（03-5432-2407）,https://www.city.setagaya.lg.jp/02082/2405.html,TRUE,2026-05-07
207,東京都,練馬区,認可外保育施設保育料補助金,子育て,月最大8万円,hasChildren,認可外保育施設を月160時間以上利用・0-2歳課税世帯の上限。令和7年9月改定,通年（年度更新）,練馬区 保育課 保育サービス推進係（03-5984-1622）,https://www.city.nerima.tokyo.jp/kosodatekyoiku/kodomo/shinshien/youhomusyou/mushoka_ninkagai.html,TRUE,2026-05-07
