id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
601,北海道,札幌市,札幌版次世代住宅補助制度,住まい,プラチナ等級220万円・ゴールド等級180万円,ownsHome,高断熱・高気密の新築住宅に補助・市民税滞納なし,交付申請2026/6/1-2027/3/5,札幌市 都市局住宅課（011-211-2807）,https://www.city.sapporo.jp/toshi/jutaku/10shien/zisedai/zisedaihojo.html,TRUE,2026-05-07
602,北海道,札幌市,再エネ省エネ機器導入補助金,エコ,太陽光2万/kW・蓄電池1.6万/kWh・エネファーム8万・地中熱HP20万,ownsHome,市民で自ら設置,第1回2026/5/7-7/8・第2回9/1-11/4,札幌市 環境エネルギー課（011-700-0699）,https://www.city.sapporo.jp/kankyo/energy/hojo/kiki.html,TRUE,2026-05-07
603,北海道,札幌市,木造住宅耐震改修工事等補助,安全,耐震改修最大140万円・段階改修1段階目80万・2段階目60万,ownsHome,S56/5/31以前築・評点1.0未満,2026/4/1-2026/9/11,札幌市 都市局住宅課（011-211-2807）,https://www.city.sapporo.jp/toshi/k-shido/taishin/mokuzou.html,TRUE,2026-05-07
604,北海道,札幌市,融雪施設設置資金融資あっせん制度,ユニーク,融資限度額300万円・無利子,ownsHome,宅地内に融雪槽・ロードヒーティング設置,2026/4/22-11/30（先着25件程度）,札幌市 雪対策室計画課（011-211-2682）,https://www.city.sapporo.jp/kensetsu/yuki/yuusetsu.html,TRUE,2026-05-07
605,北海道,札幌市,福祉除雪事業,福祉,利用料 課税世帯1万円・非課税5千円・生保無料,hasElderly,70歳以上のみ世帯・重度身体障害1-2級等,冬期前申込,札幌市 地域福祉・生活支援課（011-211-2932）,https://www.city.sapporo.jp/fukushijosetsu/,TRUE,2026-05-07
606,北海道,札幌市,子ども医療費助成,子育て,保険診療の自己負担を助成（初診580円のみ自己負担）,hasChildren,18歳到達後最初の3/31まで,随時,札幌市 区役所保健福祉課福祉助成係,https://www.city.sapporo.jp/hoken-iryo/iryojosei/nyuyoji.html,TRUE,2026-05-07
607,北海道,札幌市,生ごみ堆肥化器材購入助成（非電動）,エコ,上限2000円（1世帯2個まで）,all,市内在住,2025/4/17-2026/2/28（先着）,札幌市 環境局,https://www.city.sapporo.jp/seiso/gomi/namagomi/namagomi_taihi03.html,TRUE,2026-05-07
608,北海道,札幌市,札幌市住宅エコリフォーム補助制度,住まい,要確認,ownsHome,既存住宅の省エネ・バリアフリー改修,要確認,札幌市 都市局住宅課（011-211-2807）,https://www.city.sapporo.jp/toshi/jutaku/03reform/eco/eco.html,TRUE,2026-05-07
609,宮城県,仙台市,若年・子育て世帯住み替え支援事業,住まい,通常型25万円（子2人以上+5万円）・空き家活用型最大50万円,hasChildren,39歳以下夫婦・子育て世帯の戸建取得,通常型 第1回令和8年6/1-8/31・第2回10/1-1/8,仙台市 住宅政策課（022-214-8330）,https://www.city.sendai.jp/jutakutaisaku/kosodate/shien.html,TRUE,2026-05-07
610,宮城県,仙台市,せんだい健幸省エネ住宅補助金（部分改修）,エコ,窓10万円・床壁屋根30万円・LED5万円（上限）,ownsHome,住宅断熱改修費用,令和8年6/1-6/10・9/1-9/10・12/1-12/10,仙台市 脱炭素政策課・せんだいエコトク事務局（022-393-7951）,https://www.city.sendai.jp/ondanka/kodannetsu/kaisyuhozyo.html,TRUE,2026-05-07
611,宮城県,仙台市,家庭向けV2H充放電設備設置費補助金,エコ,対象経費の1/3・上限20万円,ownsHome,太陽光連携V2H設置費,令和8年5/1-12/15（先着順）,仙台市 脱炭素政策課（022-214-8682）,https://www.city.sendai.jp/kankyo/energyjiritsu/v2h.html,TRUE,2026-05-07
612,宮城県,仙台市,高齢者世帯住宅改造費助成,福祉,対象工事費の3/4・上限60万円,hasElderly,65歳以上世帯の手すり・段差解消等,工事着工前要相談,仙台市 高齢企画課（022-214-8168）,https://www.city.sendai.jp/hokatsushien/kurashi/kenkotofukushi/korenokata/sumai/shiensedo/kaizohi.html,TRUE,2026-05-07
613,宮城県,仙台市,仙台市第3子以降小学校入学祝金,子育て,要確認,hasChildren,第3子以降の小学校入学を祝う給付金,令和7年度は5/31まで（年度ごと）,仙台市 こども支援給付課,https://www.city.sendai.jp/kodomo-kyufu/dai3si_nyuugakuiwaikinn.html,TRUE,2026-05-07
614,宮城県,仙台市,生ごみたい肥化容器・電気式生ごみ処理機購入費補助金,エコ,たい肥化容器2000円/基（2基まで）・電気式は購入額3/5・上限3万円,all,家庭の生ごみ減量機器,要確認,仙台市 資源循環推進課,https://www.city.sendai.jp/shigenkasuishin/kurashi/machi/genryo/genryo/namagomi.html,TRUE,2026-05-07
615,宮城県,仙台市,仙台市ブロック塀等除却工事補助金,安全,工事費の一部補助,ownsHome,通学路沿い等の危険ブロック塀撤去,要確認,仙台市 建築防災課,https://www.city.sendai.jp/kenchikubosai/kurashi/anzen/saigaitaisaku/jishintsunami/taisaku/kofu.html,TRUE,2026-05-07
616,宮城県,仙台市,物価高対応子育て応援手当,生活支援,要確認,hasChildren,物価高騰下の子育て世帯への給付金,要確認,仙台市 こども支援給付課,https://www.city.sendai.jp/kodomo-kyufu/kosodateouenteate.html,TRUE,2026-05-07
617,千葉県,千葉市,住宅用設備等脱炭素化促進事業補助金,エコ,太陽光最大4.5万円・蓄電池7万円・窓断熱最大8万円・ZEH+10万円・エネファーム10万円,ownsHome,太陽光・蓄電池・断熱窓等の住宅用設備導入,令和8年5/1-令和9年1/29,千葉市 脱炭素推進課（043-245-5185）,https://www.city.chiba.jp/kankyo/kankyohozen/datsutanso/renewable-energy-hojo.html,TRUE,2026-05-07
618,千葉県,千葉市,団地住替え支援事業（子育て世帯）,子育て,最大30万円,hasChildren,高経年団地への子育て世帯転居,令和8年度分は5月中旬公開予定,千葉市 住宅政策課（043-245-5849）,https://www.city.chiba.jp/toshi/kenchiku/jutakuseisaku/kosodatesetaisumikaeshien.html,TRUE,2026-05-07
619,千葉県,千葉市,自転車ヘルメット購入補助,安全,一律2000円割引,usesBike,高校生年代のヘルメット購入,令和9年2/14（予算上限まで）,千葉市 地域安全課（043-245-5148）,https://www.city.chiba.jp/shimin/shimin/chiikianzen/helmethojyo.html,TRUE,2026-05-07
620,千葉県,千葉市,高齢者おむつ給付事業,福祉,月額4000-8000円相当（市が9割負担）,hasElderly,在宅要介護高齢者へ紙おむつ現物給付,通年（要介護認定期間内）,千葉市 各区高齢障害支援課,https://www.city.chiba.jp/hokenfukushi/koreishogai/korei/diaper.html,TRUE,2026-05-07
621,千葉県,千葉市,危険ブロック塀等改善補助事業,安全,撤去最大18万円・フェンス設置最大15万円,ownsHome,通学路沿いの危険な塀の撤去・改修,申請年度の2月末日までに実績報告,千葉市 建築指導課・住宅供給公社（043-301-6342）,https://www.city.chiba.jp/toshi/kenchiku/shido/blockhojo.html,TRUE,2026-05-07
622,千葉県,千葉市,重度障害者住宅改造費助成,福祉,上限70万円（所得により助成率変動）,all,重度障害者の自宅バリアフリー化,要事前相談,千葉市 障害者自立支援課（043-245-5175）,https://www.city.chiba.jp/hokenfukushi/koreishogai/jiritsu/220319_shogaishajutakukaizo.html,TRUE,2026-05-07
