id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1051,千葉県,船橋市,令和8年度太陽光発電・省エネ補助金（住宅向け）,エコ,1kWあたり1.5万円（上限6万円）〜最大25万円,ownsHome,太陽光・エネファーム・蓄電池・EV・V2H等の設備導入費を補助。蓄電システムまたはHEMS併設必須。,2026-05-01〜2027-02-26（先着順）,環境政策課 047-436-2465,https://www.city.funabashi.lg.jp/machi/kankyou/004/p035670.html,TRUE,2026-05-11
1052,千葉県,船橋市,令和8年度親世帯・子育て世帯近居同居支援事業,子育て,10万円,hasChildren,18歳以下の子どもがいる子育て世帯が親世帯と近居（1.2km以内）または同居するための住宅取得に補助。,2026-04-01〜2027-03-31転居分,住宅政策課 047-436-2712,https://www.city.funabashi.lg.jp/machi/juutaku/005/p000000.html,TRUE,2026-05-11
1053,千葉県,市川市,市川市スマートハウス関連設備導入費補助金,エコ,太陽光1kWあたり5万円（上限22.5万円）〜最大25万円,ownsHome,太陽光発電・エネファーム・蓄電池・EV・V2H等の設備導入費を補助。市内事業者施工が条件。,2026-05-07〜2027-02-26（先着順）,総合環境課 047-712-5782,https://www.city.ichikawa.lg.jp/env01/1111000130.html,TRUE,2026-05-11
1054,千葉県,市川市,市川市子育て世帯同居・近居スタート応援補助金,子育て,詳細は担当課確認,hasChildren,子育て世帯とその祖父母世帯が同居または近居（直線1.2km以内・同一小学校区）を開始するための住居購入等費用を助成。,令和8年度分は要問合せ,こども部子育て給付課,https://www.city.ichikawa.lg.jp/chi01/0000464632.html,TRUE,2026-05-11
1055,千葉県,松戸市,住宅用省エネルギー設備等設置費補助金,エコ,太陽光1kWあたり2万円（上限6万円）・蓄電池上限7万円・エネファーム上限10万円,ownsHome,太陽光発電・蓄電池・エネファーム・断熱窓・電動バイク・EVなど幅広い設備の導入費を補助。,2026-04-01〜2027-02-26（先着順）,環境政策課 047-710-0243,https://www.city.matsudo.chiba.jp/kurashi/kankyou/tikyuuondanka/hojokin/shoene.html,TRUE,2026-05-11
1056,千葉県,松戸市,子育て世帯親元近居・同居住宅取得補助金,子育て,近居50万円・同居75万円（市外転入加算+25万円・上限100万円）,hasChildren,中学生以下の子どもがいる世帯または42歳以下の若者夫婦世帯が市内の親元近居（2km以内）・同居のための住宅取得に補助。,住宅取得前に事前相談必須・転居後1年以内に申請,住宅政策課 047-366-7366,https://www.city.matsudo.chiba.jp/kurashi/sumai/tatemono_jyosei/3_sedaijuutaku.html,TRUE,2026-05-11
1057,千葉県,松戸市,木造住宅耐震改修リフォーム事業費助成,住まい,リフォーム費用の10分の1（上限30万円）,ownsHome,市の耐震改修補助を受けて木造住宅の耐震工事を行う際、同時施工するリフォーム工事費を助成。事前申請必須。,2026-05-07〜2026-12-01（25戸先着）,建築指導課,https://www.city.matsudo.chiba.jp/kurashi/sumai/taisin/taisinnkaishu-reform.html,TRUE,2026-05-11
1058,千葉県,松戸市,結婚新生活住宅支援,生活支援,29歳以下60万円・その他30万円,all,39歳以下の新婚夫婦で合計所得500万円未満。住宅購入・賃貸・引越し・リフォーム費用を助成。,2026年6月1日受付開始予定,住宅政策課 047-366-7366,https://www.city.matsudo.chiba.jp/kurashi/sumai/tatemono_jyosei/marriage_new_life.html,TRUE,2026-05-11
1059,千葉県,柏市,令和8年度太陽光発電設備設置加速化補助金,エコ,1kWあたり7万円（上限35万円）,ownsHome,10kW未満の住宅用太陽光発電設備の設置費を補助。蓄電池（4kWh以上）またはV2H設置が必須。FIT非認定に限る。,2026-05-01〜2026-12-28,環境部ゼロカーボンシティ推進課 04-7168-0703,https://www.city.kashiwa.lg.jp/zerocarbon/taiyoko_hojyo.html,TRUE,2026-05-11
1060,千葉県,柏市,令和8年度ゼロカーボンシティ促進総合補助制度（家庭向け）,エコ,エコ窓上限8万円・蓄電池上限7万円・EV上限15万円・V2H上限25万円,ownsHome,断熱窓改修・エネファーム・蓄電池・EV・V2H・集合住宅充電設備など複数設備の導入費を補助。,2026-05-01〜2027-02-26（先着・予算3325万円）,環境部ゼロカーボンシティ推進課 04-7168-0703,https://www.city.kashiwa.lg.jp/zerocarbon/ecosite/ondanka/shimin/r5ecohouse.html,TRUE,2026-05-11
1061,千葉県,柏市,要介護高齢者等住宅改造費補助制度,福祉,最大36万円（課税世帯1/3・非課税世帯9割補助）,hasElderly,介護保険認定を受けた高齢者がいる世帯の住宅改修（手すり・段差解消・床材・扉・便器等）費を補助。所得要件あり。,年度内完結（3月中旬が目安）,高齢者支援課 04-7167-1135,https://www.city.kashiwa.lg.jp/kourei/kaigo/kaigoshien/nichijoshien/hojosedo.html,TRUE,2026-05-11
1062,千葉県,浦安市,住宅用設備等脱炭素化促進事業補助金,エコ,エネファーム上限10万円・蓄電池上限7万円・断熱窓上限8万円・EV最大15万円・V2H上限25万円,ownsHome,自ら居住する住宅に省エネ設備（エネファーム・蓄電池・断熱窓・EV・V2H等）を設置する際に費用の一部を補助。,2026-04-01〜2027-02-26（先着順）,環境保全課温暖化対策係 047-352-6481,https://www.city.urayasu.lg.jp/todokede/kankyo/torikumi/1035517.html,TRUE,2026-05-11
1063,千葉県,浦安市,自主防災組織設立及び事業費補助金,安全,上限3万円（設立年度は上限10万円）,all,地域の自主防災組織が行う防災訓練・研修会などの事業費を補助。自治会を単位におおむね100世帯以上で組織した団体が対象。,交付申請11月中旬まで,危機管理課,https://www.city.urayasu.lg.jp/todokede/anzen/bousai/1032547/1030825.html,TRUE,2026-05-11
1064,千葉県,流山市,住宅用省エネルギー設備等脱炭素化促進事業補助金,エコ,詳細は問合せ（太陽光・蓄電池・EV・断熱窓等対象）,ownsHome,太陽光発電・エネファーム・蓄電池・V2H・断熱窓・EVなど6種類の省エネ設備の導入費を補助。市内事業者から未使用設備を購入すること。,令和8年度分は再公告待ち,環境政策室,https://www.city.nagareyama.chiba.jp/life/1002584/1002591/1024476/index.html,TRUE,2026-05-11
1065,千葉県,流山市,省エネエアコン新規購入等促進助成金,エコ,詳細は問合せ,all,稼働エアコンが1台もない低所得世帯・生活保護世帯に省エネエアコンの購入費用を助成。熱中症予防・電気料金負担軽減が目的。,令和8年度実施予定（詳細要確認）,環境政策室,https://www.city.nagareyama.chiba.jp/life/1001061/1001066/1042292.html,TRUE,2026-05-11
1066,千葉県,流山市,住宅改造費助成制度,福祉,最大20万円（改造費の2分の1）,hasElderly,要介護・要支援認定を受けた65歳以上の高齢者が住宅に手すり設置・段差解消・床材変更等の工事を行う費用を助成。市内事業者施工に限る。,工事着手前に申請必須,高齢者支援課 04-7150-6080,https://www.city.nagareyama.chiba.jp/life/1000909/1000912/1000921.html,TRUE,2026-05-11
1067,千葉県,流山市,グループ提案型売上アップ・プロジェクト応援補助金,生活支援,補助対象経費の2分の1（上限200万円）,all,市内3社以上のグループが共同で行う商品・サービス開発や展示会出展・イベントなど売上アップを目指す取組に補助。,要問合せ（公募方式）,商工振興課 04-7150-6085,https://www.city.nagareyama.chiba.jp/business/1006692/1036324.html,TRUE,2026-05-11
1068,千葉県,八千代市,住宅用設備等脱炭素化促進事業補助金,エコ,エネファーム上限10万円・蓄電池上限7万円・断熱窓上限8万円・EV最大15万円・V2H上限25万円,ownsHome,太陽光発電や省エネ設備（エネファーム・蓄電池・断熱窓・EV・V2H等）の導入費を補助。着工14日前までに申請必須。,2026-04-15〜2027-01-29,環境政策課ゼロカーボンシティ推進室 047-421-6767,https://www.city.yachiyo.lg.jp/site/promo/48330.html,TRUE,2026-05-11
1069,千葉県,八千代市,空家リフォーム費補助事業,住まい,基本上限30万円（指定地区50万円）+移住・定住世帯10万円+子育て世帯5万円加算,ownsHome,空家バンクを活用して売買した空家をリフォームする費用を補助。市内業者施工・工事着手前申請が条件。,2026-05-15〜2026-12-18（先着2件）,建築指導課 047-421-6773,https://www.city.yachiyo.lg.jp/soshiki/44/3992.html,TRUE,2026-05-11
1070,千葉県,八千代市,子ども医療費助成（高校生等まで拡大）,子育て,保険適用自己負担分を助成（外来・入院）,hasChildren,ゼロ歳から高校生等（18歳に達する年度末まで）の医療費自己負担分を助成。令和8年度から高校生まで拡大。,年間通じて運用,子育て支援課 047-421-6751,https://www.city.yachiyo.lg.jp/site/kosodate/3320.html,TRUE,2026-05-11
1071,千葉県,市原市,令和8年度住宅用設備等脱炭素化促進補助金,エコ,太陽光1kWあたり2万円（上限9万円）・その他設備は要確認,ownsHome,太陽光発電・蓄電池・エネファーム・断熱窓・EV・V2H等の住宅用省エネ設備の導入費を補助。,令和8年度（詳細は公式ページ参照）,環境政策課,https://www.city.ichihara.chiba.jp/article?articleId=67e60ee89323d91988683b91,TRUE,2026-05-11
1072,千葉県,市原市,いちはら三世代ファミリー定住応援事業,住まい,詳細は問合せ（住宅取得費の一部補助）,hasChildren,子育て世帯が親世帯と同居または近居するための住宅取得費の一部を補助。市原市への定住促進が目的。,令和8年度（詳細は公式ページ参照）,定住促進担当課,https://www.city.ichihara.chiba.jp/article?articleId=621da80eda6b9d24c2ffcfce,TRUE,2026-05-11
1073,千葉県,市原市,いちはら移住・定住促進応援事業（住宅関連支援）,住まい,詳細は問合せ（複数の支援制度あり）,all,市原市への移住・定住を促進するための住宅取得・リフォーム等に関する複数の支援制度をまとめて案内。,通年（各制度により異なる）,定住促進担当課,https://www.city.ichihara.chiba.jp/article?articleId=60237678ece4651c88c185fe,TRUE,2026-05-11
1074,千葉県,我孫子市,住宅用設備等脱炭素化促進事業補助金,エコ,詳細はPDF参照（太陽光・蓄電池・エネファーム・断熱窓・EV・V2H対象）,ownsHome,太陽光発電・エネファーム・蓄電池・断熱窓・EV・V2Hなど7種類の住宅用省エネ設備の導入費を補助。工事着手前申請必須。,2026-04-01〜2027-02-01,手賀沼課 04-7185-1484,https://www.city.abiko.chiba.jp/anshin/kankyo_kougai/chikyuondanka/shoenergy_hojo.html,TRUE,2026-05-11
1075,千葉県,我孫子市,住宅リフォーム補助金,住まい,対象経費の5%（上限7万円）〜市外転入は20%（上限60万円）,ownsHome,自己居住用住宅に税込20万円以上のリフォーム工事を行う際に費用の一部を補助。市外転入者は補助率・上限額が大幅優遇。,2026-04-01〜2027-02-10,住宅課,https://www.city.abiko.chiba.jp/kurashi/sumai/josei/reform/index.html,TRUE,2026-05-11
1076,千葉県,我孫子市,創業支援補助金,生活支援,東側エリア月5万円・西側エリア月4万円（最大年間48〜60万円）,all,我孫子市内の空き店舗を活用して新規創業する際の賃借料を最長1年間補助。実践的創業スクール受講が条件。,通年（詳細は産業振興課確認）,産業振興課 04-7185-2214,https://www.city.abiko.chiba.jp/jigyousha/sougyosha/sougyouhojyokin.html,TRUE,2026-05-11
