id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1211,群馬県,前橋市,令和8年度家庭用ゼロカーボン推進補助事業（太陽光発電設備）,エコ,30000円/件,all,太陽光発電設備（1kW以上10kW未満）の新規設置に対する補助,2026-06-01〜2027-03-20,前橋市環境政策課 027-898-6210,https://www.city.maebashi.gunma.jp/soshiki/kankyo/kankyoseisaku/gyomu/1_2/23240.html,TRUE,2026-05-11
1212,群馬県,前橋市,令和8年度家庭用ゼロカーボン推進補助事業（蓄電池）,エコ,10000円/kWh（上限50000円）,all,再生可能エネルギーと接続するリチウムイオン蓄電池の設置補助,2026-06-01〜2027-03-20,前橋市環境政策課 027-898-6210,https://www.city.maebashi.gunma.jp/soshiki/kankyo/kankyoseisaku/gyomu/1_2/23240.html,TRUE,2026-05-11
1213,群馬県,前橋市,スズメバチ巣駆除費補助,生活支援,6100円/巣（生保全額）,all,市内の日常生活に支障をきたす場所にできたスズメバチの巣の駆除費用を一部補助,2026-04-01〜2026-12-28,前橋市環境保全課,https://www.city.maebashi.gunma.jp/soshiki/kenko/eiseikensa/gyomu/1/2/2843.html,TRUE,2026-05-11
1214,群馬県,前橋市,令和8年度不妊治療費助成事業,子育て,最大150000円（男性不妊加算50000円）,all,一般不妊治療・生殖補助医療の自己負担額の2分の1以内を助成（上限15万円）,〜2027-02-26,前橋市こども支援課 027-220-5704,https://www.city.maebashi.gunma.jp/soshiki/kodomomiraibu/kodomoshien/gyomu/4/5/1/3942.html,TRUE,2026-05-11
1215,群馬県,前橋市,生ごみ処理容器・電動式生ごみ処理機購入費助成,エコ,購入費の一部,all,家庭から出る生ごみの減量化を目的とした生ごみ処理機器の購入費補助,通年受付中,前橋市環境政策課,https://www.city.maebashi.gunma.jp/gyosei/2/5/2/index.html,TRUE,2026-05-11
1216,群馬県,高崎市,高崎市住環境改善助成事業,住まい,対象工事費の30%（上限200000円）,ownsHome,市内業者による居住住宅のリフォーム工事費を助成（前年合計所得400万円以下）,2026-07-01〜2026-11-30（事前申請）,高崎市建築住宅課,https://www.city.takasaki.gunma.jp/page/3352.html,TRUE,2026-05-11
1217,群馬県,高崎市,高崎市一般不妊治療費等助成事業,子育て,上限100000円（交通費別途）,all,タイミング法・人工授精など一般不妊治療費の自己負担額を助成,2026-04-01〜2027-02-26,高崎市子育て支援課,https://www.city.takasaki.gunma.jp/site/notice/60666.html,TRUE,2026-05-11
1218,群馬県,高崎市,高崎市中小企業等機械設備導入支援助成金,生活支援,年間上限5000000円（助成率2.1%）,all,リース契約による機械設備導入時のリース料の一部を助成し生産性向上を支援,2026-08-01〜2026-12-31（事前申請）,高崎市商工振興課,https://www.city.takasaki.gunma.jp/page/3420.html,TRUE,2026-05-11
1219,群馬県,高崎市,高崎市移住支援金,生活支援,単身600000円・世帯1000000円（子1人30万加算）,all,東京23区からの移住者に対する定住促進支援金,2026-04-01〜2027-02-05,高崎市企画調整課,https://www.city.takasaki.gunma.jp/page/3253.html,TRUE,2026-05-11
1220,群馬県,高崎市,高崎市中小企業経営安定化助成金,生活支援,事業所税相当額（黒字決算分）,all,市内中小企業者の経営安定と雇用確保を目的とした事業所税負担軽減助成,事業年度終了から3ヶ月以内,高崎市商工振興課,https://www.city.takasaki.gunma.jp/page/3419.html,TRUE,2026-05-11
1221,群馬県,太田市,住宅リフォーム支援事業補助金,住まい,工事費の30%（上限200000円・OTACO給付）,ownsHome,10年以上経過の市内住宅所有者が市内施工業者でリフォームする費用を補助,2026-04-21〜2027-01-29,太田市まちづくり推進課（市役所7階）,https://www.city.ota.gunma.jp/page/1148.html,TRUE,2026-05-11
1222,群馬県,太田市,住宅用太陽光発電システム導入報奨金,エコ,2kW以上7kW未満50000円・7kW以上70000円（OTACO）,ownsHome,令和8年度中に市内住宅へ太陽光発電システムを新規設置した方に報奨金を支給,2026-04-01〜2027-03-31,太田市脱炭素推進室（市役所5階）,https://www.city.ota.gunma.jp/page/1021934.html,TRUE,2026-05-11
1223,群馬県,太田市,定置用蓄電システム導入報奨金,エコ,容量4kWh以上50000円（OTACO）,ownsHome,太陽光発電と接続する環境共創イニシアチブ登録蓄電システムの設置に報奨金,2026-04-01〜2027-03-31,太田市脱炭素推進室（市役所5階）,https://www.city.ota.gunma.jp/page/1021934.html,TRUE,2026-05-11
1224,群馬県,太田市,第3子以降保育料免除事業,子育て,保育料全額免除（準認可は助成）,hasChildren,3人以上の子を養育する世帯の第3子以降の保育料を免除,毎年度申請（4月入園者は1月〜3月申請）,太田市こども課 0276-47-1943,https://www.city.ota.gunma.jp/005gyosei/0170-006kyoiku-kodomo/shiensaku.html,TRUE,2026-05-11
1225,群馬県,太田市,空家除却補助金,住まい,一部補助,ownsHome,市内の老朽空家の除却費用の一部を補助し、地域の安全・安心を確保,通年,太田市まちづくり推進課,https://www.city.ota.gunma.jp/life/sub/5/,TRUE,2026-05-11
1226,神奈川県,小田原市,再エネ・省エネ設備導入支援補助金（太陽光＋蓄電池）,エコ,7万円/kW（上限500万円）＋蓄電池は対象経費の1/3,ownsHome,太陽光発電システムと蓄電システムの同時設置に対し手厚く補助,2025年度分は2026年2月28日まで（令和8年度は調整中）,小田原市ゼロカーボン推進課 0465-33-1426,https://www.city.odawara.kanagawa.jp/field/envi/saiene/consideration/r4pv.html,TRUE,2026-05-11
1227,神奈川県,小田原市,小田原市不妊症治療費（先進医療分）助成事業,子育て,先進医療費の7/10（上限50000円/回）,all,保険適用の体外受精・顕微授精と併用した先進医療の自己負担分を助成,治療終了日から6ヶ月以内に申請,小田原市子育て政策課,https://www.city.odawara.kanagawa.jp/field/edu-ch/kosodate/advice/p26784.html,TRUE,2026-05-11
1228,神奈川県,小田原市,住宅設備改良助成（障がい者向け）,福祉,上限800000円（自己負担1/3）,all,障害者手帳1〜2級等を持つ方が居住住宅を改修する費用を助成（事前申請必須）,随時（改修前に申請）,小田原市障がい福祉課 0465-33-1468,https://www.city.odawara.kanagawa.jp/field/welfare/handic-s/medical/juutakusetubi.html,TRUE,2026-05-11
1229,神奈川県,小田原市,地域経済循環型住宅リフォーム支援事業,住まい,地場産品等30000円相当,ownsHome,市内施工業者で住宅リフォームを行った市民を対象に地場産品等を抽選で進呈,令和7年度実施（令和8年度は詳細調整中）,小田原市産業政策課,https://www.city.odawara.kanagawa.jp/field/industry/industrial_promotion/p39702.html,FALSE,2026-05-11
1230,神奈川県,小田原市,住居確保給付金（家賃補助）,生活支援,単身41000円・2人49000円・3〜5人53000円（月額上限）,all,離職等により困窮し住居喪失の危機にある方の家賃を最大9ヶ月補助,随時,小田原市福祉政策課 0465-33-1892,https://www.city.odawara.kanagawa.jp/field/welfare/self-support/p29378.html,TRUE,2026-05-11
