id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1131,茨城県,水戸市,水戸市子育てまちなか住宅取得補助金,子育て,取得費の2%・最大30万円（多子加算・転入加算あり）,hasChildren,子育て世帯が居住誘導区域内で住宅取得した場合に補助。二人目以降の子1人につき10万円加算。,2026年4月1日〜11月30日（予算上限次第）,水戸市住宅政策課 TEL:029-232-9222,https://www.city.mito.lg.jp/page/4153.html,TRUE,2026-05-11
1132,茨城県,水戸市,水戸市安心住宅リフォーム支援補助金,住まい,最大10万円（工事費の10分の1）,ownsHome,市内住宅所有者が50万円以上のリフォーム工事を行った場合に補助。耐震性確保済み住宅が対象。,2026年5月7日〜6月30日（前期）,水戸市住宅政策課 TEL:029-232-9222,https://www.city.mito.lg.jp/page/3548.html,TRUE,2026-05-11
1133,茨城県,水戸市,令和8年度住宅用太陽光発電システム設置補助制度,エコ,最大5万円,ownsHome,家庭に太陽光発電システム（パワコン出力10kW未満）を設置する市民に補助。脱炭素社会実現のための支援。,実績報告期限:2027年3月15日,水戸市環境保全課 TEL:029-232-9154,https://www.city.mito.lg.jp/site/ondanka/69504.html,TRUE,2026-05-11
1134,茨城県,水戸市,令和8年度水戸市移住支援事業,生活支援,単身60万円・世帯100万円・子育て加算1人100万円,all,東京23区等から転入し特定企業に就職または起業等した方に支援金を支給。5年以上居住意思が必要。,2026年4月1日〜2027年2月10日,水戸市住宅政策課 TEL:029-232-9222,https://www.city.mito.lg.jp/page/2093.html,TRUE,2026-05-11
1135,茨城県,ひたちなか市,ひたちなか市子育て世代・三世代同居住宅取得助成金,子育て,最大25万円（住宅取得費の2分の1）,hasChildren,県外出身の子育て世帯または市外から転入の三世代同居世帯が住宅取得・増改築した場合に助成。令和8年度が最終受付。,令和8年3月31日までに要件充足者のみ令和8年度受付可,ひたちなか市広報戦略課 TEL:029-273-0122,https://www.city.hitachinaka.lg.jp/shisei/keikaku/1001676/1009531/1001679.html,TRUE,2026-05-11
1136,茨城県,ひたちなか市,ひたちなか市家賃補助制度,住まい,市営住宅入居基準を満たす方への家賃一部補助（年4回交付）,all,市営住宅入居基準を満たす方が認定事業者の民間賃貸空き家に入居する場合に家賃を補助。,通年,ひたちなか市住宅課 TEL:029-273-0111,https://www.city.hitachinaka.lg.jp/machizukuri/sumai/1003169/index.html,TRUE,2026-05-11
1137,茨城県,ひたちなか市,スズメバチ駆除補助金,安全,最大1万円（実費補助）,all,市内の個人住宅敷地内に営巣したスズメバチを市内業者に委託して駆除した場合に費用を補助。駆除後1か月以内に申請。,通年（予算上限まで）,ひたちなか市環境政策課 TEL:029-273-2963,https://www.city.hitachinaka.lg.jp/scene/1007603/1007889.html,TRUE,2026-05-11
1138,茨城県,つくば市,自転車用ヘルメット購入助成事業,安全,最大2000円（購入金額の2分の1）,all,18歳以上のつくば市民が市内販売店で安全基準適合ヘルメットを購入した場合に助成。1人1個まで（3年度に1回）。,4月1日〜3月1日（各年度）,つくば市サイクルコミュニティ推進室 TEL:029-883-1111,https://www.city.tsukuba.lg.jp/soshikikarasagasu/toshikeikakubucyclecommunitysuishinshitsu/gyomuannai/2/1/22812.html,TRUE,2026-05-11
1139,茨城県,つくば市,幼児同乗用自転車購入補助金,子育て,2万円（購入金額4万円未満は購入額の2分の1）,hasChildren,就学前幼児を1人以上監護する市民が市内販売店で幼児2人同乗基準適合自転車を購入した場合に補助。,4月1日〜2月末日（予算上限まで）,つくば市サイクルコミュニティ推進室 TEL:029-883-1111,https://www.city.tsukuba.lg.jp/soshikikarasagasu/toshikeikakubucyclecommunitysuishinshitsu/gyomuannai/4/1/1001135.html,TRUE,2026-05-11
1140,茨城県,つくば市,つくば市空家活用補助金,住まい,改修費最大50万円・家財処分費最大10万円（各費用の50%）,all,空家バンク登録物件購入者が市内業者に改修工事（20万円以上）を依頼する場合に補助。工事着手14日前までに申請必要。,2026年4月1日〜12月28日,つくば市建設部住宅政策課 TEL:029-883-1111,https://www.city.tsukuba.lg.jp/kurashi/kankyo/akiya/1011892.html,TRUE,2026-05-11
1141,茨城県,日立市,ひたちエコみらい住宅助成,エコ,5万円,hasChildren,長期優良住宅またはZEH水準住宅を新築した子育て世帯または39歳以下の若者夫婦に助成金を交付。,〜2027年3月31日,日立市住政策推進課 TEL:0294-22-3111,https://www.city.hitachi.lg.jp/kurashi_tetsuzuki/sumai/1002171/1007303/1013151.html,TRUE,2026-05-11
1142,茨城県,日立市,住み替えチャレンジ支援事業,住まい,20万円,hasChildren,中古住宅またはマンションを取得した子育て世帯・45歳未満の夫婦・単身者に助成金を交付。住民登録が条件。,〜2027年3月31日（申請期限）,日立市住政策推進課 TEL:0294-22-3111,https://www.city.hitachi.lg.jp/kurashi_tetsuzuki/sumai/1002171/1007303/1002715.html,TRUE,2026-05-11
1143,茨城県,日立市,日立市木造住宅耐震化支援事業助成金,安全,耐震改修計画+工事一括で最大115万円（費用の4/5）,ownsHome,昭和56年5月31日以前建築の木造戸建て住宅の耐震診断・改修計画・改修工事を対象に助成。,2026年4月27日受付開始〜2027年11月30日,日立市建築指導課 TEL:0294-22-3111,https://www.city.hitachi.lg.jp/machizukuri_kankyo/kenchiku/1016230.html,TRUE,2026-05-11
1144,栃木県,宇都宮市,宇都宮市マイホーム取得支援事業補助金,住まい,市外転入最大85万円・市内転居最大50万円（子1人につき5万円加算）,all,居住誘導区域等に住宅を取得する世帯に対して取得費の一部を補助。住宅ローン契約前の事前申込が必須。,2026年4月1日〜2027年3月31日（予算上限まで）,宇都宮市都市整備部住宅政策課 TEL:028-632-2735,https://www.city.utsunomiya.lg.jp/kurashi/machi/jutaku/1044423.html,TRUE,2026-05-11
1145,栃木県,宇都宮市,宇都宮市住宅改修事業費補助金,住まい,工事費の一部補助（要件内工事が対象）,ownsHome,持家・借家居住者や中古住宅取得者が安全・安心・快適な住環境を創出する改修工事を行った場合に補助。工事契約前の事前申込必須。,2026年4月1日〜2027年3月31日,宇都宮市都市整備部住宅政策課 TEL:028-632-2735,https://www.city.utsunomiya.lg.jp/kurashi/machi/jutaku/1044274.html,TRUE,2026-05-11
1146,栃木県,宇都宮市,高齢者にやさしい住環境整備事業,福祉,最大90万円（工事費の4分の3）,hasElderly,65歳以上で要支援以上の高齢者がいる低所得世帯に段差解消・手すり設置等の住宅改修費を補助。工事着手前申請必須。,通年,宇都宮市保健福祉部高齢福祉課 TEL:028-632-2367,https://www.city.utsunomiya.lg.jp/kenko/koureisha/service/1004278.html,TRUE,2026-05-11
1147,栃木県,宇都宮市,宇都宮市結婚新生活支援事業,生活支援,最大30万円（29歳以下夫婦は最大60万円）,all,居住誘導区域内在住の夫婦双方39歳以下の新婚世帯の住宅取得・賃借・引越・リフォーム費用を補助。,2025年5月21日〜2026年3月2日,宇都宮市魅力創造部都市ブランド戦略課 TEL:028-632-2115,https://www.city.utsunomiya.lg.jp/kurashi/machi/jutaku/1027597.html,TRUE,2026-05-11
