id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1281,埼玉県,上尾市,結婚新生活支援事業,生活支援,最大30万円（29歳以下は60万円）,all,婚姻届提出（2026年1月〜2027年3月）・夫婦39歳以下・所得500万円未満。住居費・引越費用の補助,2026年4月1日〜2027年3月31日（予算次第終了）,上尾市こども支援課 048-783-4962,https://www.city.ageo.lg.jp/page/304984.html,TRUE,2026-05-11
1282,埼玉県,上尾市,住宅断熱改修奨励金,住まい,上限10万円,ownsHome,市内居住者が断熱工事を実施した場合に奨励金を交付。開口部7000〜25000円/箇所・躯体1600円/㎡,2026年5月1日〜2027年3月31日,上尾市ゼロカーボン推進室 048-775-7308,https://www.city.ageo.lg.jp/page/368581.html,TRUE,2026-05-11
1283,埼玉県,上尾市,再エネ・省エネ対策推進奨励金,エコ,太陽光最大9万円・蓄電池5万円・EV5万円・ZEH10万円など,ownsHome,市内居住者または事業者が太陽光・蓄電池・エネファーム・EV・ZEH等を設置した際に奨励金を交付,2026年4月1日〜2027年3月31日,上尾市ゼロカーボン推進室 048-775-7308,https://www.city.ageo.lg.jp/page/386012.html,TRUE,2026-05-11
1284,埼玉県,上尾市,不妊検査費助成事業,子育て,最大3万円（35歳未満）・最大2万円（43歳未満）,all,婚姻関係にある夫婦（事実婚含む）が不妊検査を受けた際の費用を助成。1組1回限り,不妊検査期間終期の年度内,上尾市こども家庭保健課 048-778-8768,https://www.city.ageo.lg.jp/page/03011703170120190319.html,TRUE,2026-05-11
1285,埼玉県,上尾市,家具転倒防止器具等設置補助金,安全,実費（上限1万円）,hasElderly,65歳以上のみの世帯・身体障害者手帳1〜2級・要介護3以上の世帯を対象に家具転倒防止器具の設置費用を補助,随時（予算なくなり次第終了）,上尾市建築安全課 048-775-8490,https://www.city.ageo.lg.jp/page/394109.html,TRUE,2026-05-11
1286,埼玉県,上尾市,既存木造住宅耐震診断補助制度,安全,上限10万円,ownsHome,昭和56年5月以前着工の木造戸建て住宅の耐震診断費用を補助。市税完納が条件,随時（予算なくなり次第終了）,上尾市建築安全課 048-775-8490,https://www.city.ageo.lg.jp/page/48-sindanhojo.html,TRUE,2026-05-11
1287,埼玉県,春日部市,個人住宅太陽光発電設備・蓄電池設置補助金,エコ,太陽光・蓄電池設置費の一部（地域により上限異なる）,ownsHome,市内個人住宅に太陽光発電と蓄電池を同時設置する居住者向け。交付決定前着工不可,2026年5月11日〜2026年12月28日,春日部市コールセンター 0570-085-738,https://www.city.kasukabe.lg.jp/soshikikarasagasu/kankyoseisakuka/gyomuannai/2/2/30493.html,TRUE,2026-05-11
1288,埼玉県,春日部市,住宅リフォーム助成制度,住まい,工事費の10%（市内業者）・5%（市外業者）上限10万円,ownsHome,20万円以上のリフォーム工事を実施する市内在住・所有者が対象。市税滞納不可,2026年5月12日〜2027年1月29日（予算次第終了）,春日部市建築課住宅政策担当 048-796-8159,https://www.city.kasukabe.lg.jp/kurashi/sumai/sumainikansurujosei/30666.html,TRUE,2026-05-11
1289,埼玉県,春日部市,結婚新生活支援事業,生活支援,最大30万円（29歳以下は60万円）,all,婚姻夫婦（39歳以下・所得500万円未満）の住居費・引越費用の2分の1を補助,年度内（予算次第終了）,春日部市建築課住宅政策担当 048-796-8159,https://www.city.kasukabe.lg.jp/kurashi/sumai/sumainikansurujosei/10470.html,TRUE,2026-05-11
1290,埼玉県,春日部市,ふれあい家族住宅購入奨励事業,子育て,市内共通商品券（登記費用の1/3・最大30万円）,hasChildren,5年以上春日部市居住の親または子世帯が市内で初めて住宅を取得し義務教育前の子どもと同居する場合,登記完了後3ヶ月以内・かつ9月30日まで,春日部市建築課住宅政策担当 048-796-8159,https://www.city.kasukabe.lg.jp/kurashi/sumai/sumainikansurujosei/10467.html,TRUE,2026-05-11
1291,埼玉県,春日部市,障害福祉サービス事業所物価高騰対策支援助成金,福祉,サービス種別に応じた定額,all,物価高騰の影響を受ける障害福祉サービス等事業所の光熱費等の負担を軽減し安定したサービス提供を支援,令和7年度（詳細は市へ確認）,春日部市障害者支援課,https://www.city.kasukabe.lg.jp/soshikikarasagasu/shogaishashienka/gyomuannai/4/22082.html,TRUE,2026-05-11
1292,埼玉県,草加市,地球温暖化防止活動補助金,エコ,一律5万円,ownsHome,市内居住者が太陽光発電・エネファーム・蓄電池・V2Hを設置した際に補助。予算総額1000万円,2026年4月1日〜2026年12月28日（予算次第終了）,草加市環境課 048-922-1519,https://www.city.soka.saitama.jp/cont/s1701/020/020/010/PAGE000000000000051694.html,TRUE,2026-05-11
1293,埼玉県,草加市,省エネ家電買換促進事業補助金,エコ,エアコン・冷蔵庫 4〜5万円,all,市内居住者が省エネ性能評価点3.0以上・本体10万円以上のエアコンまたは冷蔵庫へ買い換えた際に補助。1世帯1機器,2026年5月8日〜2026年12月28日,草加市環境課 048-922-1519,https://www.city.soka.saitama.jp/cont/s1701/020/020/010/PAGE000000000000083997.html,TRUE,2026-05-11
1294,埼玉県,草加市,出産・子育て応援給付金,子育て,妊婦5万円・乳児1人5万円,hasChildren,妊娠届出・出産後の面談を受けた市内居住者に給付金を支給,妊娠届後3ヶ月以内・出生後6ヶ月以内,草加市こども家庭課 048-953-9887,https://www.city.soka.saitama.jp/cont/s1506/020/020/060/shussannkosodatekyuufukinnjigyou.html,TRUE,2026-05-11
1295,埼玉県,草加市,児童手当,子育て,月1〜3万円（年齢・子どもの順位により異なる）,hasChildren,高校生年代（18歳年度末）までの子どもを養育する保護者に支給。所得制限撤廃済み,随時申請,草加市こども政策課,https://www.city.soka.saitama.jp/cont/s1601/010/010/030/PAGE000000000000029256.html,TRUE,2026-05-11
1296,埼玉県,草加市,経営革新チャレンジ支援事業補助金,生活支援,上限50万円（補助率100%）,all,市内中小企業等の新事業計画の実践を支援するための補助金。随時受付,2026年2月27日まで随時受付,草加市産業振興課,https://www.city.soka.saitama.jp/cont/s1403/020/010/030/PAGE000000000000067646.html,TRUE,2026-05-11
1297,埼玉県,三郷市,きらりとひかれ起業家応援事業費補助金,生活支援,上限20万円（補助率1/2）,all,市内で起業後1年未満または当年度中に起業予定の者が特定創業支援事業の支援を受けていること,2026年4月1日〜（予算次第終了）,三郷市商工観光課 048-930-7721,https://www.city.misato.lg.jp/soshiki/chiikishinko/shokokanko/1/1423.html,TRUE,2026-05-11
1298,埼玉県,三郷市,資格取得支援補助金,生活支援,1資格最大5万円・年間最大10万円（補助率1/2）,all,市内中小企業の30歳以下の従業員等が資格を取得した場合に費用を補助,取得日または合格発表日から6ヶ月以内,三郷市商工観光課 048-930-7721,https://www.city.misato.lg.jp/soshiki/chiikishinko/shokokanko/1/787.html,TRUE,2026-05-11
1299,埼玉県,三郷市,がんばろう企業応援事業補助金,生活支援,上限30万円（新製品開発は50万円）（補助率1/2）,all,1年以上市内で事業を営む中小企業者が対象。前年度受給者は対象外,2026年4月1日〜（予算次第終了）,三郷市商工観光課 048-930-7721,https://www.city.misato.lg.jp/soshiki/chiikishinko/shokokanko/1/1422.html,TRUE,2026-05-11
1300,埼玉県,三郷市,重度心身障害者医療費助成制度,福祉,医療保険の自己負担金を助成,hasElderly,身体障害者手帳1〜3級・療育手帳・精神障害者手帳1級等が対象。所得制限あり,診療月翌月から5年以内,三郷市障がい福祉課 048-930-7779,https://www.city.misato.lg.jp/soshiki/fukushi/shogaifukushi/3/679.html,TRUE,2026-05-11
1301,埼玉県,三郷市,在宅重度心身障害者手当,福祉,定額（詳細は市へ確認）,hasElderly,在宅で生活する重度心身障害者に対して手当を支給,随時申請,三郷市障がい福祉課 048-930-7779,https://www.city.misato.lg.jp/soshiki/fukushi/shogaifukushi/3/11048.html,TRUE,2026-05-11
1302,埼玉県,三郷市,木造一戸建て住宅耐震診断・改修補助制度,安全,診断費・改修費の一部（詳細は市へ確認）,ownsHome,昭和56年以前着工の木造戸建て住宅を対象に耐震診断・改修費用の一部を補助,随時（予算次第終了）,三郷市開発指導課 048-930-7742,https://www.city.misato.lg.jp/soshiki/machizukuri_suishin/kaihatsushido/1/397.html,TRUE,2026-05-11
1303,埼玉県,新座市,太陽光発電設備等設置費補助金,エコ,9万円/kW（個人上限5kW・事業者20kW）,ownsHome,市内居住者または市内事業者が太陽光発電設備を設置する場合に補助。契約前申請必須,個人：2026年5月1日〜12月10日,新座市環境課ゼロカーボン推進室 048-423-0792,https://www.city.niiza.lg.jp/soshiki/15/taiyokohojokin.html,TRUE,2026-05-11
1304,埼玉県,新座市,高効率空調機器設置費補助金,エコ,設置費用の3/5（個人上限6万円・事業者22.5万円）,all,市内在住個人または市内事業者が30%以上CO2削減効果のある空調機器に入替える場合に補助,2026年6月1日〜2026年12月28日,新座市環境課ゼロカーボン推進室 048-423-0792,https://www.city.niiza.lg.jp/soshiki/15/eakonhojokin.html,TRUE,2026-05-11
1305,埼玉県,新座市,高効率照明機器設置費補助金,エコ,設置費用の1/2（上限100万円）,all,市内事業所に高効率照明機器を設置する事業者が対象。契約前申請必須,2026年5月1日〜2026年10月30日,新座市環境課ゼロカーボン推進室 048-423-0792,https://www.city.niiza.lg.jp/soshiki/15/syomeikikihojokin.html,TRUE,2026-05-11
1306,埼玉県,新座市,早期不妊検査費・不育症検査費助成事業,子育て,最大3万円（35歳未満）・最大2万円（43歳未満）,all,婚姻または事実婚の夫婦が不妊検査・不育症検査を受けた際の費用を助成,検査終了日の年度末まで,新座市こども支援課 048-477-1111,https://www.city.niiza.lg.jp/soshiki/31/hunin.html,TRUE,2026-05-11
