id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
801,東京都,千代田区,令和8年度千代田区省エネルギー改修等助成制度,エコ,LED照明対象経費50%・上限100万円（住宅）,ownsHome,区内既存建物のLED照明・太陽光・窓断熱改修を助成。「ちよエコ宣言」登録が必要。着工前申請必須,〜令和9年2月15日,環境まちづくり部環境政策課エネルギー対策係 TEL:03-5211-4256,https://www.city.chiyoda.lg.jp/koho/machizukuri/kankyo/hojo/sho-ene.html,TRUE,2026-05-11
802,東京都,千代田区,次世代育成住宅助成,住まい,月額最大8万円（家賃助成）＋転居費用10万円,hasChildren,区内で親元近居または区内転居する新婚・子育て世帯を対象に家賃を最長8年間助成,通年受付（仮申請から1年以内に住替え）,環境まちづくり部住宅課 TEL:03-5211-4319,https://www.city.chiyoda.lg.jp/koho/machizukuri/sumai/jose/jisedai.html,TRUE,2026-05-11
803,東京都,千代田区,出産費用助成（区独自制度）,子育て,上限31万円,hasChildren,出産育児一時金を超えた出産費用の自己負担分を助成。令和7年4月1日以降の出産が対象,出産日から2年以内,子育て推進課手当・医療係 TEL:03-5211-4230,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/shussanhiyojosei.html,TRUE,2026-05-11
804,東京都,千代田区,中高生世代応援手当（区独自制度）,子育て,月額1万5千円（児童1人につき）,hasChildren,中学生・高校生世代（12歳4月1日〜18歳3月31日）を対象とした区独自の月額支援手当,随時申請,子育て推進課手当・医療係 TEL:03-5211-4230,https://www.city.chiyoda.lg.jp/koho/kosodate/teate/chukosei-oenteate.html,TRUE,2026-05-11
805,東京都,千代田区,地域防災組織に対する補助金交付,安全,上限10万円（防災用品購入費の4分の3）,all,町会内の自主防災組織が防災用品を購入する費用を補助。購入前の事前申請必須・年1回限り,〜令和8年12月28日,災害対策・危機管理課 TEL:03-5211-4187,https://www.city.chiyoda.lg.jp/koho/kurashi/bosai/shien/hojokin.html,TRUE,2026-05-11
806,東京都,中央区,自然エネルギー及び省エネルギー機器等導入費助成金,エコ,太陽光最大100万円・蓄電最大50万円・燃料電池最大60万円,ownsHome,区内住宅・賃貸共同住宅・管理組合を対象に省エネ機器設置費を助成。予算がなくなり次第終了,令和8年4月1日〜予算終了次第（工事完了期限:令和9年3月15日）,環境課ゼロカーボン推進係 TEL:03-3546-5628,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/taisaku/kikijosei/ecojosei_jutaku.html,TRUE,2026-05-11
807,東京都,中央区,令和8年度個人宅向け防犯機器等購入費用助成,安全,上限1万5千円（購入費の4分の3）,all,区内居住世帯主を対象に防犯カメラ・インターホン・防犯フィルム・センサーライト等の購入費を助成,令和8年5月1日〜令和9年2月26日,総務部防災危機管理課 TEL:03-3546-5087,https://www.city.chuo.lg.jp/a0010/bouhannkikizyosei.html,TRUE,2026-05-11
808,東京都,中央区,住民税非課税世帯等エアコン購入費助成,生活支援,上限10万円（本体＋設置工事費）,all,自宅にエアコンがない住民税非課税世帯・生活保護受給世帯を対象に熱中症予防のため購入費を助成,通年受付（助成決定後の購入が必要）,福祉保健部地域福祉課 TEL:03-3546-5630,https://www.city.chuo.lg.jp/a0019/kenkouiryou/fukushiippan/seikatsushien/airconjosei.html,TRUE,2026-05-11
809,東京都,中央区,ベビーシッター利用支援事業（一時預かり利用支援）,子育て,月20時間・年度144時間まで補助,hasChildren,就業・社会参加等で一時的に保育が必要な未就学児の保護者を対象にベビーシッター利用料を補助,利用日の3か月後の月末まで申請,こども未来部こども・家庭支援課,https://www.city.chuo.lg.jp/a0025/kosodate/kosodate/shien/azukeru/babysr7.html,TRUE,2026-05-11
810,東京都,中央区,中央区社会貢献活動事業補助金,生活支援,対象経費の2分の1（地域連携時+10万円加算）,all,NPO・町会等が実施する社会貢献活動・手づくりイベントの費用を補助,通年受付,地域振興課,https://www.city.chuo.lg.jp/a0013/kurashi/chiikicommunity/npokyoudou/20210204165519861.html,TRUE,2026-05-11
811,東京都,港区,子育て世帯等住宅取得支援事業補助金,住まい,一律10万円,hasChildren,高校生以下の子がいる子育て世帯または40歳未満の若年夫婦世帯が対象。50㎡以上・新耐震基準の住宅取得に補助,所有権登記から1年以内（令和8年度中は延長可）,街づくり支援部住宅課住宅支援係 TEL:03-3578-2223,https://www.city.minato.tokyo.jp/jutakushien/zyutakuhozyo.html,TRUE,2026-05-11
