id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
861,東京都,品川区,しながわゼロカーボンアクション助成,エコ,太陽光1kW5万円(上限20万円)・蓄電池1kWh3万円(上限30万円)・ZEV上限10万円,all,区内に設置完了した創エネ・省エネ機器が対象。区民・中小企業者・管理組合等,要確認,品川区環境課,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kankyo/kankyo-kankyo-zyosei/20250310125732.html,TRUE,2026-05-11
862,東京都,品川区,住宅改善工事助成事業(エコ&バリアフリー住宅改修),住まい,工事費の10%・区民上限20万円/管理組合等上限100万円,ownsHome,区内施工業者による既存住宅のリフォーム工事・工事費10万円以上・工事前申込必須,要確認,品川区建築課,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-kenchiku/kankyo-kenchiku-assen/20211221163556.html,TRUE,2026-05-11
863,東京都,品川区,高齢者補聴器購入費助成事業,福祉,上限72450円,hasElderly,65歳以上・住民税非課税・聴覚障害手帳対象外・難聴（中等度）と医師が認めた方,通年,品川区健康課,https://www.city.shinagawa.tokyo.jp/PC/kenkou/kenkou-koureisya/20230428084925.html,TRUE,2026-05-11
864,東京都,品川区,住まいの防犯対策補助金,安全,購入・設置費の3/4・上限3万円,all,品川区に住民登録のある世帯主等・防犯カメラ・カメラ付きインターホン等の設置,要確認,品川区防犯課,https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai-bohan/20240306120204.html,TRUE,2026-05-11
865,東京都,品川区,飼い猫の不妊・去勢手術費助成,ユニーク,手術費の一部（指定動物病院で差引）,all,区内住民登録者が飼育する生後6か月以上の猫・1世帯2頭まで,通年,品川区生活衛生課,https://www.city.shinagawa.tokyo.jp/PC/kenkou/kenkou-pet/hpg000000916.html,TRUE,2026-05-11
866,東京都,品川区,都市防災不燃化促進事業助成,安全,除却：床面積×33000円/m2（上限1650万円）・建築助成あり,ownsHome,耐火・準耐火建築物以外の木造建築物の除却または不燃建築物への建替え,通年（事前相談要）,品川区まちづくり課,https://www.city.shinagawa.tokyo.jp/PC/kankyo/kankyo-toshiseibi/kankyo-toshiseibi-shien/kankyo-toshiseibi-shien-hunenkasokushin/hpg000021836.html,TRUE,2026-05-11
867,東京都,目黒区,ファミリー世帯家賃助成,子育て,月額2万円（最長3年間）,hasChildren,18歳未満の子を扶養・区内民間賃貸住宅居住・家賃5万〜18万円・所得基準あり,通年,目黒区住宅課,https://www.city.meguro.tokyo.jp/juutaku/kurashi/sumai/family.html,TRUE,2026-05-11
868,東京都,目黒区,高齢者補聴器購入費助成事業,福祉,上限7万円（令和8年4月1日申請分から）,hasElderly,65歳以上・住民税非課税・聴覚障害補装具支給対象外・両耳40dB以上70dB未満,通年,目黒区高齢福祉課,https://www.city.meguro.tokyo.jp/koureifukushi/kenkoufukushi/koureisha/hochouki.html,TRUE,2026-05-11
869,東京都,目黒区,住宅リフォーム資金助成,住まい,工事費の一部（先着順）,ownsHome,区内業者施工によるリフォーム工事費用の一部を助成,要確認,目黒区住宅課,https://www.city.meguro.tokyo.jp/kurashi/sumai/shien/reform/index.html,TRUE,2026-05-11
870,東京都,目黒区,認可外保育施設保育料助成制度,子育て,世帯所得に応じて保育料の一部,hasChildren,目黒区在住・認可外保育施設に在籍する園児の保護者,通年,目黒区子育て支援課,https://www.city.meguro.tokyo.jp/kosodatekyouiku/kosodate/shien/teate/index.html,TRUE,2026-05-11
871,東京都,目黒区,若年がん患者在宅療養費助成,福祉,療養費の一部,all,40歳未満の若年がん患者・在宅療養を行う方,通年,目黒区健康推進課,https://www.city.meguro.tokyo.jp/kenkoufukushi/seikatsujosei/index.html,TRUE,2026-05-11
872,東京都,目黒区,高齢者世帯等居住継続家賃助成,福祉,月額家賃の一部,hasElderly,区内民間賃貸住宅に居住する高齢者世帯等・所得基準あり,通年,目黒区住宅課,https://www.city.meguro.tokyo.jp/juutaku/kurashi/sumai/koreikeizoku.html,TRUE,2026-05-11
873,東京都,大田区,住宅リフォーム助成事業,住まい,A工事最大100万円（助成率最大3/4）・B工事最大50万円（助成率最大1/2）,ownsHome,区民で工事対象住宅に居住・区内中小事業者施工・税抜10万円以上の工事,要確認,大田区建築調整課,https://www.city.ota.tokyo.jp/seikatsu/sumaimachinami/sumai/r_josei/jyutaku_reform_jyosei.html,TRUE,2026-05-11
874,東京都,大田区,雨水タンク設置助成制度,エコ,大型(500L以上)：税込合計の1/2・上限30万円/小型個人：税込合計の2/3・上限4万円/基,ownsHome,区内に雨水タンクを設置・使用する方。既受給者・義務設置・公的機関・滞納者は対象外,通年,大田区河川公園課,https://www.city.ota.tokyo.jp/seikatsu/sumaimachinami/sumai/j_josei/usuichoryuusou.html,TRUE,2026-05-11
875,東京都,大田区,屋上緑化・壁面緑化助成制度,エコ,対象経費の1/2・1m2あたり2万円・上限50万円,ownsHome,昭和56年6月1日以降に建築確認を受けた区内住宅の個人所有者・自動潅水装置設置・5年以上維持,通年,大田区環境計画課,https://www.city.ota.tokyo.jp/seikatsu/sumaimachinami/kankyou/ryoka/okujouhekimenryokukajosei.html,TRUE,2026-05-11
876,東京都,大田区,認可外保育施設等保護者負担軽減補助金,子育て,補助上限月額（施設種別により異なる）,hasChildren,大田区住民登録の保護者・認可外保育施設等に月120時間以上利用契約,通年,大田区保育サービス課,https://www.city.ota.tokyo.jp/seikatsu/kodomo/hoiku/hoikushisetsu_nyukibo/ninkagaihoikusisetu/ninnkagaishisetsu_hojokin.html,TRUE,2026-05-11
877,東京都,大田区,私立幼稚園入園料補助金,子育て,入園料上限13万円（所得制限なし・園児1人1回限り）,hasChildren,大田区在住の私立幼稚園等に在籍する園児の保護者,通年,大田区保育サービス課,https://www.city.ota.tokyo.jp/seikatsu/kodomo/kyouiku/kuyochien/mushouka.html,TRUE,2026-05-11
878,東京都,大田区,地域力応援基金助成事業,生活支援,チャレンジ助成・チャレンジプラス助成（金額は要問合せ）,all,区内で地域活動を行う団体・NPO等,要確認,大田区地域力推進課,https://www.city.ota.tokyo.jp/seikatsu/chiiki/katsudou/tiikiryoku_ouenkikin/index.html,TRUE,2026-05-11
879,東京都,渋谷区,ハッピーマザー出産助成金,子育て,上限10万円（健保付加給付がある場合は控除）,hasChildren,妊娠12週超で出産・出産前3か月から区内住民登録継続・健康保険加入者,通年,渋谷区子ども家庭支援センター,https://www.city.shibuya.tokyo.jp/kodomo/ninshin/ninshin-teate/happy_josei.html,TRUE,2026-05-11
880,東京都,渋谷区,木造住宅耐震改修費用及び除却費用助成,安全,詳細はパンフレット参照（区耐震診断コンサルタント利用が条件）,ownsHome,昭和56年5月31日以前着工の区内木造住宅・個人区民所有・耐震診断評点1.0未満,要確認,渋谷区建築課,https://www.city.shibuya.tokyo.jp/kankyo/kenchiku/kenchiku-yushi/mokuzo.html,TRUE,2026-05-11
