id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
921,東京都,豊島区,豊島区エコ住宅普及促進費用助成金（個人住宅向け）,エコ,太陽光1kWあたり2万円（上限8万円）・蓄電1kWhあたり1万円（上限5万円）,ownsHome,区内居住の個人住宅に省エネ・新エネ機器を設置した方に費用の一部を助成,令和8年5月25日〜令和9年3月1日（必着）,豊島区環境政策課事業グループ 03-3981-2771,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/003402.html,TRUE,2026-05-11
922,東京都,豊島区,豊島区エコ住宅普及促進費用助成金（集合住宅）,エコ,太陽光1kWあたり2万円（上限8万円）・LED上限20万円・断熱窓上限10万円,ownsHome,区内集合住宅の所有者または管理組合が省エネ機器を設置した場合に費用の一部を助成,令和8年5月25日〜令和9年3月1日（必着）,豊島区環境政策課事業グループ 03-3981-2771,https://www.city.toshima.lg.jp/149/machizukuri/shizen/ecojutaku/1504071713.html,TRUE,2026-05-11
923,東京都,豊島区,豊島区不燃化特区老朽建築物除却助成,安全,解体・整地費用の一部（年度ごとに設定）,ownsHome,不燃化特区内の老朽建築物を除却する所有者に解体整地費用を助成。事前相談必須,通年（事前相談要）,地域まちづくり課事業調整グループ 03-3981-1464,https://www.city.toshima.lg.jp/386/machizukuri/1510011739.html,TRUE,2026-05-11
924,東京都,豊島区,豊島区不燃化特区戸建建替え促進助成,安全,設計費・工事費の一部（年度ごとに設定）,ownsHome,不燃化特区内で戸建住宅を建替える所有者に設計費・工事費の一部を助成,通年（事前相談要）,地域まちづくり課事業調整グループ 03-3981-1464,https://www.city.toshima.lg.jp/386/machizukuri/1510011739.html,TRUE,2026-05-11
925,東京都,豊島区,訪問型病児保育利用料助成,子育て,利用料の一部,hasChildren,区内在住で訪問型病児保育を利用した保護者に利用料を助成,通年,豊島区保育課 03-3981-1111,https://www.city.toshima.lg.jp/kosodate/hoiku/hojokin/index.html,TRUE,2026-05-11
926,東京都,豊島区,認可外保育施設保育料負担軽減補助,子育て,月額上限あり（令和7年9月拡充）,hasChildren,認可外保育施設のみを利用する保護者の保育料負担を軽減する補助金,通年,豊島区保育課 03-3981-1111,https://www.city.toshima.lg.jp/530/2403181900.html,TRUE,2026-05-11
927,東京都,北区,再生可能エネルギー及び省エネルギー機器等導入助成,エコ,太陽光1kWあたり8〜9.6万円（上限20〜24万円）・高効率給湯器1台5〜6万円,all,区内在住・在業の個人や事業者が省エネ・再エネ機器を新規導入した場合に費用の一部を助成,令和9年2月26日まで（必着）,環境部環境政策課環境政策係 03-3908-8603,https://www.city.kita.lg.jp/dev-environment/environment/1010099/1010102.html,TRUE,2026-05-11
928,東京都,北区,住まい改修支援助成,住まい,工事費の20%（上限10万円）,ownsHome,区内在住・自己居住住宅で長寿命化リフォームを実施する方に費用の一部を助成（初回限定）,令和8年4月1日〜12月28日,都市整備部住宅課住宅政策係 03-3908-9201,https://www.city.kita.lg.jp/living/housing/1009223/1009224.html,TRUE,2026-05-11
929,東京都,北区,親子住まいる応援事業,子育て,上限20万円,hasChildren,18歳未満の子を扶養または40歳未満の若年夫婦が北区内で親と近居・同居するための登記費用等を助成,通年（登記日翌日から6か月以内に申請）,都市整備部住宅課住宅政策係 03-3908-9201,https://www.city.kita.lg.jp/living/housing/1009223/1009225.html,TRUE,2026-05-11
930,東京都,北区,子ども医療費助成（マル子医療証）,子育て,医療費自己負担分,hasChildren,高校生まで（18歳年度末まで）の子どもの医療費自己負担分を助成。所得制限なし,通年,北区子育て支援課 03-3908-1111,https://www.city.kita.lg.jp/children-edu/childcare/1002909/1002913/1002914.html,TRUE,2026-05-11
931,東京都,北区,屋上緑化助成,エコ,工事費の一部（詳細は問合せ要）,ownsHome,区内建物の屋上を緑化する場合に工事費の一部を助成,通年,環境部環境政策課 03-3908-8603,https://www.city.kita.tokyo.jp/kankyo/jutaku/kankyo/hojo/okujo/okujo.html,TRUE,2026-05-11
