id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
981,東京都,武蔵野市,効率的なエネルギー活用推進助成制度（太陽光発電）,エコ,上限15万円,ownsHome,武蔵野市民が自家用に太陽光発電システムを設置した際に設置費用の一部を助成。最大出力kW×3万円または上限15万円の低い方。,2026-04-01〜2027-02-28,環境部環境政策課計画係（電話：0422-60-1841）,https://www.city.musashino.lg.jp/gomi_kankyo/shoene_eco/joseiseido/1005095.html,TRUE,2026-05-11
982,東京都,武蔵野市,住まいの防犯対策補助事業,安全,上限5万円（購入費の9割）,all,武蔵野市内在住世帯が防犯カメラ・防犯錠・センサーライト等の防犯機器を購入・設置した費用の9割（上限5万円）を補助。,2026-04-01〜2027-02-28,防災安全部安全対策課（電話：0422-60-1916）,https://www.city.musashino.lg.jp/kurashi_tetsuzuki/bosai_anzen/bosai_anzen_center_web/1050188.html,TRUE,2026-05-11
983,東京都,武蔵野市,家具転倒防止金具等購入費補助事業,安全,上限1万円,all,武蔵野市内在住世帯が家具転倒防止金具・ガラス飛散防止フィルム等を購入・取り付けた費用（上限1万円）を補助。1世帯1回限り。,2026-04-01〜,防災安全部防災課（電話：0422-60-1821）,https://www.city.musashino.lg.jp/kurashi_tetsuzuki/bosai_anzen/bosai_anzen_center_web/jishintaisaku/1046773.html,TRUE,2026-05-11
984,東京都,武蔵野市,子どもの医療費助成制度（マル乳・マル子・マル青）,子育て,保険自己負担分全額,hasChildren,0歳〜18歳年度末までの子どもを養育する市民が対象。健康保険診療の自己負担分を助成。,通年,子ども家庭部子ども子育て支援課（電話：0422-60-1852）,https://www.city.musashino.lg.jp/shussan_kodomo_kyoiku/kodomo_kosodate/teate_josei/kodomokatei/1006716.html,TRUE,2026-05-11
985,東京都,武蔵野市,ブロック塀の改善補助金,安全,上限128万円（改修工事の場合）,ownsHome,高さ1.2m以上のブロック塀で危険と判定されたものが対象。撤去・補強・改修（撤去+新設）に応じてm単価で補助。,通年（予算限り）,住宅対策課（電話：0422-60-1976）,https://www.city.musashino.lg.jp/kurashi_tetsuzuki/bosai_anzen/bosai_anzen_center_web/jishintaisaku/1005973.html,TRUE,2026-05-11
986,東京都,三鷹市,新エネルギー・省エネルギー設備設置助成金（令和8年度）,エコ,太陽光1万円/kW（上限10万円）・蓄電池5万円・高断熱窓費用の1/10（上限25万円）など,ownsHome,三鷹市民または市内事業所が太陽光・蓄電池・エコキュート・高断熱窓等を設置した際の費用を助成。設置後12カ月以内に申請。,設置後12カ月以内,生活環境部環境政策課（電話：0422-29-9612）,https://www.city.mitaka.lg.jp/c_service/118/118378.html,TRUE,2026-05-11
987,東京都,三鷹市,幼稚園在園児の保護者補助制度（保育料等補助金）,子育て,月額上限25700円（施設等利用費）ほか,hasChildren,三鷹市内の私立幼稚園・認定こども園に通う児童の保護者に対し入園料・保育料・預かり保育等を助成。所得に応じた階層区分あり。,年度内継続（4月申請）,子ども政策部子ども育成課（電話：0422-29-9674）,https://www.city.mitaka.lg.jp/c_service/087/087119.html,TRUE,2026-05-11
988,東京都,三鷹市,認可外保育施設利用助成制度,子育て,0〜2歳課税世帯：月額上限80000円,hasChildren,東京都認証保育所など認可外施設を利用する0〜5歳児の保護者に保育料の一部を助成。,通年（半期ごと申請）,子ども政策部子ども育成課（電話：0422-29-9672）,https://www.city.mitaka.lg.jp/c_service/108/108323.html,TRUE,2026-05-11
989,東京都,府中市,エコハウス設備設置費助成金交付事業,エコ,太陽光1kWあたり2万円（上限10万円）・断熱改修費用1/5（上限10万円）など,ownsHome,府中市民が住宅に太陽光・蓄電池・ヒートポンプ給湯器・断熱窓等を設置した際の費用を助成。,2026-04-06受付開始,生活環境部環境政策課環境改善係（電話：042-335-4196）,https://www.city.fuchu.tokyo.jp/kurashi/sekatu/datsutanso_ondanka/ekohausu.html,TRUE,2026-05-11
990,東京都,府中市,認可外保育施設等利用者保育料助成金（令和8年度）,子育て,0〜2歳課税世帯：月額上限67000円,hasChildren,府中市に住民登録がある0〜5歳児が認可外保育施設を月120時間以上利用する場合に保育料を助成。,2026-04〜2027-03,子ども家庭部保育支援課,https://www.city.fuchu.tokyo.jp/kosodate/shussan/hoikujo/ninsho_hojo.html,TRUE,2026-05-11
