id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1341,東京都,国立市,住宅用スマートエネルギー関連システム設置補助金,エコ,太陽光：2〜2.5万円/kW（上限10〜12.5万円）・エネファーム：4万円,ownsHome,太陽光発電システム・燃料電池・蓄電池等の設置費用を補助。先着順。,令和8年4月1日〜令和9年3月31日,生活環境部環境政策課 042-576-2111,https://www.city.kunitachi.tokyo.jp/soshiki/Dept05/Div02/Sec01/gyomu/chikyuondanka/hojokin/ecosubsidy.html,TRUE,2026-05-11
1342,東京都,国立市,国立市省エネ家電買換え促進補助制度,エコ,購入額（税抜）の1/4・上限1万円,ownsHome,LED照明・冷蔵庫・エアコン・給湯器を市内店舗で購入し自宅に設置した場合に費用の一部を補助。,令和8年4月1日〜令和9年3月31日（予算枯渇次第終了）,生活環境部環境政策課 042-576-2111,https://www.city.kunitachi.tokyo.jp/soshiki/Dept05/Div02/Sec01/gyomu/chikyuondanka/hojokin/kadenhojo.html,TRUE,2026-05-11
1343,東京都,国立市,防犯機器等の購入助成,安全,対象経費の1/2・上限2万円,all,防犯カメラ・カメラ付きインターホン・防犯フィルム・防犯錠などの購入費用を助成。1世帯1回限り。,2026年5月1日〜12月25日,行政管理部防災安全課 042-576-2111,https://www.city.kunitachi.tokyo.jp/soshiki/Dept02/Div05/Sec01/gyomu/0227/0231/hojo/12678.html,TRUE,2026-05-11
1344,東京都,国立市,国立市起業プランサポート事業補助金,生活支援,対象経費（税抜）の1/2・上限10万円,all,Kuni-Biz助言を受けた市内起業前後1年以内の中小企業者への補助。SDGs宣言必須。,予算上限達成次第終了,生活環境部まちの振興課商工観光係 042-576-2111,https://www.city.kunitachi.tokyo.jp/soshiki/Dept05/Div01/Sec02/gyomu/0473/0475/0478/9669.html,TRUE,2026-05-11
1345,東京都,国立市,こども医療費助成制度,子育て,健康保険自己負担分全額（所得制限なし）,hasChildren,市内在住の中学校修了まで（一部高校生等まで）の子どもの医療費自己負担分を助成。,通年,子ども家庭部子育て支援課 042-576-2105,https://www.city.kunitachi.tokyo.jp/soshiki/Dept04/Div02/Sec01/gyomu/0244/0247/index.html,TRUE,2026-05-11
1346,東京都,狛江市,狛江市地球温暖化対策用設備導入助成,エコ,エネファーム：5万円・高断熱窓：5〜10万円・宅配ボックス：2〜10万円,ownsHome,太陽光・蓄電池・燃料電池・高断熱窓・宅配ボックス等の設備導入費を助成。交付決定後に着工すること。,令和8年4月1日〜令和9年1月29日（先着順）,環境政策課 03-3430-1287,"https://www.city.komae.tokyo.jp/index.cfm/41,127297,313,2006,html",TRUE,2026-05-11
1347,東京都,狛江市,令和8年度狛江市防犯機器等購入緊急補助金,安全,実支出額の3/4・上限1万5千円,all,防犯カメラ・防犯フィルム・人感センサーライト・モニター付きインターホン・防犯砂利等購入費を補助。1世帯1回限り。,令和8年4月1日以降購入分,総務部安心安全課 03-3430-1190,"https://www.city.komae.tokyo.jp/index.cfm/42,137321,328,2049,html",TRUE,2026-05-11
1348,東京都,狛江市,狛江市子育て世帯に対する親世帯近居等促進助成金,子育て,住宅取得・引越し費用合計・上限20万円,hasChildren,子育て世帯が市内在住の親世帯と近居・同居するための住宅取得や引越し費用を助成。交付決定後に契約すること。,随時（要事前申請）,都市建設部まちづくり事業課 03-6698-0276,"https://www.city.komae.tokyo.jp/index.cfm/41,127250,315,html",TRUE,2026-05-11
1349,東京都,狛江市,狛江市市民公益活動事業補助金（スタート・チャレンジ補助金）,生活支援,スタート枠・チャレンジ枠あり（要確認）,all,市民が行う公益活動の立ち上げや活動継続を支援する補助金。NPO・市民団体等が対象。,年度内申請,市民活動支援課 03-3430-1111,"https://www.city.komae.tokyo.jp/index.cfm/46,0,364,2199,html",TRUE,2026-05-11
1350,東京都,狛江市,居宅訪問型病児・病後児保育利用料助成金,子育て,利用料の一部,hasChildren,病気・回復期の子どもをベビーシッターが自宅で保育する際の費用を助成。,通年,子ども政策課 03-3430-1111,"https://www.city.komae.tokyo.jp/index.cfm/43,0,331,2050,html",TRUE,2026-05-11
1351,東京都,稲城市,令和7年度稲城市カーボンニュートラル住宅設備等補助金,エコ,太陽光：2万円/kW（上限8万円）・蓄電池：4万円・エネファーム：2万円・燃料電池車：10万円等,ownsHome,太陽光発電・蓄電池・エネファーム・木質ペレットストーブ・燃料電池自動車・V2H・断熱改修等を補助。令和7年度分申請終了。,設置：令和7年3月1日〜令和8年2月28日（申請終了）,緑と環境課 042-378-2111,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1012438.html,TRUE,2026-05-11
1352,東京都,稲城市,木造住宅耐震改修等助成金,安全,改修費（税抜）の1/2・上限100万円,ownsHome,昭和56年5月31日以前等の在来軸組工法木造住宅の耐震改修費を補助。診断で倒壊可能性ありと判定が条件。,令和8年12月11日まで（申請）,都市建設部まちづくり再生課 042-378-2111,https://www.city.inagi.tokyo.jp/kurashi/sumai/1002965/1002969.html,TRUE,2026-05-11
1353,東京都,稲城市,乳幼児・義務教育就学児・高校生等医療費助成制度,子育て,健康保険自己負担分全額（所得制限なし）,hasChildren,市内在住で健康保険加入の乳幼児〜高校生相当年齢の医療費自己負担を全額助成。毎年10月更新。,通年,子育て支援課 042-378-2111,https://www.city.inagi.tokyo.jp/kosodate/kosodate/1004338/1004323/1011572.html,TRUE,2026-05-11
1354,東京都,稲城市,稲城市中小企業省エネ化設備導入補助事業,エコ,製造10年以上の設備をLED等省エネ設備に更新した経費の一部,all,市内の中小企業・医療法人・NPO等が既存設備（製造10年以上）をLED照明等に更新する費用を補助。,令和8年1月〜12月購入分,経済課 042-378-2111,https://www.city.inagi.tokyo.jp/sangyo/sanngyou/1005428/1012131.html,TRUE,2026-05-11
1355,東京都,稲城市,令和8年度稲城市カーボンニュートラル住宅設備等補助金（予告）,エコ,詳細は令和8年6月以降公開予定,ownsHome,太陽光発電・蓄電池・断熱改修等を対象とした令和8年度の住宅設備等補助金。令和8年7月申請開始予定。,令和8年7月申請開始予定,緑と環境課 042-378-2111,https://www.city.inagi.tokyo.jp/kankyo/kankyou/1005277/1012933/1005290/1013724.html,TRUE,2026-05-11
1356,東京都,東大和市,木造住宅耐震診断・耐震改修等助成,安全,診断：1/3（上限5万円）・改修：1/3（上限30万円）・除却：1/3（上限30万円）,ownsHome,昭和56年5月31日以前着工の木造2階建て以下戸建て住宅の耐震診断・改修・除却費用を補助。予算上限達成次第終了。,予算上限まで（通年）,まちづくり部都市づくり課地域整備係 042-563-2111,https://www.city.higashiyamato.lg.jp/kurashi/sumai/1002020/1002022.html,TRUE,2026-05-11
1357,東京都,東大和市,住民税非課税世帯等エアコン購入費補助,生活支援,1世帯あたり上限10万円,all,住民税非課税世帯・生活保護受給世帯でエアコン未所有または10年以上前の故障機がある世帯へのエアコン購入費を補助。,令和8年4月13日〜,健幸福祉部生活福祉課 042-563-2111,https://www.city.higashiyamato.lg.jp/kenkofukushi/chiikifukushi/1012044.html,TRUE,2026-05-11
1358,東京都,東大和市,子ども医療費助成制度（マル乳・マル子・マル青）,子育て,健康保険自己負担分全額（令和6年10月から完全無償化）,hasChildren,市内在住の0歳〜高校生相当年齢の医療費を全額助成。令和6年10月から所得制限も撤廃し完全無償化。,通年,子育て支援課 042-563-2111,https://www.city.higashiyamato.lg.jp/kosodatekyoiku/kosodate/1003193/index.html,TRUE,2026-05-11
1359,東京都,東大和市,分譲マンション耐震診断助成,安全,診断費用の2/3（上限200万円）,ownsHome,昭和56年5月31日以前建築確認の3階以上分譲マンション管理組合を対象とした耐震診断費を補助。,予算上限まで,まちづくり部都市づくり課地域整備係 042-563-2111,https://www.city.higashiyamato.lg.jp/kurashi/sumai/1002020/1002022.html,TRUE,2026-05-11
1360,東京都,東大和市,家庭用エアコン購入補助金（高齢者・障害者向け）,エコ,上限8万円,hasElderly,65歳以上の高齢者・障害者手帳所持者が緑色の省エネラベル星3.0以上のエアコンを購入した場合に補助。,令和7年8月30日〜（令和7年度）,東大和市環境対策課 042-563-2111,https://www.city.higashiyamato.lg.jp/kurashi/kankyo/1002207/index.html,TRUE,2026-05-11
1361,東京都,清瀬市,清瀬市太陽光発電機器等設置補助金,エコ,太陽光：3万円/kW（上限10万円）・エネファーム：5万円・蓄電池：5万円,ownsHome,市内在住で市税完納の住民が太陽光発電・エネファーム・蓄電池を設置した場合に補助。例年継続実施中。,令和7年4月1日〜（予算終了次第終了）,環境課環境政策係 042-497-2099,https://www.city.kiyose.lg.jp/kurashi/gomi/kankyouhozen/1003845/1013634.html,TRUE,2026-05-11
1362,東京都,清瀬市,子育てに関する補助・助成金（医療費助成等）,子育て,健康保険自己負担分助成（所得制限なし）,hasChildren,乳幼児・義務教育就学児・高校生等の医療費助成。018サポートや物価高対応子育て応援手当など子育て支援制度が充実。,通年,子育て支援課 042-492-5111,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/index.html,TRUE,2026-05-11
1363,東京都,清瀬市,清瀬市みどりの保全・創生に関する助成金,エコ,要問合せ（緑化推進のための助成）,ownsHome,生垣・庭木などの緑化活動を行う市民や団体への助成。,通年,環境課 042-492-5111,https://www.city.kiyose.lg.jp/kurashi/gomi/kankyouhozen/1003845/index.html,TRUE,2026-05-11
1364,東京都,清瀬市,清瀬市物価高対応子育て応援手当,子育て,要問合せ（物価高対応手当）,hasChildren,物価高騰対応として子育て世帯を対象とした応援手当を支給。,令和7年度実施,子育て支援課 042-492-5111,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/index.html,TRUE,2026-05-11
1365,東京都,清瀬市,清瀬しあわせ未来給付金,子育て,乳幼児・義務教育就学児を養育する世帯へ給付（要問合せ）,hasChildren,物価高対応として乳幼児および義務教育就学児を養育する子育て世帯への給付金。,令和7年度（要確認）,子育て支援課 042-492-5111,https://www.city.kiyose.lg.jp/kosodatekyouiku/kosodatehojo/index.html,TRUE,2026-05-11
1366,東京都,東久留米市,木造住宅耐震診断助成制度,安全,診断費の1/2以内・上限5万円,ownsHome,昭和56年5月31日以前建築の市内木造戸建て住宅（3階以下・在来軸組構法等）の耐震診断費を補助。市税完納が条件。,先着順（予算上限まで）,都市建設部施設建設課建築担当 042-470-7756,https://www.city.higashikurume.lg.jp/kurashi/kurashi/kenchiku/1000777.html,TRUE,2026-05-11
1367,東京都,東久留米市,木造住宅耐震改修助成制度,安全,改修費（税抜）の1/3以内・上限100万円,ownsHome,昭和56年5月31日以前建築の市内木造戸建て住宅でIw値1.0未満の耐震改修費を補助。令和6年度より60万円から100万円に引き上げ。,先着順（予算上限まで）,都市建設部施設建設課建築担当 042-470-7756,https://www.city.higashikurume.lg.jp/kurashi/kurashi/kenchiku/1008066.html,TRUE,2026-05-11
1368,東京都,東久留米市,乳幼児・義務教育就学児医療費助成（マル乳・マル子・マル青）,子育て,健康保険自己負担分を助成（通院1回200円除く・令和6年10月から所得制限撤廃）,hasChildren,0歳〜高校生相当年齢の医療費自己負担を助成。令和6年10月から義務教育就学児の所得制限撤廃。,通年,子ども家庭部児童青少年課助成支援係 042-470-7736,https://www.city.higashikurume.lg.jp/kurashi/kosodate/teate/1000456.html,TRUE,2026-05-11
