id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1721,愛知県,名古屋市,子どもあんしん住まいる補助金,子育て,最大20万円,hasChildren,12歳以下の子どもがいる世帯または妊娠世帯向けに転落防止手すり・鍵付きクレセント錠・チャイルドゲート等の安全対策商品購入・工事費用の1/2を補助,2026年4月1日〜2027年2月28日,子どもあんしん住まいる補助金事務局 TEL:052-485-7034,https://www.city.nagoya.jp/jutakutoshi/page/0000173316.html,TRUE,2026-05-11
1722,愛知県,名古屋市,住宅等の脱炭素化促進補助（太陽光・断熱窓・蓄電等）,エコ,太陽光1kW当たり2〜3万円／断熱窓上限10万円／蓄電1kWh当たり1.5万円（上限10kWh）など,ownsHome,名古屋市内の住宅に対し太陽光発電・ZEH・蓄電システム・断熱窓改修・V2H・エネファームの設置費用を補助,2026年7月1日〜2027年2月12日（工事完了後申請）,住宅等の脱炭素化促進補助金受付窓口 TEL:052-485-7073,https://www.city.nagoya.jp/kurashi/juutaku/1014710/1043868.html,TRUE,2026-05-11
1723,愛知県,名古屋市,子ども医療費助成制度,子育て,保険診療の自己負担額を全額助成,hasChildren,18歳到達年度末までの市内在住の子どもを対象に保険診療の自己負担額を名古屋市が負担。所得制限なし,通年（出生・転入時に申請）,健康福祉局医療福祉課 TEL:052-972-2574,https://www.city.nagoya.jp/kenkofukushi/page/0000097221.html,TRUE,2026-05-11
1724,愛知県,名古屋市,ひとり親家庭等医療費助成制度,子育て,保険診療の自己負担額を助成,hasChildren,市内在住のひとり親家庭（児童扶養手当受給者等）を対象に病院・薬局での保険診療自己負担額を助成,通年（区役所保険年金課で申請）,健康福祉局医療福祉課 TEL:052-972-2574,https://www.city.nagoya.jp/kenkofukushi/page/0000009247.html,TRUE,2026-05-11
1725,愛知県,名古屋市,住宅用太陽光発電・ZEH等脱炭素補助（新築ZEH向け）,エコ,ZEH10万円／ZEH+20万円／GX志向型30万円,ownsHome,市内に住宅・本店を持つ者が対象。ZEH・ZEH+・GX志向型住宅の新築に対し定額を補助,2026年7月1日〜2027年2月12日,住宅等の脱炭素化促進補助金受付窓口 TEL:052-485-7073,https://www.city.nagoya.jp/kurashi/juutaku/1014710/1043868.html,TRUE,2026-05-11
1726,愛知県,豊田市,エコファミリー支援補助金（住宅編）,エコ,設備・区分により異なる（要チラシ確認）,ownsHome,スマートハウス（太陽光・HEMS・蓄電池またはV2H）の一体的導入、蓄電池・燃料電池の単体導入費用の一部を補助,2026年4月1日〜2027年3月1日,環境部環境政策課補助金窓口 TEL:0565-41-7391,https://www.city.toyota.aichi.jp/kurashi/kankyou/hojokin/1023875.html,TRUE,2026-05-11
1727,愛知県,豊田市,エコファミリー支援補助金（自動車編）,エコ,設備・車種により異なる（要チラシ確認）,all,次世代自動車（電気自動車・プラグインハイブリッド車・燃料電池車等）の購入費用の一部を補助,2026年4月1日〜2027年3月31日,環境部環境政策課補助金窓口 TEL:0565-41-7391,https://www.city.toyota.aichi.jp/kurashi/kankyou/hojokin/1023875.html,TRUE,2026-05-11
1728,愛知県,豊田市,木造住宅地震防災対策補助（耐震改修工事）,安全,上限115万円（工事費の4/5）,ownsHome,昭和56年5月31日以前着工の木造住宅（2階建て以下）を対象に耐震補強設計（上限20万円）・一般耐震改修工事（上限115万円）等を補助,申請年度の2月末日までに実績報告書提出,都市整備部建築相談課 TEL:0565-34-6649,https://www.city.toyota.aichi.jp/kurashi/bousaibouhan/bousaishien/1013899/1002571.html,TRUE,2026-05-11
1729,愛知県,豊田市,児童扶養手当,子育て,月額11340円〜48050円（児童1人の場合）,hasChildren,父母が離婚・死亡等でひとり親となった18歳以下の児童を監護するひとり親家庭の親または養育者に支給（所得制限あり）,通年（申請月の翌月から支給）,おやこ応援課 TEL:0565-34-6966,https://www.city.toyota.aichi.jp/kurashi/kosodateshien/1027167/1003497.html,TRUE,2026-05-11
1730,愛知県,豊田市,障がい者就労支援奨励金,福祉,1日最大280円×利用日数,all,就労選択支援・就労移行支援・就労継続支援事業を利用する障がい者に対し就労意欲の向上と継続的就労活動を支援するため奨励金を支給,通年（利用月の翌月10日までに請求）,障がい福祉課 TEL:0565-34-6751,https://www.city.toyota.aichi.jp/kurashi/fukushi/shougaisha/1030039/1003231.html,TRUE,2026-05-11
