id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1501,福岡県,福岡市,令和8年度 次世代自動車普及支援事業（電気自動車等）補助金,エコ,EV10万円／FCV60万円,all,電気自動車・燃料電池自動車の購入費用を補助。福岡市に住民登録がある個人が対象,2026-05-07〜2027-03-01,福岡市地球温暖化対策市民協議会事務局 092-711-4204,https://www.city.fukuoka.lg.jp/kankyo/j-suishin/hp/ev_hojo.html,TRUE,2026-05-11
1502,福岡県,福岡市,令和8年度 住宅用エネルギーシステム導入支援事業補助金,エコ,蓄電池上限15〜45万円／V2H上限20万円,ownsHome,太陽光発電・蓄電池・V2H・エコキュート・燃料電池の設置を補助。HEMSとの組み合わせが必須,2026-05-07〜2027-01-29,住宅用エネルギーシステム導入支援事業補助金交付事務局 092-260-3252,https://www.city.fukuoka.lg.jp/kankyo/j-suishin/hp/energy-system_reiwa.html,TRUE,2026-05-11
1503,福岡県,福岡市,子育て世帯住替え助成事業,子育て,上限15〜20万円（引越し費用等の1/2）,hasChildren,子育て世帯が親世帯と同居・近居または多子のために住替える際の費用を補助,2026-04-01〜2026-08-30,住宅都市みどり局住宅計画課 092-711-4279,https://www.city.fukuoka.lg.jp/jutaku-toshi/jigyochosei/life/sumikaejyosei_2.html,TRUE,2026-05-11
1504,福岡県,福岡市,子育て世帯市内引越し応援事業,子育て,住宅取得最大100万円・家賃最大50万円・引越し上限15万円,hasChildren,福岡市内で転居する子育て世帯に住宅取得費・家賃・引越し費用を最長5年間補助,2026-04-01〜2027-02-28,住宅都市みどり局住宅計画課 092-711-4279,https://www.city.fukuoka.lg.jp/jutaku-toshi/jigyochosei/life/kosodatehikkoshi.html,TRUE,2026-05-11
1505,福岡県,北九州市,令和7年度くらし応援手当,生活支援,1世帯1万円,all,住民税均等割が全員非課税の世帯に1万円を支給。物価高対応の給付金,〜2026-05-29,北九州市くらし応援手当コールセンター 0120-034-553,https://www.city.kitakyushu.lg.jp/contents/18200261_00003.html,TRUE,2026-05-11
1506,福岡県,北九州市,物価高対応子育て応援手当,子育て,子ども1人2万円（1回限り）,hasChildren,0歳から高校3年生までの子どもを持つ児童手当受給世帯に子ども1人あたり2万円を支給,〜2026-04-30,北九州市物価高対応子育て応援手当コールセンター 093-582-2155,https://www.city.kitakyushu.lg.jp/contents/11700270_00001.html,TRUE,2026-05-11
1507,福岡県,北九州市,子ども医療費支給制度,子育て,3歳未満は無料・以降は月額一部負担のみ,hasChildren,健康保険加入の18歳以下の子どもの医療費自己負担分を助成。所得制限なし,随時,各区役所保健福祉課子ども・家庭相談係 093-582-3434,https://www.city.kitakyushu.lg.jp/contents/11700129.html,TRUE,2026-05-11
1508,福岡県,北九州市,木造住宅耐震補強・省エネ改修工事補助,住まい,最大140万6千円（耐震最大115万円＋省エネ最大25万円）,ownsHome,昭和56年5月以前建築の木造住宅の耐震補強と省エネ改修を同時施工する場合に補助,2026-04-13〜予算終了まで,北九州市建築指導課 093-582-2531,https://www.city.kitakyushu.lg.jp/contents/06700117.html,TRUE,2026-05-11
1509,福岡県,北九州市,職場環境整備助成金,生活支援,上限50万円（対象経費の1/2以内）,all,市内中小企業が従業員の働きやすさ向上のための職場環境整備に要する費用の一部を助成,2026-04-06〜2027-02-26,産業経済局中小企業振興課 093-873-1433,https://www.city.kitakyushu.lg.jp/contents/10700001.html,TRUE,2026-05-11
1510,福岡県,久留米市,住宅リフォーム助成事業補助金,住まい,上限10万円（対象工事費の50%）,ownsHome,省エネ改修またはバリアフリー改修工事費10万円以上が対象。市内業者施工が条件,2025-05-08〜予算終了まで（実績報告2026-02-27まで）,都市建設部住宅政策課 0942-30-9139,https://www.city.kurume.fukuoka.jp/1050kurashi/2080juutaku/3070sumaisoudan/2012-1017-1403-209.html,TRUE,2026-05-11
1511,福岡県,久留米市,ZEH化等推進事業補助金,エコ,ZEH最大5万円・ZEH+最大10万円,ownsHome,戸建住宅の新築・改修でZEH水準を満たす住宅に補助。地球温暖化対策推進,年度内受付,久留米市環境部環境政策課,https://www.city.kurume.fukuoka.jp/1050kurashi/2030kankyougomi/3125ekopartner/2023-0904-1634-199.html,TRUE,2026-05-11
1512,福岡県,久留米市,物価高対応子育て応援手当,子育て,子ども1人2万円（1回限り）,hasChildren,18歳以下の子どもを養育する児童手当受給者に対し1人あたり2万円を支給,令和7年度内,子ども未来部家庭子ども相談課 0942-30-9066,https://www.city.kurume.fukuoka.jp/1060manabi/2010kosodate/3050kosodate/2026-0107-1046-44.html,TRUE,2026-05-11
1513,福岡県,春日市,物価高対応子育て応援手当,子育て,子ども1人2万円（1回限り）,hasChildren,0歳から高校生年代まで養育する保護者で児童手当受給者に1人あたり2万円を支給,2026-02-02〜2026-06-30,こども未来課 こども政策・給付担当 092-584-1126,https://www.city.kasuga.fukuoka.jp/kosodate/kosodate/kosodatesien/1017049.html,TRUE,2026-05-11
