id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1661,福岡県,糸島市,糸島市アピアランスケア推進事業補助金,福祉,医療用ウィッグ等：上限2万円／補整具等：上限1万円（各購入費の1/2）,all,がん治療中または治療を受けた糸島市民を対象に医療用ウィッグや乳房補整具の購入費の一部を補助。令和7年4月1日から課税状況に関わらず対象拡大。,購入翌日から1年以内に申請,健康づくり課 092-332-2069,https://www.city.itoshima.lg.jp/s013/010/020/20230317153154.html,TRUE,2026-05-11
1662,福岡県,糸島市,糸島市木造戸建て住宅性能向上改修補助金,住まい,耐震改修：工事費40%（上限115万円）・省エネ改修：25%（上限25万円）・除却：23%（上限30万円）,ownsHome,昭和56年5月31日以前建築の木造一戸建てで耐震診断評点1.0未満の住宅を対象に耐震改修・省エネ改修・除却工事費の一部を補助。先着順・予算上限次第締切。,予算上限に達し次第締切,都市計画課 092-332-2077,https://www.city.itoshima.lg.jp/s021/030/040/010/taishinkaishuhojo.html,TRUE,2026-05-11
1663,福岡県,糸島市,令和8年度糸島市経営強化・事業成長支援補助金,生活支援,補助対象経費の2/3（上限・下限設定あり）,all,商工業等を営む中小企業が経営基盤強化・事業革新・持続的発展に取り組む際の経費の一部を補助。,令和8年度受付中（2027年2月28日まで）,経済振興課商業振興係 092-332-2096,https://www.city.itoshima.lg.jp/s047/020/010/160/100/20260302130809.html,TRUE,2026-05-11
1664,福岡県,糸島市,糸島市空き家活用推進補助金,住まい,対象経費の1/2,ownsHome,空き家を売却または賃貸するために相続登記・家財撤去を行い空き家バンクへ登録した所有者を対象に費用の一部を補助。,通年受付（予算上限次第締切）,都市計画課 092-332-2077,https://www.city.itoshima.lg.jp/s006/b030/01.html,TRUE,2026-05-11
1665,福岡県,太宰府市,令和8年度太宰府市地球温暖化対策推進補助金,エコ,太陽光・蓄電池・燃料電池・次世代自動車の導入費用の一部（詳細は環境課へ要確認）,ownsHome,戸建て住宅に太陽光発電・蓄電池・家庭用燃料電池を設置した者または電気自動車・燃料電池自動車・PHVを購入した市民を対象に補助金を交付。,令和8年4月〜令和9年2月末（予定）,環境課環境保全係 092-921-2121,https://www.city.dazaifu.lg.jp/soshiki/10/16149.html,TRUE,2026-05-11
1666,福岡県,太宰府市,令和8年度ブロック塀等撤去促進事業補助金,安全,撤去費用の2/3（上限16万円）,ownsHome,道路に面する危険なブロック塀・石塀等の撤去費用の一部を補助。申請期間は令和8年4月20日〜令和9年1月29日。,2026年4月20日〜2027年1月29日,都市計画課都市計画係 092-921-2121,https://www.city.dazaifu.lg.jp/soshiki/20/3502.html,TRUE,2026-05-11
1667,福岡県,太宰府市,令和8年度木造戸建て住宅性能向上改修等補助金,住まい,耐震改修：工事費50%（上限60万円）＋省エネ改修：25%（上限15万円）＋除却：23%（上限30万円）,ownsHome,昭和56年5月31日以前建築の木造戸建て住宅を対象に耐震・省エネ改修や除却工事費を補助。申請期間は令和8年4月20日〜12月28日。,2026年4月20日〜2026年12月28日,都市計画課都市計画係 092-921-2121,https://www.city.dazaifu.lg.jp/soshiki/20/3512.html,TRUE,2026-05-11
1668,福岡県,太宰府市,太宰府市地域の居場所づくり推進事業補助金（子ども食堂）,子育て,運営費：月1回12万円・月2回以上24万円・試行5万円・施設整備費10万円,all,市内で子ども食堂など地域の居場所づくりを行う4人以上の団体に対し運営費・施設整備費を補助。市税滞納がないことが条件。,随時（詳細は生活支援課へ要確認）,生活支援課生活支援係 092-921-2121,https://www.city.dazaifu.lg.jp/soshiki/14/40001.html,TRUE,2026-05-11
1669,福岡県,太宰府市,太宰府市気候変動適応対策エアコン購入費補助金,福祉,購入費（税抜）の1/2（上限3万円）,hasElderly,65歳以上のみで構成される世帯が令和7年4月1日以降に自宅に設置したエアコンの購入費を補助。令和8年度は要確認。,令和7年5月〜令和8年2月（令和7年8月で予算終了・令和8年度要確認）,環境課環境保全係 092-921-2121,https://www.city.dazaifu.lg.jp/soshiki/10/40791.html,TRUE,2026-05-11
1670,福岡県,古賀市,古賀市創業支援事業補助金,生活支援,創業に必要な経費の一部（予算に限りあり）,all,古賀市内で新たに創業する者に対し店舗改装費・機械購入費等の創業経費の一部を補助。申請期間は令和8年4月1日〜12月11日。,2026年4月1日〜2026年12月11日,商工政策課商業観光係 092-942-1176,https://www.city.koga.fukuoka.jp/cityhall/work/shoukou/039.php,TRUE,2026-05-11
1671,福岡県,古賀市,古賀市木造戸建住宅性能向上改修工事等補助金,住まい,性能向上改修：工事費25%（上限30万円）・除却：23%（上限30万円）,ownsHome,市内木造戸建て住宅の耐震・省エネ改修工事費の一部を補助。予算上限に達し次第受付終了。,予算上限に達し次第締切,都市整備課開発指導係 092-942-1119,https://www.city.koga.fukuoka.jp/cityhall/work/toshikeikaku/031.php,TRUE,2026-05-11
