id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1791,兵庫県,神戸市,老朽空家等解体補助制度,住まい,最大100万円,ownsHome,1986年12月31日以前に建てられた腐朽・破損のある空き家を解体する費用を補助。基本最大60万円・3戸以上の共同住宅で100㎡以上は最大100万円,2026-03-02〜2027-01-12,すまいるネット（老朽空家解体補助専用）TEL:078-647-9969,https://www.city.kobe.lg.jp/a92551/business/todokede/jutakutoshikyoku/building/work/roukyuakiyahojo.html,TRUE,2026-05-11
1792,兵庫県,神戸市,住宅耐震改修設計・工事補助,安全,最大115万円（工事費）,ownsHome,1981年5月31日以前着工の耐震性が低い住宅が対象。大地震対応の工事費補助は対象費用の4/5（上限115万円）・計画策定費は9/10（上限27万円）,2026-04-02〜2027-01-15,すまいるネット TEL:078-647-9933,https://www.city.kobe.lg.jp/a31423/shise/kekaku/kenchikujutakukyoku/policy/taishinkasokushin/hojosedo/sekke-koji.html,TRUE,2026-05-11
1793,兵庫県,神戸市,空き家活用応援制度（地域利用補助）,住まい,最大200万円,ownsHome,空き家を改修して社会貢献活動・地域活動に活用する場合に改修費等の1/2（上限200万円）を補助。2年以上の継続活動が条件,2026-04-20〜2026-12-10,すまいるネット TEL:078-647-9933,https://www.city.kobe.lg.jp/a94208/kurashi/sumai/jutaku/information/akiya-riyobank/renovation.html,TRUE,2026-05-11
1794,兵庫県,神戸市,こうべ「住む×働く」若者応援補助金,生活支援,月最大1.4万円,all,神戸市内企業が40歳未満の採用3年未満の社員に住宅手当・借上げ宿舎を提供する場合に企業負担分の1/2（月上限1万円・加算エリアは1.4万円）を補助,2026-05-15〜2026-12-21,補助金申請コールセンター TEL:050-5527-8658,https://www.city.kobe.lg.jp/a31812/jutakuteate.html,TRUE,2026-05-11
1795,兵庫県,神戸市,燃料電池自動車（FCV）普及促進補助金,エコ,上限額あり（要確認）,all,市内在住の個人がFCVを新規購入した場合に補助。国の補助事業対象車が条件,要確認,神戸市環境局脱炭素推進課,https://www.city.kobe.lg.jp/a73498/business/kankyotaisaku/kotuukougai/jisedaicar.html,TRUE,2026-05-11
1796,兵庫県,西宮市,住宅リフォーム助成事業（令和8年度1次募集）,住まい,最大15万円,ownsHome,市内施工業者を利用して40万円以上の自宅改修工事を行う場合に工事費の10%（上限15万円）を助成。所有者かつ居住者・市税滞納なし・過去未受給が条件,2026-04-24〜2026-05-25（申請受付5/29〜7/21）,西宮市役所商工課 TEL:0798-35-3641,https://www.nishi.or.jp/kurashi/sumai/josei/R8-1Reform.html,TRUE,2026-05-11
1797,兵庫県,西宮市,雨水タンク・浸透桝設置助成制度,エコ,要確認,ownsHome,屋根などに降った雨を溜める雨水タンクや地中浸透させる浸透桝の設置費用を助成。設置工事前に申請必須,4月1日〜翌2月末（通年受付）,西宮市担当課（要確認）,http://www.city.nishinomiya.lg.jp/kurashi/sumai/josei/usuiT-shintoM-josei.html,TRUE,2026-05-11
1798,兵庫県,西宮市,移住支援金（北部地域移住）,生活支援,最大100万円＋子1人あたり30万円加算,all,東京圏から西宮市北部（塩瀬・山口地区）へ移住し兵庫県マッチングサイト登録企業等に就業した場合に支援金を交付。2人以上世帯100万円・単身60万円,移住日から1年以内に申請,西宮市地域創生担当課,http://www.city.nishinomiya.lg.jp/shisei/chihousousei/ijushien/index.html,TRUE,2026-05-11
1799,兵庫県,西宮市,福祉医療費支給（子どもの医療費助成）,子育て,医療費自己負担分を助成,hasChildren,0歳から高校生まで医療費の自己負担分を助成。通院・入院・薬局窓口負担分が対象,通年,西宮市子育て手当課,http://www.city.nishinomiya.lg.jp/kurashi/iryohijosei/iryouhijosei_info/shikyuushinnsei.html,TRUE,2026-05-11
1800,兵庫県,西宮市,民間賃貸住宅への住み替え支援（子育て向け家賃補助）,子育て,要確認,hasChildren,子育て世帯・若年世帯が一定条件を満たす民間賃貸住宅へ住み替える場合の経済的支援。,要確認,西宮市住宅入居・家賃課,http://www.city.nishinomiya.lg.jp/kurashi/sumai/josei/index.html,TRUE,2026-05-11
1801,兵庫県,明石市,家庭用脱炭素化設備導入支援補助金,エコ,最大10万円（新築）・太陽光最大10万円＋蓄電池8万円,ownsHome,市内住宅に太陽光発電システム・蓄電池を設置する場合に補助。既存住宅の太陽光は3kW未満5万円・3kW以上10万円。蓄電池は一律8万円,2026年度は次年度要確認,明石市環境創造課 TEL:078-918-5786,https://www.city.akashi.lg.jp/kankyou/kankyou_soumu_ka/top/shouenesetsubidounyuusien.html,TRUE,2026-05-11
1802,兵庫県,明石市,住宅リフォーム助成事業,住まい,要確認（例年実施）,ownsHome,市民が市内施工業者を利用して省エネ化・バリアフリー化などの改修工事を行う場合に費用の一部を助成,年度ごとに受付（要確認）,明石市産業振興課,https://www.city.akashi.lg.jp/sangyou/sangyou_ka/top/rifomu.html,TRUE,2026-05-11
1803,兵庫県,明石市,あかし市民活動応援助成金,生活支援,要確認,all,市民活動団体・自治会等が地域課題解決のために行う活動に対する助成金。2026年度の申請書は4月1日から配付,2026年度募集中（詳細要確認）,明石市市民協働室,https://www.city.akashi.lg.jp/community/s_kyoudou_shitsu/kurashi/community_machizukuri_shimin/hojokin_itaku/s_katsudo_support.html,TRUE,2026-05-11
1804,兵庫県,明石市,雇用関係各種助成金（国・県制度の案内）,生活支援,制度により異なる,all,明石市が窓口となって案内する雇用関係の各種助成金。中小企業向け雇用維持・育成・就職支援等,通年（制度ごとに異なる）,明石市産業振興課 雇用担当,https://www.city.akashi.lg.jp/sangyou/sangyou_ka/koyoukankei.html,TRUE,2026-05-11
1805,兵庫県,明石市,チャレンジ・スタートアップ事業者支援補助金,生活支援,要確認（次年度募集未定）,all,明石市内で新たに事業を開始する創業者・スタートアップを支援する補助金,要確認,明石市産業振興課,https://www.city.akashi.lg.jp/sangyou/sangyou_ka/shokhogyo/shoukougyou/sinsyouhin.html,TRUE,2026-05-11
1806,兵庫県,姫路市,省エネ家電買換え促進事業補助金,エコ,最大7万円,all,省エネ基準達成率100%以上のエアコン（壁掛型）・冷蔵庫への買換え費用を補助。1世帯1回限り・市内住民で世帯主かつ市税滞納なし,購入対象期間2026-05-11〜10-16 申請受付2026-06-01〜10-30,姫路市省エネ家電買換え促進事業事務局 TEL:050-3515-7929,https://www.city.himeji.lg.jp/kurashi/0000032527.html,TRUE,2026-05-11
