id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1856,京都府,京都市,子ども医療費支給制度,子育て,月200円負担（通院）,hasChildren,中学3年生までの子どもの医療費を助成。通院は月200円の窓口負担のみ。所得制限なし。,随時,075-222-3777,https://www.city.kyoto.lg.jp/hagukumi/page/0000067393.html,TRUE,2026-05-11
1857,京都府,京都市,不妊治療費等助成事業（一般不妊治療費等助成事業）,子育て,自己負担の1/2・年度上限6万円（先進医療含む場合10万円）,all,医療保険適用の不妊治療費を助成。京都府内1年以上在住・医療保険加入が条件。治療日翌日から1年以内に申請。,随時（治療日から1年以内）,075-222-3777,https://www.city.kyoto.lg.jp/hagukumi/page/0000173095.html,TRUE,2026-05-11
1858,京都府,京都市,京都市物価高対応子育て応援手当,子育て,児童1人あたり2万5千円（国2万円＋市5千円上乗せ）,hasChildren,0歳〜高校生年代の児童を養育する保護者に一時金を支給。令和7年9月分児童手当受給者が主な対象。申請期限は令和8年6月30日。,令和8年1月26日〜令和8年6月30日,075-222-3777,https://www.city.kyoto.lg.jp/hagukumi/page/0000348634.html,TRUE,2026-05-11
1859,京都府,京都市,令和8年度自転車用ヘルメット購入費補助（自転車教室参加者対象）,安全,2000円（1人1回限り）,all,市指定の自転車安全教室（大宮交通公園）に参加後、協力店で安全基準適合の新品ヘルメットを購入した16歳以上の市民に補助。,令和8年5月・6月の教室参加後翌月末まで,075-222-3565,https://www.city.kyoto.lg.jp/kensetu/page/0000351629.html,TRUE,2026-05-11
1860,京都府,京都市,令和7年度すまいの耐震・防火補助制度（まちの匠・ぷらす）,住まい,上限300万円,ownsHome,昭和56年以前の京町家・木造住宅の耐震診断・耐震改修・防火改修工事を補助。令和8年度は4月頃に案内予定。,令和7年度受付終了（令和8年度は令和8年4月頃案内）,075-744-1631,https://www.city.kyoto.lg.jp/tokei/page/0000338730.html,TRUE,2026-05-11
1861,京都府,京都市,京都市くらし応援給付金（令和7年度住民税非課税世帯）,生活支援,1世帯あたり3万円,all,令和7年度住民税が均等割非課税の世帯等に給付金を支給。物価高騰への生活支援を目的とする。,令和7年度実施,075-222-3777,https://www.city.kyoto.lg.jp/hokenfukushi/page/0000348577.html,TRUE,2026-05-11
1862,京都府,京都市,再エネ・省エネ補助金等の御案内（市民向け）,エコ,各補助制度による,all,京都市・京都府・国の省エネ設備・再エネ設備導入に関する補助制度を市公式サイトでまとめて案内。太陽光・蓄電池・省エネ改修等が対象。,随時,075-222-3565,https://www.city.kyoto.lg.jp/menu1/category/14-29-0-0-0-0-0-0-0-0.html,TRUE,2026-05-11
1863,京都府,宇治市,木造住宅耐震改修補助,住まい,上限115万円（耐震改修A）,ownsHome,昭和56年5月31日以前着工の木造住宅が対象。評点1.0以上達成工事に最大115万円、0.7以上工事に最大100万円等。建築指導課が窓口。,令和8年4月7日〜令和9年1月15日,0774-22-3141,https://www.city.uji.kyoto.jp/site/ijuteiju/38475.html,TRUE,2026-05-11
1864,京都府,宇治市,令和8年度ゼロ・エネルギー・ハウス普及促進事業費補助金（ZEH補助金）,エコ,1件30万円,ownsHome,宇治市内戸建住宅にZEHを新築・購入し国の補助金交付確定を受けた個人に市独自で30万円を追加補助。市税滞納がないこと等が条件。,令和8年度（詳細は市に要確認）,0774-20-8726,https://www.city.uji.kyoto.jp/site/ijuteiju/50198.html,TRUE,2026-05-11
1865,京都府,宇治市,家庭向け自立型再生可能エネルギー導入事業費補助金（FIT売電可）,エコ,太陽光1kWあたり1万円（上限4万円）＋蓄電池1kWhあたり1.6万円（上限8万円）,ownsHome,市内自有住宅に太陽光発電（2kW以上10kW未満）と蓄電設備（1kWh以上）を同時設置する市民に補助。FIT認定取得者が対象。,令和8年4月6日〜令和9年3月15日,0774-20-8726,https://www.city.uji.kyoto.jp/soshiki/21/75183.html,TRUE,2026-05-11
1866,京都府,宇治市,宇治市ゼロカーボン設備導入事業費補助金,エコ,太陽光上限8万円・蓄電池上限21万円・高効率給湯機器上限30万円・コージェネ上限80万円,ownsHome,FIT・FIP認定を取得しない設備導入者向け。太陽光＋蓄電池の同時設置等が対象。発電電力の30%以上を自家消費する条件あり。,令和7年度実施（令和8年度は要確認）,0774-20-8726,https://www.city.uji.kyoto.jp/soshiki/21/81824.html,TRUE,2026-05-11
1867,京都府,宇治市,不妊治療等助成制度,子育て,自己負担の1/2・年度上限6万円（先進医療含む場合10万円）,all,一般不妊治療・人工授精および不育症治療に要した費用を助成。京都府内1年以上在住・保険加入等が条件。,随時（治療日から1年以内に申請）,0774-22-3141,https://www.city.uji.kyoto.jp/site/kosodate/6394.html,TRUE,2026-05-11
1868,京都府,宇治市,子育て支援医療費助成（京都府医療費助成制度）,子育て,通院・入院の自己負担額を助成,hasChildren,中学3年生以下の子どもの医療費自己負担を助成。府内医療機関受診時は受給者証を提示。,随時,0774-22-3141,https://www.city.uji.kyoto.jp/site/kosodate/list104-281.html,TRUE,2026-05-11
1869,京都府,亀岡市,子育て応援支援事業補助金（住宅リフォーム）,子育て,1子最大10万円・2子最大20万円・3子以上最大30万円（三世代同居は5万円加算）,hasChildren,子の親権者が居住する住宅で子育て環境改善のリフォーム（20万円以上の工事）を行う場合に補助。所得合計550万円未満の条件あり。,予算の範囲内（事前申請要）,0771-56-8520,https://www.city.kameoka.kyoto.jp/soshiki/36/1834.html,TRUE,2026-05-11
1870,京都府,亀岡市,物価高対応子育て応援手当,子育て,児童1人あたり2万円（1回限り）,hasChildren,令和7年9月分の児童手当受給者の0歳〜高校3年生年代の児童に一時金を支給。申請期限は令和8年6月30日。,令和8年6月30日まで申請,0771-25-5027,https://www.city.kameoka.kyoto.jp/soshiki/27/82169.html,TRUE,2026-05-11
1871,京都府,亀岡市,亀岡市家庭向け自立型再生可能エネルギー導入事業費補助金（FIT売電可）,エコ,太陽光1kWあたり1万円（上限4万円）＋蓄電池1kWhあたり1.7万円（上限10.2万円）,ownsHome,市内住宅に太陽光発電システムと蓄電設備を同時設置する市民に補助。市税滞納なし・FIT認定取得者が条件。,令和8年3月6日〜3月16日（第3回受付）,0771-25-5023,https://www.city.kameoka.kyoto.jp/soshiki/21/25974.html,TRUE,2026-05-11
1872,京都府,亀岡市,亀岡市高齢者通い場事業助成金,福祉,年間最大13万円（消耗品3万円＋会場使用料10万円）,hasElderly,亀岡市内で高齢者が月2回以上・2時間以上・3人以上で集まるクラブ・サークル活動に助成。孤立防止・介護予防を目的とする。,申請受付中（予算の範囲内）,0771-25-5004,https://www.city.kameoka.kyoto.jp/soshiki/26/60857.html,TRUE,2026-05-11
1873,京都府,亀岡市,亀岡市創業支援助成金,生活支援,上限30万円（商工会議所加入で上限50万円）,all,市内で創業し京都府中小企業融資制度等を活用した者に融資額の3%＋広告宣伝費の1/2を助成。創業から3〜9ヶ月以内に申請。,創業から3〜9ヶ月以内に申請,0771-25-5033,https://www.city.kameoka.kyoto.jp/soshiki/29/3591.html,TRUE,2026-05-11
1874,京都府,亀岡市,住居確保給付金,生活支援,家賃相当額（上限あり）,all,離職や廃業等で収入が減少した方に家賃相当額を有期で給付し就労・自立を支援。,随時,0771-25-5012,https://www.city.kameoka.kyoto.jp/site/covid-19/3164.html,TRUE,2026-05-11
1875,京都府,亀岡市,亀岡市家庭向け自立型再生可能エネルギー導入事業費補助金（FIT売電不可）,エコ,太陽光・蓄電池・高効率給湯機器等を対象に補助率1/2,ownsHome,FIT・FIP認定を取得しない形で太陽光・蓄電池等を設置する市民向け補助。詳細は市環境政策課に要確認。,令和7年度実施,0771-25-5023,https://www.city.kameoka.kyoto.jp/soshiki/21/68835.html,TRUE,2026-05-11
1876,京都府,長岡京市,COOL CHOICE実践補助金,エコ,薪ストーブ上限10万円／窓断熱上限5万円／次世代自動車定額10万円／燃料電池定額5万円など,all,温暖化防止のため市民・事業者が省エネ設備等を導入する費用を補助。太陽光・蓄電池・窓断熱・薪ストーブ・次世代自動車等8メニュー。予算の範囲内で先着順。,〜令和9年3月12日（メニューにより異なる）,075-955-9542,https://www.city.nagaokakyo.lg.jp/0000010968.html,TRUE,2026-05-11
1877,京都府,長岡京市,長岡京市生活応援給付金（令和8年物価高騰対策）,生活支援,非課税世帯3万円・課税世帯5千円（所得900万円以下）,all,物価高騰対策として令和7年12月19日時点で市に住民登録がある非課税世帯等に給付。原則申請不要で対象世帯に通知。,令和8年6月30日まで（確認書申請）,075-955-9545,https://www.city.nagaokakyo.lg.jp/0000015510.html,TRUE,2026-05-11
1878,京都府,長岡京市,子育て支援医療費助成制度,子育て,通院月200円負担（中学3年生以下）・高校生入院は償還払い,hasChildren,長岡京市民の0歳〜高校3年生が対象。中学3年生まで通院は月200円の自己負担のみ。令和5年9月から高校生の入院まで対象拡大。,随時,075-955-9519,https://www.city.nagaokakyo.lg.jp/0000001493.html,TRUE,2026-05-11
