id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1401,大阪府,大阪市,ブロック塀等撤去促進事業補助金,安全,撤去15万円・新設25万円,ownsHome,道路に面した高さ80cm以上のブロック塀等の撤去および軽量フェンス新設工事費の1/2を補助,2026-12-28まで（令和8年度）,大阪市 都市整備局住環境整備課 06-6208-9233,https://www.city.osaka.lg.jp/toshiseibi/page/0000550246.html,TRUE,2026-05-11
1402,大阪府,大阪市,市民活動推進助成事業,生活支援,1事業100万円以内,all,NPO法人・ボランティアグループ等が行う地域課題解決を目的とした公益性の高い事業への助成,毎年度募集,大阪市市民局市民活動推進課 06-6208-7344,https://www.city.osaka.lg.jp/shimin/page/0000487166.html,TRUE,2026-05-11
1403,大阪府,大阪市,住居確保給付金（家賃補助）,生活支援,家賃相当額（上限あり）,all,離職・廃業等で就労を目指す方に対し常用就職活動を条件として家賃に相当する額を支給,随時受付,大阪市 各区自立相談支援機関 06-4301-7285,https://www.city.osaka.lg.jp/fukushi/page/0000502956.html,TRUE,2026-05-11
1404,大阪府,大阪市,民間戸建住宅等耐震診断・改修補助,安全,診断・改修費の一部,ownsHome,昭和56年5月31日以前建築の民間戸建住宅等の耐震診断および耐震改修工事費用の一部を補助,令和8年度受付中,大阪市 都市整備局住環境整備課,https://www.city.osaka.lg.jp/toshiseibi/category/3005-2-2-1-0-0-0-0-0-0.html,TRUE,2026-05-11
1405,大阪府,大阪市,子育て世帯向け民間賃貸住宅改修補助,子育て,改修費の一部,hasChildren,子育て世帯等向け民間賃貸住宅のオーナーが行う改修工事費用を補助することで子育て世帯の住環境改善を支援,令和8年度受付中,大阪市 都市整備局住宅政策課,https://www.city.osaka.lg.jp/toshiseibi/category/3005-2-2-1-0-0-0-0-0-0.html,TRUE,2026-05-11
1406,大阪府,大阪市,大阪市市民活動推進助成事業（芸術・文化枠）,生活支援,上限400万円（特別助成）,all,市民等の鑑賞・体験機会につながる市内での創作・表現活動を支援。一般助成A・B・特別助成の3種類あり,毎年度募集,大阪市経済戦略局 06-6208-7344,https://www.city.osaka.lg.jp/keizaisenryaku/page/0000180795.html,TRUE,2026-05-11
1407,大阪府,堺市,堺市スマートハウス化等支援事業補助金,エコ,太陽光4万円・電気自動車4万円,ownsHome,市内の戸建て住宅・集合住宅に太陽光発電システムまたは電気自動車を導入した場合に費用の一部を補助,令和7年6月〜令和8年2月（次年度募集予定）,環境局カーボンニュートラル推進部 072-228-7548,https://www.city.sakai.lg.jp/kurashi/gomi/ondanka/smarthouse/sumarthouse/index.html,TRUE,2026-05-11
1408,大阪府,堺市,堺市ZEH支援事業補助金,エコ,10万円,ownsHome,ZEH+基準を満たす戸建て住宅の取得者に対して補助金を交付しゼロエネルギー住宅の普及を推進,令和7年6月〜令和8年2月（次年度募集予定）,環境局カーボンニュートラル推進部 072-228-7548,https://www.city.sakai.lg.jp/kurashi/gomi/ondanka/smarthouse/zeh_hojyo.html,TRUE,2026-05-11
1409,大阪府,堺市,物価高対応子育て応援手当,子育て,こども1人あたり2万円,hasChildren,児童手当対象の平成19年4月2日〜令和8年3月31日生まれのこどもを持つ保護者に1回限り支給,2025年2月〜2026年5月31日,堺市コールセンター 072-275-5580,https://www.city.sakai.lg.jp/kosodate/hughug/kosodatekankyo/kosodate/kosodateouenteate.html,TRUE,2026-05-11
1410,大阪府,堺市,堺市自治会活動推進補助金,生活支援,活動費の一部,all,自治会等地域コミュニティが行う活動推進に対して補助金を交付し地域の連携強化を支援,随時受付,堺市市民協働課,https://www.city.sakai.lg.jp/kurashi/chiiki/jichikai/74740120221018154334588.html,TRUE,2026-05-11
