id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1600,大阪府,守口市,子ども医療費助成制度,子育て,自己負担上限月2500円（1医療機関1日500円・月2日限度）,hasChildren,0〜18歳（18歳到達後最初の3月31日まで）の子どもの保険診療費を助成。子ども医療証を提示して受診。,通年,こども部子育て支援政策課 06-6992-1647,https://www.city.moriguchi.osaka.jp/kakukanoannai/kodomobu/kosodatesiennseisakuka/teatejosei/3662.html,TRUE,2026-05-11
1601,大阪府,守口市,木造住宅耐震改修補助,住まい,改修工事費上限50万円・設計費上限10万円（費用の7割）,ownsHome,昭和56年5月31日以前建築の木造住宅で耐震診断「倒壊の可能性あり」と判定された住宅の耐震改修を支援。,4月〜12月末受付,都市整備部住宅まちづくり課 06-6992-1698,https://www.city.moriguchi.osaka.jp/kakukanoannai/toshiseibibu/jutakumachidukurika/taishin/1927.html,TRUE,2026-05-11
1602,大阪府,守口市,守口市工業活性化支援補助金,生活支援,最大100万円（補助率50〜100%・事業内容により異なる）,all,市内中小工業者の生産性向上・拠点強化・職場環境改善等に要する費用の一部を補助。10種類の補助メニューあり。,事業実施前に申請,市民生活部地域振興課 06-6992-1490,https://www.city.moriguchi.osaka.jp/kakukanoannai/shiminseikatsubu/chiikishinkoka/sangyoshinkokigyoshien/jigyousyasien/3429.html,TRUE,2026-05-11
1603,大阪府,守口市,地域福祉推進基金活動助成事業,福祉,要問合せ,all,地域における福祉活動を推進するための助成金。令和8年度の募集が実施されている。,令和8年度募集中,健康福祉部地域福祉課 06-6992-1221,https://www.city.moriguchi.osaka.jp/kakukanoannai/kenkofukushibu/somuka/chiikifukushikikin/index.html,TRUE,2026-05-11
1604,大阪府,守口市,高齢者世帯住宅リフォーム助成,福祉,要問合せ,hasElderly,介護保険の居宅介護（介護予防）対象の高齢者世帯を対象とした住宅リフォーム助成。,通年,高齢介護課 06-6992-1610,https://www.city.moriguchi.osaka.jp/kakukanoannai/toshiseibibu/jutakumachidukurika/419.html,TRUE,2026-05-11
1605,大阪府,門真市,こども医療費助成制度,子育て,自己負担上限月2500円（1医療機関1日500円・月2日限度）,hasChildren,18歳3月31日まで門真市在住の子どもの健康保険適用医療費（通院・入院・院外処方）を助成。,通年,こども部こども政策課給付グループ 06-6902-6186,https://www.city.kadoma.osaka.jp/sukusuku/kakuka/kodomosesaku/kyufu/9482.html,TRUE,2026-05-11
1606,大阪府,門真市,ひとり親家庭医療費助成制度,子育て,自己負担上限月2500円（1医療機関1日500円・月2日限度）,hasChildren,父母の離婚・死亡等によるひとり親家庭の18歳3月31日までの児童を対象に医療費を助成。所得制限あり。,通年,こども部こども政策課給付グループ 06-6902-6186,https://www.city.kadoma.osaka.jp/kosodate/kosodate/6/4021.html,TRUE,2026-05-11
1607,大阪府,門真市,耐震診断・耐震改修補助（令和8年度）,住まい,耐震診断：上限5万円（費用の11/10）・耐震改修：上限95万円（費用の8割）,ownsHome,昭和56年5月31日以前建築の住宅が対象。木造25戸・改修2戸の枠あり（先着）。,令和8年4月9日〜4月16日（仮申込）,建築指導課 06-6902-6341,https://www.city.kadoma.osaka.jp/machizukuri_rodo/kenchiku/7/hozyoseido/33834.html,TRUE,2026-05-11
1608,大阪府,門真市,木造住宅除却補助,住まい,一戸建て上限40万円・長屋長棟上限200万円（費用の23%）,ownsHome,昭和56年5月31日以前建築の木造住宅の除却工事費を補助。令和8年度10戸（一戸建て）・8棟（長屋等）の枠あり。,令和8年4月9日〜4月16日（仮申込）,建築指導課 06-6902-6341,https://www.city.kadoma.osaka.jp/machizukuri_rodo/kenchiku/7/hozyoseido/4964.html,TRUE,2026-05-11
1609,大阪府,門真市,物価高対応子育て応援手当,子育て,こども1人あたり2万円,hasChildren,2007年4月2日〜2026年3月31日に生まれた子どもを養育する父母等に1人あたり2万円を支給。,令和8年度実施,こども部こども政策課 06-6902-6186,https://www.city.kadoma.osaka.jp/kosodate/kosodate/6/37479.html,TRUE,2026-05-11
