id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
1911,宮城県,仙台市,太陽光発電等導入補助金（新築戸建住宅向け）,エコ,最大60万円,ownsHome,ZEH・ZEH水準の新築戸建住宅に太陽光パネルや蓄電池を導入する費用を補助。積載量・断熱性能に応じて30〜60万円,第1期:2026年5月1日〜12月15日／第2期:2026年12月16日〜2027年1月29日,カメイ株式会社内せんだいエコトク補助金事務局 TEL:022-393-7951,https://www.city.sendai.jp/ondanka/kodannetsu/sintikukodate.html,TRUE,2026-05-11
1912,宮城県,仙台市,せんだい健幸省エネ住宅補助金（部分改修向け）,エコ,窓最大10万円・床壁屋根最大30万円・LED最大5万円,ownsHome,住宅の断熱改修（窓・床・壁・屋根・天井）やLED照明交換工事費の一部を補助。予算総額4000万円,第1回:6月1〜10日／第2回:9月1〜10日／第3回:12月1〜10日（令和8年度）,カメイ株式会社内せんだいエコトク補助金事務局 TEL:022-393-7951,https://www.city.sendai.jp/ondanka/kodannetsu/kaisyuhozyo.html,TRUE,2026-05-11
1913,宮城県,仙台市,若年・子育て世帯住み替え支援事業,子育て,通常型25〜30万円・空き家活用型50〜65万円,hasChildren,39歳以下の若年世帯または小学6年生以下の子どもを持つ子育て世帯が仙台市内で住み替える際に助成,通常型第1回:2026年6月1日〜8月31日／第2回:2026年10月1日〜2027年1月8日,仙台市都市整備局住宅政策課 TEL:022-214-8330,https://www.city.sendai.jp/jutakutaisaku/kosodate/shien.html,TRUE,2026-05-11
1914,宮城県,仙台市,仙台市戸建木造住宅耐震改修工事補助金,安全,基本補助最大115万円（追加補助最大10万円）,ownsHome,昭和56年以前建築の木造住宅の耐震改修工事費を補助。対象工事費の5分の4（限度額115万円）,令和8年度受付中（予算終了まで）,各区街並み形成課または都市整備局建築指導課 TEL:022-214-8323,https://www.city.sendai.jp/kenchikubosai/kurashi/anzen/saigaitaisaku/jishintsunami/taisaku/kodate/koji/,TRUE,2026-05-11
1915,宮城県,仙台市,感震ブレーカー設置促進支援事業,安全,上限3300円（購入費補助）,all,地震火災リスクの高い住宅密集地の住民に感震ブレーカー購入費を補助。高齢者・障がい者・子育て世帯は取付作業も無償,令和7年9月30日〜令和8年1月9日（令和8年度は要確認）,仙台市感震ブレーカー受付窓口 TEL:0120-763-837,https://www.city.sendai.jp/gensaisuishin/kanshin.html,TRUE,2026-05-11
1916,宮城県,仙台市,国・県の省エネ等補助金情報（家庭向け窓口）,エコ,各補助事業による,ownsHome,先進的窓リノベ2026事業・ZEH補助金等の国・県補助金を市が取りまとめて案内。問い合わせは市環境局へ,随時（各事業による）,環境局脱炭素政策課 TEL:022-214-8682,https://www.city.sendai.jp/ondanka/kurashi/machi/kankyohozen/kurashi/hojokin/katei.html,TRUE,2026-05-11
1917,宮城県,石巻市,石巻市定住促進住宅取得等補助金,住まい,取得:最大170万円／改修:最大50万円,hasChildren,市外から石巻市に移住する子育て世帯（15歳以下の子または妊婦を含む）の住宅取得・改修費を補助,令和9年3月31日まで（建物引き渡し完了）,石巻市企画部SDGs移住定住推進課 TEL:0225-95-1111,https://www.city.ishinomaki.lg.jp/cont/10051050/igyuu/20210811161432.html,TRUE,2026-05-11
1918,宮城県,石巻市,石巻市結婚新生活支援事業補助金,生活支援,最大60万円（29歳以下夫婦）・通常30万円,all,令和8年1月1日〜令和9年3月31日に婚姻した39歳以下・所得500万円未満の世帯の新生活費用を補助,令和9年3月31日まで,石巻市企画部SDGs移住定住推進課 TEL:0225-95-1111,https://www.city.ishinomaki.lg.jp/cont/10051050/konkatsu/kekkonshinseikatu/20220408134646.html,TRUE,2026-05-11
1919,宮城県,石巻市,石巻市集会所建設費等補助金,生活支援,新築最大1400万円・改装修繕最大120万円（補助率1/2）,all,自治会・集会所管理団体が所有する集会施設の建設・改修・取得費用を補助,令和8年9月30日まで,市民生活部地域協働課 TEL:0225-95-1111,https://www.city.ishinomaki.lg.jp/cont/10153000/3635/000/syuukaijokennsetuhitouhojokinn.html,TRUE,2026-05-11
1920,宮城県,石巻市,みやぎ結婚支援センター登録料補助,生活支援,登録料の補助（金額は要確認）,all,宮城県の結婚支援センター（エンジュ）への登録費用を市が補助する制度,令和8年度受付中,石巻市企画部SDGs移住定住推進課 TEL:0225-95-1111,https://www.city.ishinomaki.lg.jp/cont/10051050/konkatsu/kekkonsienriyouhojo/20220408114746.html,TRUE,2026-05-11
1921,宮城県,石巻市,石巻市移住支援金制度,生活支援,世帯100万円・単身60万円（子1人追加100万円）,all,東京圏から石巻市へUIJターン移住し市内の対象法人に就職または起業した方に支援金を交付,令和8年度受付中（予算上限次第終了）,石巻市企画部SDGs移住定住推進課 TEL:0225-95-1111,https://www.city.ishinomaki.lg.jp/cont/10051050/igyuu/ijuushienkin/ijuushienkin.html,TRUE,2026-05-11
1922,宮城県,大崎市,エコ改善推進事業補助金,エコ,太陽光1kWあたり1万円(上限5万円)・蓄電池10万円・高効率給湯器1.5万円等,ownsHome,市内の世帯主または小規模企業者が自宅・事業所に太陽光・蓄電池・V2H・給湯器・生ごみ処理機を導入する費用を補助,令和7年7月31日まで（令和8年度は要確認）,環境保全課 TEL:0229-23-6074,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/shiminkyodousuishimbu/kankyohozenka/1/1/1671.html,TRUE,2026-05-11
1923,宮城県,大崎市,大崎市住宅新築移住支援事業,住まい,基礎額最大100万円＋加算最大40万円,ownsHome,大崎定住自立圏・隣接市以外に居住する40歳以下の夫婦が市内に新築住宅を建築・購入し定住する場合に補助,令和8年4月1日〜（予算終了まで）,大崎市建設部建築住宅課 TEL:0229-23-2108,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/kensetsubu/kenchikujuutakuka/2/1/1/3180.html,TRUE,2026-05-11
1924,宮城県,大崎市,物価高対応子育て応援手当,子育て,子ども1人につき3万円（1回限り）,hasChildren,令和7年9月分児童手当受給者および令和7年10月1日〜令和8年3月31日に出生した子の受給者に一時金を支給,令和8年3月10日〜令和8年6月10日（公務員のみ申請要）,子育て支援課 TEL:0229-23-6045,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/minseibu/kosodateshienka/3/3/21805.html,TRUE,2026-05-11
1925,宮城県,大崎市,大崎市地方生活実現移住助成金,生活支援,世帯移住の場合100万円・単身60万円（子加算あり）,all,東京圏から大崎市に移住し対象法人へ就業または起業した人に移住助成金を交付,令和8年度受付中,大崎市総務部政策課 TEL:0229-23-2111,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/shiminkyodousuishimbu/seisakuka/5/3592.html,TRUE,2026-05-11
1926,宮城県,大崎市,おおさきチャレンジ創業応援事業費補助金,生活支援,補助対象経費の一部（金額は要確認）,all,大崎市内で新たに創業する人を対象とした創業支援補助金,令和8年度受付中,産業経済部産業振興課 TEL:0229-23-2111,https://www.city.osaki.miyagi.jp/shisei/soshikikarasagasu/sangyokeizaibu/sangyoshokoka/6/5/1673.html,TRUE,2026-05-11
1927,宮城県,大崎市,大崎市骨髄バンクドナー助成事業,福祉,助成額は要確認,all,骨髄バンクへのドナー登録・提供を行う市民を支援する助成事業,令和8年度受付中,大崎市民政部 TEL:0229-23-2111,https://www.city.osaki.miyagi.jp/shisei/yokuriyosarerujoho/teate_josei/index.html,TRUE,2026-05-11
