id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2271,鳥取県,鳥取市,住まいの断熱リフォーム支援補助金,住まい,上限あり（工事内容による）,ownsHome,窓・ドアなどの高断熱化改修工事費用の一部を補助。省エネ・快適住環境改善が目的。,2025-04-01〜2026-03-31,生活環境課（市役所本庁舎2階25番窓口）,https://www.city.tottori.lg.jp/www/contents/1710291010998/index.html,TRUE,2026-05-11
2272,鳥取県,鳥取市,低所得者等世帯への光熱費助成,生活支援,世帯ごとに設定,all,児童扶養手当受給者等の低所得世帯を対象に光熱費を助成する令和7年度独自制度。,2025年度（詳細は窓口確認）,担当課（生活支援系）,https://www.city.tottori.lg.jp/www/contents/1752707758303/index.html,TRUE,2026-05-11
2273,鳥取県,鳥取市,製造業再エネ・省エネ設備導入補助金,エコ,補助率・上限額は要綱による,all,市内製造業者を対象に再生可能エネルギー・省エネ設備の導入費用の一部を補助。脱炭素推進が目的。,2025年度（令和7年度）,産業観光部 商工振興課,https://www.city.tottori.lg.jp/www/contents/1740465613050/index.html,TRUE,2026-05-11
2274,鳥取県,鳥取市,不妊症・不育症治療医療費助成,子育て,治療内容により異なる,all,不妊症または不育症の治療を受ける夫婦に対し、医療費の一部を助成。,通年（要申請）,子育て支援課,https://www.city.tottori.lg.jp/life/2/23/121/,TRUE,2026-05-11
2275,鳥取県,鳥取市,補助金等交付要綱・補助金カルテ一覧（令和7年度）,生活支援,各制度による,all,令和7年度の市全補助金一覧。住まい・子育て・環境・産業等多分野にわたる補助事業を網羅。,2025-04-01〜2026-03-31,各担当課,https://www.city.tottori.lg.jp/www/contents/1750897198734/index.html,TRUE,2026-05-11
2276,鳥取県,鳥取市,地元企業就職PR動画作成助成金,生活支援,要件による,all,地元企業が人材確保のためPR動画を作成する費用の一部を助成。地域雇用の活性化を目的とする。,通年（予算が無くなり次第終了）,産業観光部 雇用・定住促進課,https://www.city.tottori.lg.jp/www/contents/1504077694684/index.html,TRUE,2026-05-11
2277,鳥取県,米子市,住宅に関する支援事業（住宅取得・改修等）,住まい,各制度による,ownsHome,耐震改修・バリアフリー・省エネリフォームなど住まいに関する各種支援事業一覧。複数制度あり。,通年（制度により異なる）,建築住宅課,https://www.city.yonago.lg.jp/25695.htm,TRUE,2026-05-11
2278,鳥取県,米子市,女性の専門職資格取得助成事業,生活支援,上限5万円,all,女性が専門職資格を取得するための受験料・講座費用の一部を助成。就業促進・女性活躍支援が目的。,令和6年度,産業雇用課,https://www.city.yonago.lg.jp/42898.htm,TRUE,2026-05-11
2279,鳥取県,米子市,出産・子育て応援給付金,子育て,妊娠時5万円・出産時5万円,hasChildren,妊娠届出時・出産時にそれぞれ給付金を支給。子育て世帯の経済的負担を軽減。,通年（申請時期あり）,子育て支援課,https://www.city.yonago.lg.jp/39192.htm,TRUE,2026-05-11
2280,鳥取県,米子市,米子市まちづくり活動支援交付金,生活支援,審査により決定,all,地域のまちづくり活動団体が行う自主的な活動に対し、費用の一部を交付する制度。,通年（審査あり）,まちづくり推進課,https://www.city.yonago.lg.jp/3333.htm,TRUE,2026-05-11
2281,鳥取県,米子市,小規模事業者経営改善資金等利子補給補助金,生活支援,利子補給分,all,市内小規模事業者が経営改善のために借り入れた資金の利子の一部を補給。経営安定を支援。,通年,産業雇用課,https://www.city.yonago.lg.jp/17823.htm,TRUE,2026-05-11
2282,鳥取県,米子市,令和7年度補助金概要（各種制度一覧）,生活支援,各制度による,all,米子市が実施する令和7年度の各種補助金概要を一覧化・公開。詳細は各担当課へ。,2025年度,各担当課,https://www.city.yonago.lg.jp/item/60124.htm,TRUE,2026-05-11
2283,島根県,松江市,子育て世帯定住団地取得支援補助金,子育て,要件・団地による,hasChildren,12歳未満の子どもを持つ世帯または40歳未満夫婦のある世帯が市内団地の住宅を取得する際に補助。,通年（要件確認）,住宅政策課,https://www.city.matsue.lg.jp/soshikikarasagasu/tosiseibibu_jutakuseisakuka/sumai/3/658.html,TRUE,2026-05-11
2284,島根県,松江市,太陽光発電システム・蓄電池設備導入補助（令和8年度）,エコ,太陽光1kWあたり3万円（上限12万円）・蓄電池上限7万円,ownsHome,自ら所有する市内住宅に太陽光発電システムや蓄電池を設置する際に費用の一部を補助。,令和8年度受付,環境エネルギー課（0852-55-5278）,https://www.city.matsue.lg.jp/soshikikarasagasu/kankyoenergybu_kankyoenergyka/gomi_kankyo_pet/1/8/993.html,TRUE,2026-05-11
2285,島根県,松江市,太陽熱利用設備（ソーラーシステム）導入補助（令和7年度）,エコ,設置費用の1/2以内・上限30万円,ownsHome,自ら所有する住宅に太陽熱利用設備を設置する際の費用の一部を補助。令和7年度実施。,令和7年度,環境エネルギー課,https://www.city.matsue.lg.jp/soshikikarasagasu/kankyoenergybu_kankyoenergyka/gomi_kankyo_pet/1/8/994.html,TRUE,2026-05-11
2286,島根県,松江市,空き家再生等推進事業補助金,住まい,補助率・上限額は要綱による,ownsHome,市内の空き家を活用・再生するリフォーム工事費用の一部を補助。空き家対策と住環境整備が目的。,通年（要件確認）,住宅政策課,https://www.city.matsue.lg.jp/soshikikarasagasu/tosiseibibu_jutakuseisakuka/sumai/3/1022.html,TRUE,2026-05-11
2287,島根県,松江市,設備導入支援事業補助金（産業向け）,エコ,補助率・上限額は要綱による,all,市内中小企業が省エネ・生産性向上のための設備を導入する費用の一部を補助。,通年（申請期間あり）,松江産業支援センター,https://www.city.matsue.lg.jp/soshikikarasagasu/sangyokeizaibu_matsuesangyoshiencenter/128.html,TRUE,2026-05-11
2288,島根県,松江市,各種補助金案内（住宅・環境・産業）,生活支援,各制度による,all,松江市が提供する各種補助金（住宅・環境・産業等）の全体案内ページ。各担当課への窓口リンクあり。,通年,各担当課,https://www.city.matsue.lg.jp/gyoseijoho/hojyokin/index.html,TRUE,2026-05-11
2289,島根県,出雲市,再生可能エネルギー設備等導入補助金,エコ,太陽光1kWあたり3万円（上限12万円）・蓄電池上限7万円・太陽熱上限30万円,ownsHome,住宅への太陽光発電・蓄電池・太陽熱利用設備導入費用の一部を補助。脱炭素推進が目的。,通年（予算内）,環境政策課,https://www.city.izumo.shimane.jp/www/genre/1703136233052/index.html,TRUE,2026-05-11
2290,島根県,出雲市,移住促進住まいづくり助成金,住まい,上限80万円,ownsHome,本市への移住を目的として住宅のリフォームを行う場合に費用の一部を助成。移住促進が目的。,通年（要件確認）,くらし相談センター（移住担当）,https://www.city.izumo.shimane.jp/www/genre/1703136233052/index.html,TRUE,2026-05-11
2291,島根県,出雲市,児童手当,子育て,0〜2歳月1万5千円・3歳〜中学生月1万円（第3子以降加算あり）,hasChildren,18歳年度末までの児童を養育する保護者（生計中心者）に支給。定期的に現況届が必要。,通年,子育て支援課,https://www.city.izumo.shimane.jp/www/contents/1472444471893/index.html,TRUE,2026-05-11
2292,島根県,出雲市,各種助成制度（医療・子育て・住宅等）,生活支援,各制度による,all,医療費助成・障がい者支援・子育て手当・住宅改修など複数分野の助成制度を一覧で案内。,通年,各担当課,https://www.city.izumo.shimane.jp/www/genre/1293687954004/index.html,TRUE,2026-05-11
2293,島根県,出雲市,子育て支援制度（各種）,子育て,各制度による,hasChildren,子育て世帯向け定住支援・各種手当・医療費助成等の子育て関連補助制度を横断的に案内。,通年,子育て支援課,https://www.city.izumo.shimane.jp/www/genre/1294637982073/index.html,TRUE,2026-05-11
2294,岡山県,岡山市,住宅用スマートエネルギー導入促進補助事業（令和8年度）,エコ,補助率30%・上限15万円,ownsHome,市内住宅に太陽光発電・蓄電池・燃料電池等スマートエネルギー機器を導入した際に費用の一部を補助。,令和8年5月1日〜令和9年3月10日,ゼロカーボン推進課,https://www.city.okayama.jp/ondankataisaku/0000042045.html,TRUE,2026-06-10
2295,岡山県,岡山市,移住サポート補助金（賃貸住宅家賃サポート）,住まい,月額上限3万7500円（補助率1/2）・4か月分,all,県外から転入した50歳未満の移住者の民間賃貸住宅入居後4か月分の家賃の一部を補助。,令和7年4月1日以降転入者対象,移住定住推進担当,https://www.city.okayama.jp/kurashi/category/1-16-4-6-0-0-0-0-0-0.html,TRUE,2026-05-11
2296,岡山県,岡山市,手当・助成金（子育て・福祉系一覧）,子育て,各制度による,hasChildren,妊娠・出産・子育て・学校・引越しなどくらしの場面で利用できる各種手当・助成金を一覧案内。,通年（各制度による）,子育て支援課・福祉課等,https://www.city.okayama.jp/kurashi/category/1-9-4-19-0-0-0-0-0-0.html,TRUE,2026-05-11
2297,岡山県,岡山市,事業所用スマートエネルギー導入促進補助事業,エコ,補助率・上限額は要綱による,all,市内事業所に太陽光発電・蓄電池等スマートエネルギー機器を導入した際に費用の一部を補助。,令和7年度,ゼロカーボン推進課,https://www.city.okayama.jp/ondankataisaku/0000042083.html,TRUE,2026-05-11
2298,岡山県,岡山市,住居確保給付金,生活支援,家賃相当額（上限あり）,all,離職・廃業等で住居を失うおそれがある方に、家賃相当額を一定期間給付し生活再建を支援。,通年,自立相談支援機関（福祉事務所）,https://www.city.okayama.jp/kurashi/0000003601.html,TRUE,2026-05-11
2299,岡山県,倉敷市,住宅関連補助金・制度（一般向け）,住まい,各制度による,ownsHome,耐震・太陽光・蓄電池・バリアフリー等、住まいに関する各種補助金・支援制度を一覧案内。,通年（制度により異なる）,住宅課,https://www.city.kurashiki.okayama.jp/kurashi/sumai/1012107/1013277/1011092.html,TRUE,2026-05-11
2300,岡山県,倉敷市,補助金制度（創エネ・省エネ：太陽光・蓄電池等）,エコ,制度ごとに異なる,ownsHome,太陽光発電・蓄電池・高効率給湯器等の創エネ・省エネ設備導入費用の一部を補助。倉敷市独自制度。,令和6年5月15日〜令和7年1月31日（R6年度分）,地球温暖化対策室,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1011736/1003554/index.html,TRUE,2026-05-11
2301,岡山県,倉敷市,新分野展開チャレンジ支援補助金,生活支援,補助率・上限額は要綱による,all,3年以上事業継続中の市内中小企業・個人事業主が新分野に展開する際の費用の一部を補助。,通年（申請期間あり）,商工課,https://www.city.kurashiki.okayama.jp/business/industry/1012617/1005461.html,TRUE,2026-05-11
2302,岡山県,倉敷市,移住支援補助金（起業者向け）,生活支援,年間10万円×最大3年,all,岡山県外から倉敷市に移住し特定分野で起業した方を対象に最長3年間・年10万円を補助。,通年（要件確認）,くらしき移住定住推進室,https://www.city.kurashiki.okayama.jp/culture/tourism/1002101/1011818/1002112.html,TRUE,2026-05-11
2303,岡山県,倉敷市,まちづくり活動補助金,生活支援,審査により決定,all,地域のまちづくり・コミュニティ活動等を行う団体に対し費用の一部を補助。市民活動を支援。,通年,企画経営室,https://www.city.kurashiki.okayama.jp/39986.htm,TRUE,2026-05-11
2304,広島県,広島市,家庭用スマートエネルギー設備設置補助金（燃料電池・蓄電池・V2H・断熱窓）,エコ,設備ごとに上限設定（計550台枠）,ownsHome,家庭用燃料電池・蓄電池・V2H充放電設備・断熱窓を設置する際の費用の一部を補助。令和7年度実施。,2025-04-15〜2026-01-30（予算なくなり次第終了）,環境局 温暖化対策課,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021289/1049641/index.html,TRUE,2026-05-11
2305,広島県,広島市,三世代同居・近居支援事業,子育て,引越し費用の1/2・上限10万円,hasChildren,子育て世帯が親世帯の近く（または同居）に住み替える際の引越し費用等を助成。,2025-04-01〜2026-03-31,地域共生社会推進課,https://www.city.hiroshima.lg.jp/living/community/1021315/1018432.html,TRUE,2026-05-11
2306,広島県,広島市,子育て世帯住み替え促進家賃補助事業,子育て,月2万円を上限（月家賃の1/2）,hasChildren,小学生以下の子を持つ子育て世帯が指定住宅団地の空き住戸に入居する際の家賃の一部を補助。,募集期間あり（要確認）,住宅政策課,https://www.city.hiroshima.lg.jp/living/sumai/1021346/1026338/1018592.html,TRUE,2026-05-11
