id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2071,新潟県,新潟市,健幸すまいリフォーム助成事業,住まい,上限20万円,hasChildren,子育て世帯・高齢者世帯を対象に既存住宅のバリアフリー化・子育て対応・省エネ化リフォーム工事費の一部を助成,2026年4月16日〜予算上限に達するまで,建築行政課 025-226-2815,https://www.city.niigata.lg.jp/kurashi/jyutaku/jukankyo/yushi_josei/kenkosumai_r8.html,TRUE,2026-05-11
2072,新潟県,新潟市,住宅用再生可能エネルギー等導入促進事業補助金,エコ,設備により異なる,ownsHome,太陽光発電・蓄電池・V2H充放電設備・燃料電池等を住宅に設置する市民を対象に導入費用の一部を補助,2026年4月16日〜予算上限に達するまで,環境政策課ゼロカーボンシティ推進室 025-226-1357,https://www.city.niigata.lg.jp/kurashi/kankyo/datutanso/shien/saiene2026.html,TRUE,2026-05-11
2073,新潟県,新潟市,高齢者向け住宅リフォーム助成,福祉,上限20万円,hasElderly,介護保険の要介護・要支援認定者を含む世帯の住宅を対象にバリアフリー改修費用の一部を助成,通年（予算上限あり）,長寿・介護保険課,https://www.city.niigata.lg.jp/iryo/korei/koreisha-reform.html,TRUE,2026-05-11
2074,新潟県,新潟市,空き家活用推進事業補助金,住まい,上限50万円,ownsHome,市内の空き家を取得・改修して居住・活用する方に工事費の一部を補助,2026年度中（予算上限あり）,建築行政課,https://www.city.niigata.lg.jp/kurashi/jyutaku/jukankyo/yushi_josei/akiyakatsuyo.html,TRUE,2026-05-11
2075,新潟県,新潟市,3000円給付事業（物価高騰支援）,生活支援,3000円/人,all,物価高騰対応として市民1人あたり3000円を給付する生活支援給付事業,2026年度（詳細は市公報参照）,市民生活課,https://www.city.niigata.lg.jp/kurashi/todokede/R8kyuufu3000.html,TRUE,2026-05-11
2076,新潟県,長岡市,一般住宅リフォーム補助金,住まい,上限20万円,ownsHome,市内の自己所有住宅を対象にリフォーム工事費の一部を補助（過去に補助を受けた住宅は対象外）,2026年5月11日〜2026年11月30日,都市政策課 0258-39-2265,https://www.city.nagaoka.niigata.jp/kurashi/life03/jyutaku-reform.html,TRUE,2026-05-11
2077,新潟県,長岡市,省エネルギー設備等設置事業補助金,エコ,設備により異なる,ownsHome,住宅用太陽光発電・蓄電池・省エネ給湯器等の設置費用の一部を補助し脱炭素社会の実現を推進,2026年度中（予算上限あり）,環境課,https://www.city.nagaoka.niigata.jp/kurashi/cate09/kankyo-hojyo/energy.html,TRUE,2026-05-11
2078,新潟県,長岡市,移住支援金（移住・就業支援事業補助金）,生活支援,単身60万円・世帯100万円,all,東京圏等から長岡市に移住し市内企業等に就業する方に移住支援金を交付,2026年4月〜2027年3月（要事前相談）,産業雇用政策課,https://www.city.nagaoka.niigata.jp/sangyou/cate08/ijyu-shien.html,TRUE,2026-05-11
2079,新潟県,長岡市,結婚新生活支援補助金,生活支援,最大60万円,all,婚姻を機に長岡市内で新生活を始める夫婦に住居費・引越費用を補助（所得要件あり）,2026年度中,少子化対策・子育て政策課,https://www.city.nagaoka.niigata.jp/kurashi/life02/encounter/sinnseikatu.html,TRUE,2026-05-11
2080,新潟県,長岡市,子育て世帯移住支援金,子育て,最大100万円+加算,hasChildren,子育て世帯が長岡市に移住する場合に移住支援金に加えて子ども1人につき加算金を交付,2026年度中（要事前申請）,産業雇用政策課,https://www.city.nagaoka.niigata.jp/sangyou/cate08/childcare.html,TRUE,2026-05-11
