id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2401,佐賀県,佐賀市,令和7年度佐賀市ゼロカーボン推進事業費補助金（住宅用太陽光発電設備・蓄電池）,エコ,定額補助（要件により異なる）,ownsHome,住宅に太陽光発電設備と蓄電池を同時導入する市民を対象に費用の一部を補助。脱炭素推進の取り組みへの支援。,2025年5月12日〜2026年2月27日（必着）,佐賀市 ゼロカーボン推進室,https://www.city.saga.lg.jp/main/91688.html,TRUE,2026-05-11
2402,佐賀県,佐賀市,令和7年度佐賀市ゼロカーボン推進事業費補助金（次世代自動車EV・PHV・FCV購入）,エコ,定額補助（前期募集あり）,all,EV・PHV・FCV等の次世代自動車を購入する市民に対し購入費の一部を補助。2050年ゼロカーボンに向けた施策。,令和7年度前期募集（詳細は市HP参照）,佐賀市 ゼロカーボン推進室,https://www.city.saga.lg.jp/main/89240.html,TRUE,2026-05-11
2403,佐賀県,佐賀市,さが暮らしスタート支援事業補助金（佐賀市版）,生活支援,単身60万円・世帯100万円,all,佐賀県外から佐賀市に移住した59歳以下の方に補助金を交付。転入後1年以内に申請が必要。就業・起業要件あり。,転入後1年以内に申請,佐賀市 移住定住推進課,https://www.city.saga.lg.jp/main/84420.html,TRUE,2026-05-11
2404,佐賀県,佐賀市,東京圏から佐賀市への移住支援金,生活支援,単身60万円・世帯100万円（子育て世帯加算あり）,all,東京23区在住者または通勤者が佐賀市に移住し就業・起業した場合に支援金を交付。18歳未満の子1人につき最大100万円加算。,転入後3ヶ月以上1年以内に申請,佐賀市 移住定住推進課,https://www.city.saga.lg.jp/main/56163.html,TRUE,2026-05-11
2405,佐賀県,佐賀市,佐賀市物価高騰対応支援給付金（住民税非課税世帯向け）,生活支援,世帯あたり給付（詳細は市HP参照）,all,物価高騰の影響を受けた住民税非課税世帯等に対し給付金を支給。家計負担の軽減を目的とする。,令和7年度（詳細は市HP参照）,佐賀市 福祉部,https://www.city.saga.lg.jp/main/104859.html,TRUE,2026-05-11
2406,佐賀県,佐賀市,佐賀市デジタル技術導入支援事業補助金,生活支援,上限額あり（詳細は市HP参照）,all,市内中小企業・小規模事業者がデジタル技術を活用した生産性向上に取り組む費用の一部を補助。令和7年度は新規受付終了。,令和7年度（新規受付終了）,佐賀市 商工労働部,https://www.city.saga.lg.jp/main/64564.html,TRUE,2026-05-11
2407,佐賀県,唐津市,唐津暮らしスタート支援事業補助金,生活支援,単身60万円・世帯100万円（子育て加算あり）,all,佐賀県外から唐津市に移住し就業・起業した方に補助金を交付。令和8年2月27日締め切り。,〜2026年2月27日,唐津市 移住定住促進課（0955-53-7149）,https://www.city.karatsu.lg.jp/iju-teiju/ijushienkin.html,TRUE,2026-05-11
2408,佐賀県,唐津市,唐津市がんばる地域応援事業補助金,生活支援,上限50万円（補助率10分の9以内）,all,市民5人以上の団体や地縁団体等が取り組む地域づくり活動を支援。快適で暮らしやすいまちづくりの実現が目的。,令和7年度（詳細は市HP参照）,唐津市 地域政策課（0955-72-9220）,https://www.city.karatsu.lg.jp/page/1438.html,TRUE,2026-05-11
2409,佐賀県,唐津市,唐津市子どもの医療費助成（18歳まで拡充）,子育て,自己負担分を助成,hasChildren,令和6年7月受診分から対象を高校生相当（18歳年度末）まで拡充。通院・入院の医療費の一部を助成。,継続（令和7年度も実施）,唐津市 こども家庭課（0955-72-9151）,https://www.city.karatsu.lg.jp/site/kosodate/1643.html,TRUE,2026-05-11
2410,佐賀県,唐津市,唐津市地方創生移住支援事業補助金（東京圏から）,生活支援,単身60万円・世帯100万円,all,東京23区在住・通勤者が唐津市に移住し就業・起業する場合に補助金を交付。,令和7年度（詳細は市HP参照）,唐津市 移住定住促進課,https://www.city.karatsu.lg.jp/page/2234.html,TRUE,2026-05-11
2411,佐賀県,唐津市,唐津市中小企業等活性化支援事業補助金（事業組合等活動強化支援分）,生活支援,上限700万円,all,唐津市内の団体・組合等が取り組む消費喚起・生産性向上・経営安定化・競争力強化への取り組みを支援。,令和7年度,唐津市 商工観光部,https://hojyokin-portal.jp/subsidies/58902,TRUE,2026-05-11
2412,長崎県,長崎市,第4弾 長崎市省エネ家電製品等購入費補助金,エコ,補助率6分の1・上限3万円（LED等は別途）,all,省エネ性能の高い家電（エアコン・冷蔵庫・給湯器・LED等）に買い替えた長崎市民に購入費の一部を補助。1世帯1台限り。,2026年1月30日〜2027年1月末（先着順）,長崎市 ゼロカーボンシティ推進室（095-829-1251）,https://www.city.nagasaki.lg.jp/page/44649.html,TRUE,2026-05-11
2413,長崎県,長崎市,長崎市民特別給付金,生活支援,1人あたり5000円（非課税世帯は追加5000円）,all,令和8年1月1日時点の住民基本台帳登録者全員に1人5000円を給付。住民税非課税世帯には世帯あたり5000円を追加給付。,令和8年（詳細は市HP参照）,長崎市 関係課,https://www.city.nagasaki.lg.jp/page/73203.html,TRUE,2026-05-11
2414,長崎県,長崎市,長崎市チャレンジ企業応援事業費補助金,生活支援,上限あり（詳細は市HP参照）,all,市内中小企業者等の経営基盤強化に向けた新製品・新サービス開発・DX推進・新事業展開等の費用の一部を補助。,〜令和7年10月31日（申請期間延長）,長崎市 商工部,https://www.city.nagasaki.lg.jp/page/52357.html,TRUE,2026-05-11
2415,長崎県,長崎市,長崎市住宅支援制度（耐震・バリアフリー・省エネ改修等）,住まい,制度により異なる,ownsHome,長崎市が提供する住宅関連の各種補助・助成制度の総合案内。耐震化・バリアフリー・省エネ改修等の住宅支援を含む。,令和7年度（継続）,長崎市 まちづくり部,https://www.city.nagasaki.lg.jp/sumai/620000/625000/p040794.html,TRUE,2026-05-11
2416,長崎県,長崎市,長崎市障害者手当・年金・助成,福祉,制度により異なる,all,障害者に対する各種手当・年金・助成制度を提供。生活支援・自立促進を目的とする。,令和7年度（継続）,長崎市 福祉部,https://www.city.nagasaki.lg.jp/jinsei/4080000/4080200/index.html,TRUE,2026-05-11
2417,長崎県,佐世保市,令和7年度佐世保市させぼeエコポイント事業（省エネ家電購入）,エコ,ポイント付与（詳細は市HP参照）,all,省エネ基準を満たした家電を購入した佐世保市民にeエコポイントを付与。脱炭素社会の推進を目的とする。,令和7年度（詳細は市HP参照）,佐世保市 ゼロカーボンシティ推進室,https://www.city.sasebo.lg.jp/kankyo/zeroca/saseboeeco.html,TRUE,2026-05-11
2418,長崎県,佐世保市,佐世保市子育て世帯中古住宅購入補助事業,子育て,費用の5分の1以内・上限40万円,hasChildren,子育て世帯や三世代同居・近居の実現のため指定居住誘導区域内の中古住宅取得費の一部を補助。,2025年5月12日〜（令和7年度）,佐世保市 都市整備部,https://www.city.sasebo.lg.jp/tosiseibi/jyutak/3sedaidoukyokinkyo.html,TRUE,2026-05-11
2419,長崎県,佐世保市,佐世保市住宅性能向上リフォーム支援事業,住まい,上限あり（詳細は市HP参照）,ownsHome,住宅の耐震性・省エネ性・バリアフリー性能を向上させるリフォーム工事を行う市民に費用の一部を補助。,令和7年度（詳細は市HP参照）,佐世保市 建築指導課,https://www.city.sasebo.lg.jp/tosiseibi/kentiku/reform.html,TRUE,2026-05-11
