id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2471,宮崎県,宮崎市,令和8年度宮崎市移住支援給付金,生活支援,最大200万円,all,宮崎県外から宮崎市へ移住し就業・起業等をした方に給付金を支給。2人以上世帯は100万円・単身は60万円、子どもがいる場合は加算あり。,令和8年度,宮崎市 企画政策課 移住定住推進室,https://www.city.miyazaki.miyazaki.jp/business/loan/286647.html,TRUE,2026-05-11
2472,宮崎県,宮崎市,出産・子育て応援事業給付金,子育て,妊娠届出時5万円・出生届出後5万円,hasChildren,妊婦・産婦に対し経済的支援として出産応援給付金と子育て応援給付金を各5万円給付する国制度の市実施分。,令和8年度通年,宮崎市 子育て支援課,https://www.city.miyazaki.miyazaki.jp/education/allowance/336450.html,TRUE,2026-05-11
2473,宮崎県,宮崎市,不妊治療費助成事業,子育て,上限30万円/年,all,保険適用外の一般不妊治療（人工授精）および特定不妊治療の自己負担費用の一部を助成。,令和8年度通年,宮崎市 健康支援課,https://www.city.miyazaki.miyazaki.jp/education/pregnancy_support/361499.html,TRUE,2026-05-11
2474,宮崎県,宮崎市,高齢者等居宅介護住宅改修補助事業,住まい,上限20万円,hasElderly,要支援・要介護認定を受けた高齢者等が自宅をバリアフリー改修する際の費用を補助。手すり設置・段差解消・床材変更等が対象。,令和8年度（予算内先着）,宮崎市 長寿支援課,https://www.city.miyazaki.miyazaki.jp/health/long_term_care_insurance/procedure/12333.html,TRUE,2026-05-11
2475,宮崎県,宮崎市,重度障がい者住宅改修費助成,福祉,上限50万円,all,身体障害者手帳1・2級または療育手帳A所持者が住宅をバリアフリー改修する際の費用を助成。介護者の負担軽減にも活用可。,令和8年度通年,宮崎市 障がい福祉課,https://www.city.miyazaki.miyazaki.jp/health/disabilities_welfare/other_services/370.html,TRUE,2026-05-11
2476,宮崎県,宮崎市,妊婦のための支援給付,子育て,10万円,all,令和7年4月開始の国制度。妊娠による心身の負担軽減を目的として妊婦1人あたり10万円相当を給付（現金またはクーポン）。,令和8年度通年,宮崎市 子育て支援課,https://www.city.miyazaki.miyazaki.jp/search_life/child_rearing/shien/,TRUE,2026-05-11
2477,宮崎県,都城市,住宅リフォーム促進事業補助金,住まい,上限10万円（工事費の10%）,ownsHome,市内施工業者を使って20万円以上のリフォーム工事をした市民に補助。消費喚起・景気回復策として実施。,令和8年度（予算内先着）,都城市 商工政策課,https://www.city.miyakonojo.miyazaki.jp/soshiki/77/63088.html,TRUE,2026-05-11
2478,宮崎県,都城市,不妊治療費等助成事業（一般不妊治療）,子育て,上限5万円/年,all,保険適用外の人工授精費用を助成。不妊の原因を調べる検査費も別途助成あり。,令和8年度通年,都城市 健康づくり推進課,https://www.city.miyakonojo.miyazaki.jp/life/3/26/158/,TRUE,2026-05-11
2479,宮崎県,都城市,移住応援給付金,生活支援,単身30万円・世帯50万円,all,令和7年度に都城市へ移住した方を対象に給付。三大都市圏等からの移住者で市内就業・起業・テレワーク等が条件。,令和8年度（令和7年度移住者対象）,都城市 ふるさと・移住推進課,https://www.city.miyakonojo.miyazaki.jp/site/iju/62718.html,TRUE,2026-05-11
2480,宮崎県,都城市,出産・子育て応援事業給付金,子育て,計10万円,hasChildren,妊娠届・出生届に伴う国制度の市実施分。妊娠時5万円・出生後5万円を給付。,令和8年度通年,都城市 子育て支援課,https://www.city.miyakonojo.miyazaki.jp/life/3/,TRUE,2026-05-11
2481,宮崎県,都城市,介護認定なし高齢者住宅改修支援,住まい,上限18万円,hasElderly,介護認定を受けていない高齢者が自宅をバリアフリー改修する際の費用を市独自に補助。転倒防止等の安全対策が対象。,令和8年度通年,都城市 介護保険課,https://www.city.miyakonojo.miyazaki.jp/soshiki/110/63158.html,TRUE,2026-05-11
2482,宮崎県,都城市,創業支援補助金,生活支援,上限100万円,all,市内で新たに創業する方の設備資金・運転資金の一部を補助。移住を契機とした創業者も対象。,令和8年度通年,都城市 商工政策課,https://www.city.miyakonojo.miyazaki.jp/soshiki/77/3394.html,TRUE,2026-05-11
2483,宮崎県,延岡市,移住・子育て住まい支援事業,子育て,上限50万円,hasChildren,18歳以下の子どもと同居する子育て世帯または移住世帯が延岡市内の中古住宅を取得した際の費用を補助。,令和7年度（令和8年度継続予定）,延岡市 定住促進課,https://www.city.nobeoka.miyazaki.jp/site/miryoku/1904.html,TRUE,2026-05-11
2484,宮崎県,延岡市,空き家バンクリフォーム補助金,住まい,上限50万円（工事費の80%以内）,ownsHome,空き家バンク登録物件のリフォーム工事費・家財処分費・仲介手数料を補助。延岡市内業者施工が条件。,令和7年度（継続）,延岡市 空家施策推進室 0982-20-7170,https://www.city.nobeoka.miyazaki.jp/soshiki/98/24387.html,TRUE,2026-05-11
2485,宮崎県,延岡市,ゼロカーボンシティ推進モデル事業補助金,エコ,太陽光・蓄電池等初期費用0円対応,all,一ヶ岡地区を対象に太陽光発電・蓄電池・エコキュート等の再エネ省エネ設備導入を支援。0円ソーラーモデルも活用可。,令和7年度（予算内）,延岡市 環境政策課,https://www.city.nobeoka.miyazaki.jp/soshiki/91/30503.html,TRUE,2026-05-11
