id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2211,滋賀県,大津市,大津市定住促進リフォーム補助金,住まい,工事費の20%・上限60万円（子あり世帯）,hasChildren,市外から転入し空き家等のリフォーム工事を行う世帯に補助。15歳未満の子または出産予定がある世帯は工事費の20%・上限60万円。,令和8年4月〜（予算の範囲内・先着順）,大津市 建築住宅課 077-528-2793,https://www.city.otsu.lg.jp/soshiki/035/1810/g/at/1522910180529.html,TRUE,2026-05-11
2212,滋賀県,大津市,出産・子育て応援給付金（妊婦支援給付金）,子育て,10万円（妊娠届出時5万円＋出生後5万円）,all,妊娠届出をした妊婦に5万円、出生後の子育て家庭に5万円を給付する国制度の大津市実施分。面談等の伴走型支援とセットで実施。,随時,大津市 子育て支援給付課 077-528-2543,https://www.city.otsu.lg.jp/soshiki/015/1406/o/67160.html,TRUE,2026-05-11
2213,滋賀県,大津市,物価高対応子育て応援手当,子育て,児童1人あたり2万円（1回限り）,hasChildren,令和7年9月分の児童手当受給者の0歳〜高校3年生年代の児童に一時金を支給。令和8年2月下旬から給付開始。,令和8年度,大津市 子育て支援給付課 077-528-2543,https://www.city.otsu.lg.jp/soshiki/001/1030/k/72666.html,TRUE,2026-05-11
2214,滋賀県,大津市,住民税非課税世帯エアコン購入費補助,生活支援,購入・設置費用の一部（上限あり）,all,令和8年1月1日時点で世帯全員が住民税非課税であり、居住住宅にエアコンが1台もない世帯に購入・設置費用を補助。熱中症対策・省エネ促進を目的とする。,令和8年度（詳細は市に要確認）,大津市 福祉政策課 077-528-2654,https://www.city.otsu.lg.jp/soshiki/020/1405/g/k/72937.html,TRUE,2026-05-11
2215,滋賀県,大津市,太陽光発電システム普及促進,エコ,滋賀県補助制度を案内（市独自補助は要確認）,ownsHome,大津市では太陽光発電設備の設置に関する情報を公式サイトで案内。滋賀県の省エネ・再エネ設備導入補助との連携情報も提供。,随時,大津市 環境政策課 077-528-2756,https://www.city.otsu.lg.jp/soshiki/030/1121/g/eco/1389139329296.html,TRUE,2026-05-11
2216,滋賀県,大津市,省エネ改修工事に伴う固定資産税減額,住まい,固定資産税1/3減額（1年間）,ownsHome,令和8年3月31日までに完了した省エネ改修工事が対象。自己負担60万円超の工事で窓断熱・床・天井・壁等が対象。太陽光設置も含む。,令和8年3月31日工事完了分まで,大津市 固定資産税課 077-528-2744,https://www.city.otsu.lg.jp/soshiki/005/1216/g/shisan/kaoku/1390353002604.html,TRUE,2026-05-11
2217,滋賀県,草津市,健幸エコハウス（太陽光発電・蓄電池）普及促進補助金,エコ,太陽光・蓄電池設置費の一部（滋賀県上乗せ補助含む）,ownsHome,草津市内の自己所有住宅に太陽光発電システムと蓄電池を設置する市民に補助金を交付。滋賀県の補助に上乗せする形で市独自補助を実施。,令和7年6月〜令和8年3月31日（令和8年度は要確認）,草津市 温暖化対策室 077-561-6581,https://www.city.kusatsu.shiga.jp/kurashi/kankyo/ondanka/ecohouse-hozyokin.html,TRUE,2026-05-11
2218,滋賀県,草津市,健幸エコハウス（遮熱カーテン）普及促進補助金,エコ,1世帯あたり2万円（上限）,all,遮熱機能付きカーテンの購入・設置費用を補助。エネルギー消費削減と物価高騰対応を目的とし、申請は購入後に行う。,令和7年6月〜令和8年3月31日（令和8年度は要確認）,草津市 温暖化対策室 077-561-6581,https://www.city.kusatsu.shiga.jp/kurashi/kankyo/ondanka/ecohouse-hozyokin.html,TRUE,2026-05-11
2219,滋賀県,草津市,省エネ・再エネ等設備導入加速化補助金,エコ,補助対象経費の1/3以内（再エネは指定施設で1/2以内）,all,省エネルギー設備・再生可能エネルギー設備の導入費用を補助。太陽光・蓄電池・断熱改修等が対象。令和7年度に実施。,令和7年度（令和8年度は要確認）,草津市 温暖化対策室 077-561-6581,https://www.city.kusatsu.shiga.jp/kurashi/kankyo/ondanka/hojokin-syoenesaiene.html,TRUE,2026-05-11
2220,滋賀県,草津市,妊娠・出産・育児に関する支援制度,子育て,妊婦5万円・出産後5万円（国制度の草津市実施分）,all,妊娠届出や出産後に伴走型相談支援を行い、経済的支援として給付金を交付。妊婦支援給付金・出産・子育て応援給付金を一括案内。,随時,草津市 健幸づくり政策課 077-561-2327,https://www.city.kusatsu.shiga.jp/kosodate/ninshinshussan/shienteate/index.html,TRUE,2026-05-11
2221,滋賀県,草津市,省エネ改修工事に係る固定資産税減額,住まい,固定資産税1/3減額（1年間）,ownsHome,昭和57年1月1日以前に建てられた住宅で省エネ改修工事を実施した場合、翌年度の固定資産税が1/3減額される。窓断熱等が主な対象。,令和8年3月31日工事完了分まで,草津市 固定資産税課 077-561-2375,https://www.city.kusatsu.shiga.jp/kurashi/zeikin/koteishisan/kaoku/shoenekaishu.html,TRUE,2026-05-11
2222,滋賀県,彦根市,住宅取得費補助金（移住者向け）,住まい,最大50万円（子育て世帯・若年世帯加算あり）,all,市外から彦根市へ移住し住宅を新築または購入した方に取得費用の一部を補助。令和7年度は予算上限に達し受付終了。令和8年度に要確認。,令和8年度（予算の範囲内・先着順）,彦根市 企画課 0749-22-1411,https://www.city.hikone.lg.jp/ijyu/shien/hojyokin/12998.html,TRUE,2026-05-11
2223,滋賀県,彦根市,子育て・若年世帯空き家リノベーション補助金,住まい,改修工事費の一部（上限あり）,hasChildren,彦根市空き家バンクを通じて空き家を取得した子育て・若年世帯が改修工事を行う場合に費用の一部を補助。空き家の有効活用と移住定住を促進。,随時（予算の範囲内）,彦根市 住宅課 0749-22-1411,https://www.city.hikone.lg.jp/kakuka/toshi_seisaku/4/2_2/2/11089.html,TRUE,2026-05-11
2224,滋賀県,彦根市,省エネ改修に伴う固定資産税減額制度,エコ,固定資産税1/3減額（1年間）,ownsHome,令和4年4月〜令和8年3月31日に既存住宅で省エネ改修（窓・床・天井・壁断熱、太陽光・高効率空調等）を実施した場合に税減額。,令和8年3月31日工事完了分まで,彦根市 税務課 0749-22-1411,https://www.city.hikone.lg.jp/kakuka/somubu/6/5/5/3963.html,TRUE,2026-05-11
2225,滋賀県,彦根市,新エネルギー・省エネルギー関連補助金（滋賀県経由）,エコ,各制度による（太陽光・蓄電池・省エネ機器等）,ownsHome,滋賀県が実施するスマートライフスタイル推進事業補助（太陽光・蓄電池・省エネ機器等）を案内。彦根市の補助金情報ページで一括掲載。,随時（令和8年度は要確認）,彦根市 環境課 0749-22-1411,https://www.city.hikone.lg.jp/kakuka/shimin_kankyo/5/2_2/chikyuonndannnka/27784.html,TRUE,2026-05-11
2226,滋賀県,彦根市,まちづくり推進事業総合補助金,生活支援,活動内容により異なる（上限あり）,all,彦根市内の自治会・町内会や市民活動団体が地域課題解決のために行う事業に補助。暮らしの安全・環境・福祉・文化等幅広い活動が対象。,随時（予算の範囲内）,彦根市 市民活動推進課 0749-22-1411,https://www.city.hikone.lg.jp/benri/teate/5/23684.html,TRUE,2026-05-11
2227,奈良県,奈良市,奈良市地域脱炭素移行・再エネ推進事業補助金（令和8年度）,エコ,太陽光7万円/kW（個人住宅・自家消費型）・蓄電池 対象経費の1/2（上限あり）,ownsHome,自己所有住宅に太陽光発電設備（自家消費率50%以上・FIT非認定）や蓄電池を設置する個人に補助（個人住宅向けは太陽光7万円/kW）。令和8年度実施中。FIT認定取得しないことが条件。,令和8年度（詳細は市に要確認）,奈良市 環境政策課 0742-34-4893,https://www.city.nara.lg.jp/site/zerocarbon/263838.html,TRUE,2026-06-10
2228,奈良県,奈良市,奈良市空き家・町家バンク活用住宅支援補助金,住まい,住宅購入・改修上限100万円・荷物撤去上限20万円,all,奈良市空き家バンクまたは奈良町町家バンク登録物件を活用する際の購入・改修・荷物撤去費用を補助。移住・定住促進と空き家解消を目的とする。,随時（予算の範囲内）,奈良市 住宅課 0742-34-4750,https://www.city.nara.lg.jp/naralovelive/reason/index.html,TRUE,2026-05-11
2229,奈良県,奈良市,奈良市物価高騰支援給付金（市民一律5000円）,生活支援,市民1人あたり5000円,all,奈良市民全員を対象に物価高騰への生活支援として一律5000円を給付。国の地方創生臨時交付金を活用。,令和7年度実施（令和8年度は要確認）,奈良市 給付金担当課 0742-34-4736,https://www.city.nara.lg.jp/soshiki/33/256396.html,TRUE,2026-05-11
2230,奈良県,奈良市,住居確保給付金（家賃補助）,生活支援,家賃相当額（上限あり・最長9ヶ月）,all,離職や収入減少等で住居を失うおそれのある方に、原則3ヶ月（最長9ヶ月）家賃相当額を給付し就労を支援する国制度の奈良市実施分。,随時（随時受付）,奈良市 福祉政策課 0742-34-4594,https://www.city.nara.lg.jp/soshiki/33/242970.html,TRUE,2026-05-11
2231,奈良県,奈良市,令和8年度建築関連補助事業（耐震・バリアフリー等）,住まい,各事業により異なる（上限あり）,ownsHome,木造住宅耐震診断・耐震改修・バリアフリー改修等の補助事業を令和8年度も実施。詳細は建築指導課で確認。,令和8年度（詳細は市に要確認）,奈良市 建築指導課 0742-34-4750,https://www.city.nara.lg.jp/soshiki/117/130644.html,TRUE,2026-05-11
2232,奈良県,橿原市,橿原市エコライフハウス推進事業（太陽光・蓄電池補助）,エコ,太陽光・蓄電池設置費の一部（令和7年度申請受付中）,ownsHome,市内の住宅に太陽光発電システムと定置用リチウムイオン蓄電池を設置する市民に補助金を交付。脱炭素社会の実現に向けた取組。,令和7年5月1日〜（令和8年度は要確認）,橿原市 環境保全課 0744-47-3530,https://www.city.kashihara.nara.jp/soshiki/1029/gyomu/2/6/1790.html,TRUE,2026-05-11
2233,奈良県,橿原市,既存木造住宅省エネルギー改修工事等補助事業,住まい,工事費の一部（上限あり）,ownsHome,既存木造住宅の省エネルギー化改修工事（断熱・窓改修・高効率設備導入等）に要する費用の一部を補助。市内業者施工が条件。,随時（予算の範囲内）,橿原市 住宅政策課 0744-47-3514,https://www.city.kashihara.nara.jp/soshiki/1009/gyomu/3/2/2192.html,TRUE,2026-05-11
2234,奈良県,橿原市,橿原市移住支援金,生活支援,単身60万円・世帯100万円（子1人につき100万円加算）,all,東京圏から橿原市へ移住し、指定求人への就業または起業支援金交付決定を受けた場合に支援金を支給。18歳未満同伴は子育て加算あり。,随時（申請要件を満たした日から3ヶ月以内）,橿原市 移住交流推進課 0744-47-3535,https://www.city.kashihara.nara.jp/soshiki/1027/gyomu/3204.html,TRUE,2026-05-11
2235,奈良県,橿原市,令和8年度物価高騰対応重点支援交付金,生活支援,対象世帯に給付（金額は交付金内容による）,all,国の物価高騰対応重点支援地方創生臨時交付金を活用し、橿原市が市民生活への支援を実施。令和8年度も継続実施。,令和8年度,橿原市 福祉政策課 0744-47-3524,https://www.city.kashihara.nara.jp/soshiki/1006/gyomu/9/5/19793.html,TRUE,2026-05-11
