id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2341,徳島県,徳島市,住宅用太陽光発電システム・蓄エネルギー機器等導入支援事業（令和8年度）,エコ,太陽電池モジュール1kWあたり2万円（上限10万円）,ownsHome,地球温暖化対策推進のため、市内既築・新築住宅に太陽光発電システムや蓄電池を設置する方に補助金を交付。出力2kW以上10kW未満が対象。,2026-04-01〜2027-02-26,環境政策課（088-621-5237）,https://www.city.tokushima.tokushima.jp/kurashi/kankyou_eisei/solar_power/shien/shien_about.html,TRUE,2026-05-11
2342,徳島県,徳島市,住宅リフォーム支援事業補助金,住まい,補助対象経費の10%以内（上限20万円）,ownsHome,市内施工業者を使って住宅の改修・修繕を行う市民に対し、リフォーム費用の一部を補助。地域経済活性化と住環境改善が目的。,2026-05頃〜（予算終了次第終了）,住宅課（088-621-5219）,https://www.city.tokushima.tokushima.jp/kurashi/house/house_keikaku/jyutaku_reform.html,TRUE,2026-05-11
2343,徳島県,徳島市,移住支援金（東京圏）,生活支援,単身60万円・2人以上世帯100万円（18歳未満帯同で1人100万円加算）,all,東京23区の在住者または通勤者が徳島市に移住し就業等の要件を満たす場合に支援金を支給。子育て世帯への加算あり。,2026年度通年（予算の範囲内）,まちづくり推進課（088-621-5211）,https://www.city.tokushima.tokushima.jp/shisei/machi_keikaku/townplanning/ijyu_sokushin/ijyu_sienkin.html,TRUE,2026-05-11
2344,徳島県,徳島市,子育て世帯向け経済的支援（子ども医療費助成）,子育て,自己負担なし（18歳年度末まで通院・入院）,hasChildren,18歳年度末まで子どもの医療費（通院・入院）の自己負担分を全額助成。子育て世帯の経済的負担を軽減する。,2026年度通年,子育て支援課（088-621-5192）,https://www.city.tokushima.tokushima.jp/kosodate/kodokomyu/genre_kensaku/teate_hojokin/index.html,TRUE,2026-05-11
2345,徳島県,徳島市,省エネ改修住宅の固定資産税減額,エコ,固定資産税を1/3減額（翌年度1年間）,ownsHome,省エネ改修工事（窓・外壁断熱等）を行い自己負担60万円超の場合、翌年度分の固定資産税が3分の1減額される優遇制度。,2026年度通年,資産税課（088-621-5148）,https://www.city.tokushima.tokushima.jp/kurashi/zeikin/shisan_zei/myhome_zei/shoene.html,TRUE,2026-05-11
2346,徳島県,阿南市,あなんぐらし支援事業補助金（令和8年度）,住まい,補助対象経費の25%以内（上限25万円）・空き家活用加算最大35万円,ownsHome,市内施工業者でリフォームを行う方に費用の一部を補助。空き家活用加算・移住者加算あり。予定戸数50戸。,2026-04-01〜2026-04-30（一次受付）,建設課住宅担当（0884-22-3290）,https://www.city.anan.tokushima.jp/docs/2026030500059,TRUE,2026-05-11
2347,徳島県,阿南市,木造住宅耐震化支援事業（令和8年度）,安全,耐震診断無料・改修設計上限20万円・改修工事補助あり,ownsHome,昭和56年5月以前建築の木造住宅を対象に耐震診断・改修設計・改修工事費の一部を補助。除却支援も含む。,2026年度通年,建設課（0884-22-3290）,https://www.city.anan.tokushima.jp/docs/2026030600018,TRUE,2026-05-11
2348,徳島県,阿南市,危険ブロック塀等撤去支援事業,安全,撤去費用の一部（上限あり）,ownsHome,道路に接する危険なブロック塀・石塀等を撤去する費用の一部を補助。地震時の倒壊事故防止と通学路の安全確保が目的。,2026年度通年,建設課（0884-22-3290）,https://www.city.anan.tokushima.jp/docs/2026021800038,TRUE,2026-05-11
2349,徳島県,阿南市,物価高対応子育て応援手当,子育て,児童1人あたり2万円,hasChildren,物価高騰への対応として平成19年4月2日から令和8年3月31日生まれの子どもを持つ世帯に一律2万円を支給。,2025年度分（令和8年度対応）,子育て支援課（0884-22-3290内線）,https://www.city.anan.tokushima.jp/docs/2025120900038/,TRUE,2026-05-11
2350,徳島県,阿南市,移住促進宿泊費助成（お試し移住）,生活支援,上限あり（詳細は窓口確認）,all,阿南市への移住を検討している方の宿泊費用を助成し、お試し移住・現地視察を支援する独自制度。,2026年度通年（予算の範囲内）,企画総務課移住定住担当（0884-22-3290）,https://www.city.anan.tokushima.jp/docs/2019041600054/,TRUE,2026-05-11
