id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2001,青森県,青森市,地球温暖化対策実行計画推進事業補助金（令和8年度）,エコ,省エネ家電等:対象経費の1/4(上限3万円),all,エアコン・冷蔵庫・エコキュート等の省エネ家電や自家消費型太陽光・蓄電池・EV充電設備の導入費を補助。令和8年3月〜11月受付,2026年3月23日〜2026年11月30日,青森市地球温暖化対策実行計画推進事業補助金受付窓口 TEL:017-718-2696,https://www.city.aomori.aomori.jp/kurashi_kankyo/kankyo/1002031/1008434.html,TRUE,2026-05-11
2002,青森県,青森市,青森市移住支援金（東京23区居住・通勤者対象）,生活支援,世帯100万円・単身60万円（子1人につき100万円加算）,all,東京23区に居住または通勤していた方が青森市に移住し対象法人に就業等の条件を満たした場合に支援金を交付,令和8年度受付中（転入後1年以内に申請）,青森市経済部産業政策課 TEL:017-734-5362,https://www.city.aomori.aomori.jp/kurashi_kankyo/sumai/1002204/1002219/1002221.html,TRUE,2026-05-11
2003,青森県,青森市,住居確保給付金,生活支援,家賃相当額（家賃上限あり）,all,離職・廃業等により収入が減少し住居を失うおそれがある方に一定期間家賃相当額を支給。3か月から最大9か月,随時申請受付,青森市福祉部生活福祉課 TEL:017-734-5315,https://www.city.aomori.aomori.jp/hukushi_kenkou/seikatsukonkyuu/1003467.html,TRUE,2026-05-11
2004,青森県,青森市,住まいに関する支援制度（住宅購入・リフォーム等）,住まい,制度による（移住支援・耐震改修等）,ownsHome,市が窓口となり住宅取得・耐震改修・移住関連の各種補助制度を一覧で案内。詳細は各担当課へ,令和8年度受付中（各制度による）,青森市都市整備部住宅政策課 TEL:017-734-5455,https://www.city.aomori.aomori.jp/lifeevent/1002503/1007995.html,TRUE,2026-05-11
2005,青森県,青森市,物価高対応子育て応援手当,子育て,児童1人あたり2万円（一時金）,hasChildren,物価高騰の影響を受ける子育て世帯を支援するため，対象児童を養育する世帯に一時金を支給する市独自事業,令和8年度実施予定（詳細は市HP確認）,青森市こども家庭部こども政策課 TEL:017-734-5313,https://www.city.aomori.aomori.jp/shisei/gyouzaiseiunei/1010031.html,TRUE,2026-05-11
2006,青森県,青森市,医療・福祉職子育て世帯移住支援金,子育て,1世帯100万円＋18歳未満1人につき100万円加算,hasChildren,青森県外から青森市に移住し医療・福祉職に就業した子育て世帯に移住支援金を交付。ひとり親世帯は100万円を追加加算,令和8年度実施予定（市HP要確認）,青森市経済部産業政策課 TEL:017-734-5362,https://www.city.aomori.aomori.jp/renkeisuisin/kurashi-guide/sumai/iju-teiju/ijusienkin03.html,TRUE,2026-05-11
2007,青森県,弘前市,既存住宅断熱改修事業費補助金（令和7年度）,エコ,断熱改修工事費の一部（金額は要綱確認）,ownsHome,市内の既存一戸建て住宅の断熱改修工事費を補助しゼロカーボンシティを推進。申請期限は令和7年11月28日,2025年4月〜2025年11月28日,弘前市市民生活環境課ゼロカーボンシティ推進係 TEL:0172-32-1969,https://www.city.hirosaki.aomori.jp/kurashi/sumai/dannetsuhojyo.html,TRUE,2026-05-11
2008,青森県,弘前市,弘前市医療・福祉職子育て世帯移住支援金,子育て,100万円＋子1人につき100万円加算,hasChildren,青森県外から弘前市に移住し医療・福祉職に就業した子育て世帯を対象に移住支援金を支給する制度,令和8年度実施予定（詳細は市HP確認）,弘前市産業部産業政策課 TEL:0172-35-1111,https://www.city.hirosaki.aomori.jp/sangyo/2023-1026-1532-39.html,TRUE,2026-05-11
2009,青森県,弘前市,物価高対応子育て応援手当（弘前市）,子育て,児童1人あたり1万円（一時金）,hasChildren,物価高騰が続く中、子育て世帯を応援するため市独自に現金給付を実施。令和8年度受付は市HPを確認,令和8年度実施予定（詳細は市HP確認）,弘前市こども家庭部こども政策課 TEL:0172-35-1111,https://www.city.hirosaki.aomori.jp/kyouiku/kosodate/2025-kosodateouenteate.html,TRUE,2026-05-11
2010,青森県,弘前市,住宅改修支援事業（バリアフリー）,住まい,工事費の一部（上限は要確認）,hasElderly,高齢者や障がい者が安全に生活できるよう，自宅のバリアフリー改修工事費の一部を助成する事業,令和8年度受付中,弘前市福祉部高齢介護課 TEL:0172-35-1111,https://www.city.hirosaki.aomori.jp/kurashi/todoke/shinsei/2015-0217-1807-32.html,TRUE,2026-05-11
2011,青森県,弘前市,老朽空き家除却費補助金,住まい,除却費の一部（上限は要確認）,ownsHome,老朽化が進み危険性のある空き家の解体・除却を行う所有者に費用の一部を補助。景観・安全確保が目的,令和8年度予定（令和7年度は受付終了）,弘前市都市整備部建築指導課 TEL:0172-35-1111,https://www.city.hirosaki.aomori.jp/kurashi/akiya/roukyuuakiya-jyokyaku.html,TRUE,2026-05-11
2012,青森県,八戸市,省エネ設備導入等促進事業補助金,エコ,高効率空調機器・高断熱窓改修等の費用の一部,ownsHome,家庭・中小企業等の高効率空調機器導入や高断熱窓への改修費用を補助。令和8年度実施は要確認,令和8年度実施予定（詳細は市HP確認）,八戸市環境政策課 TEL:0178-43-9218,https://www.city.hachinohe.aomori.jp/soshikikarasagasu/kankyoseisakuka/gomi_kankyo_pet/2/5/21583.html,TRUE,2026-05-11
2013,青森県,八戸市,移住支援金制度（UIJターン就業支援）,生活支援,世帯100万円・単身60万円（子1人追加100万円）,all,東京圏から八戸市に移住し対象法人に就業・起業した方に移住支援金を交付。18歳未満同伴で子育て加算あり,令和8年度受付中（転入後1年以内に申請）,商工労働まちづくり部産業労政課 TEL:0178-43-9038,https://www.city.hachinohe.aomori.jp/jigyoshamuke/koyo_rodo/2/8056.html,TRUE,2026-05-11
2014,青森県,八戸市,医療・福祉職子育て世帯移住支援金（八戸市）,子育て,100万円＋18歳未満1人につき100万円加算,hasChildren,青森県外から八戸市に移住し医療・福祉職に就いた子育て世帯を対象とした移住支援金制度,令和8年度実施予定（詳細は市HP確認）,産業労政課雇用支援対策グループ TEL:0178-43-9038,https://www.city.hachinohe.aomori.jp/soshikikarasagasu/sangyoroseika/koyo_rodo/2/20749.html,TRUE,2026-05-11
2015,青森県,八戸市,住宅費助成（ほんのり温ったか八戸移住計画）,住まい,引越費用・家賃等の一部,all,UIJターン就職希望者に対し引越費用・住宅費・学用品等購入費を助成する移住促進支援事業,令和8年度受付中,産業労政課雇用支援対策グループ TEL:0178-43-9038,https://www.city.hachinohe.aomori.jp/soshikikarasagasu/sangyoroseika/koyo_rodo/2480.html,TRUE,2026-05-11
2016,青森県,八戸市,子育て助成・各種手当,子育て,児童手当・子ども医療費助成等,hasChildren,児童手当・児童扶養手当・子ども医療費助成・ひとり親医療費助成等，子育て家庭を支援する各種給付制度をまとめて案内,令和8年度受付中,八戸市子育て支援課 TEL:0178-43-9214,https://www.city.hachinohe.aomori.jp/kosodate_gakko/kosodate/josei_teate/index.html,TRUE,2026-05-11
2017,岩手県,盛岡市,住宅用太陽光発電システム等設置費補助金（令和7年度）,エコ,1kWあたり1.4万円(上限5.6万円)・HEMS最大1.4万円,ownsHome,自ら所有・居住する一戸建て住宅に太陽光発電システム・HEMSを設置する費用を補助。先着順で受付,令和7年度受付中（予算終了次第終了）,盛岡市環境部環境企画課 TEL:019-626-3754,https://www.city.morioka.iwate.jp/kurashi/kankyo/kankyokatsudo/1034275.html,TRUE,2026-05-11
2018,岩手県,盛岡市,市産材利用住宅支援事業,住まい,1立方メートルあたり1.3万円(上限30万円),ownsHome,盛岡市産材を利用した新築・増改築・リフォーム工事に対し使用量に応じて補助金を交付。林業活性化と地産地消促進が目的,令和8年度受付中（先着順）,盛岡市農林部林政課 TEL:019-626-7541,https://www.city.morioka.iwate.jp/jigyousha/1026070/ringyo/1008273.html,TRUE,2026-05-11
2019,岩手県,盛岡市,子育てのための手当・助成,子育て,各制度による（児童手当・医療費助成等）,hasChildren,盛岡市在住の子育て世帯を対象に児童手当・乳幼児医療費助成・児童扶養手当等の各種給付をまとめて案内する制度,令和8年度受付中,盛岡市子ども未来部子ども政策課 TEL:019-626-7534,https://www.city.morioka.iwate.jp/kosodate/kosodateteate/index.html,TRUE,2026-05-11
2020,岩手県,盛岡市,空き家等購入費補助金,住まい,購入費の一部（上限は要確認）,ownsHome,空き家等を購入し市内に定住しようとする方を対象に購入費の一部を補助。空き家の有効活用と定住促進が目的,令和8年度受付中,盛岡市都市整備部住宅課 TEL:019-626-3584,https://www.city.morioka.iwate.jp/kurashi/sumai/1019574.html,TRUE,2026-05-11
2021,岩手県,盛岡市,空き家等改修事業補助金,住まい,改修費の一部（上限は要確認）,ownsHome,市内の空き家を改修して居住・活用しようとする所有者等に改修費の一部を補助する事業,令和8年度受付中,盛岡市都市整備部住宅課 TEL:019-626-3584,https://www.city.morioka.iwate.jp/kurashi/sumai/1042308.html,TRUE,2026-05-11
2022,岩手県,一関市,住宅用新エネルギー設備導入促進費補助金（令和7年度）,エコ,太陽光1kWあたり2万円(上限10万円)・蓄電池1kWhあたり2万円(上限10万円)・太陽熱最大5万円・地中熱最大30万円,ownsHome,自己所有・居住の住宅に太陽光発電・蓄電池・太陽熱・地中熱設備を設置する費用を補助。予算額850万円,令和7年度受付中（申請締切日前倒し・市HP確認）,一関市生活環境課環境企画係 TEL:0191-21-8331,"https://www.city.ichinoseki.iwate.jp/index.cfm/8,180547,121,852,html",TRUE,2026-05-11
2023,岩手県,一関市,移住者住宅取得補助金,住まい,補助額は要確認（市外からの移住定住者対象）,all,市外から一関市に移住し自ら居住するための住宅を建設または購入する方に補助金を交付する定住促進制度,令和8年度受付中,一関市まちづくり推進部交流推進課 TEL:0191-21-8194,"https://www.city.ichinoseki.iwate.jp/index.cfm/8,39537,81,html",TRUE,2026-05-11
2024,岩手県,一関市,移住支援補助金（東京圏からUIJターン）,生活支援,世帯100万円・単身60万円（18歳未満子1人追加100万円）,all,東京圏から一関市に移住し対象法人に就業・起業した方に補助金を交付。子育て加算で最大200万円以上も可能,令和8年度受付中,一関市まちづくり推進部交流推進課 TEL:0191-21-8194,"https://www.city.ichinoseki.iwate.jp/index.cfm/8,140198,81,html",TRUE,2026-05-11
2025,岩手県,一関市,薪ストーブ設置費補助金（令和7年度）,エコ,設置費の一部（上限額は要確認）,ownsHome,市内の住宅に薪ストーブを設置する市民に費用の一部を補助。木質バイオマスエネルギー活用と脱炭素を推進,令和7年度受付中（市HP確認）,一関市生活環境課 TEL:0191-21-8331,"https://www.city.ichinoseki.iwate.jp/index.cfm/29,180901,243,787,html",TRUE,2026-05-11
2026,岩手県,一関市,住宅環境改善リフォーム補助金,住まい,工事費の一部（金額は要確認）,ownsHome,市内在住者が既存住宅の環境改善を目的とするリフォーム工事を行う場合に費用の一部を補助する事業,令和8年度予定（令和6年度終了・令和7年度は要確認）,一関市都市整備部都市計画課 TEL:0191-21-8363,"https://www.city.ichinoseki.iwate.jp/index.cfm/8,166353,182,html",TRUE,2026-05-11
2027,秋田県,秋田市,子育てサポート・多子世帯サポートクーポン券,子育て,子育てサポートクーポン:1人2000円分・多子世帯加算あり,hasChildren,3歳未満の子を持つ在宅育児世帯や3人以上の子を持つ多子世帯に商店街等で使えるクーポン券を交付,令和8年4月〜（令和8年度受付中）,秋田市こども未来部こども政策課 TEL:018-866-2094,https://www.city.akita.akita.jp/city/pl/pb/koho/htm/20250404/040408.html,TRUE,2026-05-11
2028,秋田県,秋田市,子育て世帯への移住支援（子育て移住促進）,子育て,詳細は要確認（子育て移住促進支援）,hasChildren,子育て世帯の秋田市への移住定住を促進するための総合的な支援制度。子育て環境の充実をPRし移住後の生活サポートも行う,令和8年度受付中,秋田市総務部政策課 TEL:018-888-5471,https://www.city.akita.akita.jp:443/city/pl/mn/iju/kosodateiju.html,TRUE,2026-05-11
2029,秋田県,秋田市,物価高騰支援給付金（不足額給付）,生活支援,1人あたり給付（詳細は市HP確認）,all,令和7年分住民税で定額減税の恩恵を十分に受けられなかった市民に差額を給付する物価高対策支援,令和8年度受付中（詳細は市HP）,秋田市総務部市民税課 TEL:018-888-5487,https://www.city.akita.akita.jp/city/pl/pb/koho/htm/20250815/081505.html,TRUE,2026-05-11
2030,秋田県,秋田市,住居確保給付金,生活支援,家賃相当額（上限あり・最大9か月）,all,離職・廃業等で収入が減り住居を失うおそれのある方に家賃相当額を一定期間支給。ハローワーク等と連携した就職支援も実施,随時受付,秋田市福祉保健部生活保護課 TEL:018-888-5667,https://www.city.akita.akita.jp/city/pl/mn/iju/kosodateiju.html,TRUE,2026-05-11
2031,秋田県,秋田市,秋田市起業・創業支援補助金,生活支援,最大375万円（詳細は事務局確認）,all,秋田市内で起業・創業する方を対象に事業に必要な経費の一部を補助。地域経済の活性化と雇用創出が目的,令和8年度受付中（詳細は産業振興課確認）,秋田市産業振興部産業企画課 TEL:018-888-5727,https://www.city.akita.akita.jp/wp/inpr/files/2015/04/83df035f3aee7af6810a1448ecaf9583.pdf,TRUE,2026-05-11
2032,山形県,山形市,省エネ高効率設備導入事業費補助金（令和8年度）,エコ,設備費の一部（詳細は環境課確認）,all,CO₂削減のため市内に省エネ性能の高い高効率空調・給湯・照明機器を設置する市民・事業者に補助金を交付,第1弾:2026年4月24日〜5月15日／第2弾:2026年9月1日〜9月18日,山形市環境部環境課環境政策係 TEL:023-641-1212（内線679・682）,https://www.city.yamagata-yamagata.lg.jp/kurashi/kankyohozen/1006528/1013840/1013841.html,TRUE,2026-05-11
2033,山形県,山形市,住宅リフォーム総合支援事業（令和8年度）,住まい,対象工事費の20%（一般:上限10万円・子育て等加算世帯:上限20万円）,ownsHome,所得400万円以下の市民が5万円以上の屋根・外壁・内装等リフォーム工事を行う際に費用の一部を補助,令和8年度受付中（予算終了次第終了）,山形市まちづくり政策部住宅政策課住宅政策係 TEL:023-641-1212（内線470）,https://www.city.yamagata-yamagata.lg.jp/kurashi/tochi/1007258/1003551.html,TRUE,2026-05-11
2034,山形県,山形市,環境貢献市産材支援家づくり事業,住まい,一般:50万円・子育て世帯加算で最大90万円,hasChildren,山形市産材を使い地域の施工業者で新築する世帯に最大90万円を補助。子育て・三世代同居等の加算制度あり,令和8年度受付中,山形市農林部林業振興課 TEL:023-641-1212（内線541）,https://www.city.yamagata-yamagata.lg.jp/jigyosya/nougyo/1006768/1006771/1004728.html,TRUE,2026-05-11
2035,山形県,山形市,子育てのための手当・助成,子育て,各制度による（医療費助成・児童手当等）,hasChildren,山形市在住の子育て世帯を対象に児童手当・乳幼児医療費助成・ひとり親支援等をまとめて案内する総合支援制度,令和8年度受付中,山形市こども未来部こども政策課 TEL:023-641-1212（内線346）,https://www.city.yamagata-yamagata.lg.jp/kosodatekyoiku/kosodate/1006612/index.html,TRUE,2026-05-11
2036,山形県,山形市,セーフティネット住宅改修事業（子育て世帯向け）,子育て,子育て世帯対応改修工事:1戸あたり100万円加算,hasChildren,空き家・民間賃貸住宅の空き室を子育て世帯等の入居専用に改修する家主に改修費の一部を補助。子育て世帯の住宅確保を支援,令和8年度受付中,山形市まちづくり政策部住宅政策課 TEL:023-641-1212（内線470）,https://www.city.yamagata-yamagata.lg.jp/kurashi/tochi/1006582/1007260/1002499.html,TRUE,2026-05-11
2037,山形県,酒田市,住宅リフォーム総合支援事業（酒田市）,住まい,一般:上限20万円・子育て等割増世帯:上限30万円,ownsHome,市民が5万円以上の住宅リフォーム工事を行う際に費用の一部を助成。子育て・新婚・移住世帯は補助率と上限額を加算,令和8年度受付中（詳細は建築課確認）,酒田市建設部建築課確認審査係 TEL:0234-26-5749,https://www.city.sakata.lg.jp/jyutaku/jyutaku/jyutakushikin/reform.html,TRUE,2026-05-11
2038,山形県,酒田市,移住定住者住宅支援費補助金,住まい,補助額は要確認（移住定住者向け）,all,酒田市に移住定住する方の住宅取得・賃借等に係る費用の一部を補助する定住促進制度。地域共生課が窓口,令和8年度受付中,酒田市地域共生課移住相談窓口 TEL:0234-26-5768,https://www.city.sakata.lg.jp/shisei/ijyu/ijuteijuhojokinn.html,TRUE,2026-05-11
2039,山形県,酒田市,酒田産木材を使用した住宅新築補助金,住まい,一般:30万円(最大50万円)・割増世帯:40万円(最大60万円),ownsHome,酒田産木材を使い地元施工業者で新築する方に補助金を交付。新婚・子育て・移住世帯は金額が引き上げられる,令和8年度受付中,酒田市建設部建築課 TEL:0234-26-5749,https://www.city.sakata.lg.jp/jyutaku/jyutaku/jyutakushikin/newhouse.html,TRUE,2026-05-11
2040,山形県,酒田市,各種助成・手当（子育て）,子育て,各制度による（医療費助成・児童扶養手当等）,hasChildren,酒田市の子育て世帯向け助成・手当制度をまとめて案内。子ども医療費助成・修学資金貸付・ひとり親支援等を含む,令和8年度受付中,酒田市子育て支援係 TEL:0234-26-5734,https://www.city.sakata.lg.jp/kosodate/kosodate/kosodateshien/jyosei-teate.html,TRUE,2026-05-11
2041,山形県,酒田市,灯油等購入費助成（福祉）,福祉,助成額は要確認（灯油購入支援）,hasElderly,低所得の高齢者世帯等を対象に冬期の灯油等燃料購入費の一部を助成する生活支援制度,令和8年度冬期（詳細は担当課確認）,酒田市地域共生課 TEL:0234-26-5768,https://www.city.sakata.lg.jp/kenko/chiikifukushi/fukushi/touyukounyuuhijyosei.html,TRUE,2026-05-11
2042,福島県,福島市,脱炭素住宅整備助成事業（令和7年度）,エコ,詳細は環境政策課確認（省エネ改修・再エネ設備対象）,ownsHome,物価高騰に強いライフスタイルへの転換を支援。省エネ改修や再生可能エネルギー設備導入に費用の一部を助成,令和7年度受付中（予算終了まで）,福島市環境部環境政策課ゼロカーボン推進係 TEL:024-525-3742,https://www.city.fukushima.fukushima.jp/soshiki/8/1034/1/12521.html,TRUE,2026-06-10
2043,福島県,福島市,住宅に関する補助制度（新婚・子育て世帯向け）,子育て,住居費・引越費等の一部（詳細は住宅政策課確認）,hasChildren,新婚世帯・子育て世帯が福島市内の住宅を取得・賃借する際の費用の一部を補助する総合住宅支援制度,令和8年度受付中,福島市都市政策部住宅政策課 TEL:024-525-3747,https://www.city.fukushima.fukushima.jp/jyuutaku-seisaku/hojokin/juutakuhojo/shinkonsetaimuke.html,TRUE,2026-05-11
2044,福島県,福島市,結婚等新生活支援事業補助金（令和7年度）,生活支援,スタートアップ支援:賃貸初期費用・引越費用の一部（上限は要確認）,all,令和7年1月〜令和8年3月に婚姻した39歳以下・所得500万円未満の世帯の新生活費用を支援,令和8年3月31日まで（先着順）,福島市市民・文化スポーツ部定住交流課 TEL:024-572-5451,https://www.city.fukushima.fukushima.jp/tkoryu-deai/kurashi/kekkonshinseikatsu.html,TRUE,2026-05-11
2045,福島県,福島市,住宅に関する補助制度（一般世帯向け）,住まい,制度による（耐震改修・バリアフリー等）,ownsHome,一般世帯を対象に木造住宅耐震改修・バリアフリー改修等の各種住宅補助制度を一覧で案内。各担当課が窓口,令和8年度受付中,福島市都市政策部住宅政策課 TEL:024-525-3747,https://www.city.fukushima.fukushima.jp/jyuutaku-seisaku/hojokin/juutakuhojo/ippankateimuke.html,TRUE,2026-05-11
2046,福島県,福島市,子育て支援・助成・手当,子育て,各制度による（医療費助成・児童手当等）,hasChildren,福島市の子育て世帯向け支援制度を一覧案内。子ども医療費助成・ひとり親支援・就学援助・保育料軽減等を含む,令和8年度受付中,福島市こども部こども政策課 TEL:024-525-3753,https://www.city.fukushima.fukushima.jp/kosodate/kosodate/index.html,TRUE,2026-05-11
