id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2141,岐阜県,岐阜市,岐阜市家庭用蓄電池普及促進補助金,エコ,上限5万円（設置費の1/3）,ownsHome,市内の自宅に家庭用蓄電池を設置する住民を対象に設置費用の3分の1（上限5万円）を補助。令和8年度は5月1日受付開始,2026年5月1日〜予算上限まで（実績報告期限2027年2月26日）,環境部ゼロカーボンシティ推進課 TEL:058-214-2149,https://www.city.gifu.lg.jp/zero-carbon/support/1024914/1025364/1038318.html,TRUE,2026-05-11
2142,岐阜県,岐阜市,岐阜市省エネ家電購入支援事業補助金,エコ,2万円または4万円（購入額10万円以上〜・20万円以上〜）,all,岐阜市内の店舗で省エネ性能の高い家電を購入した市民に最大4万円を補助。購入期間は2026年5月1日〜8月31日,2026年6月1日〜2026年9月30日,環境部ゼロカーボンシティ推進課 TEL:058-214-6187,https://www.city.gifu.lg.jp/zero-carbon/support/1024914/1025364/1025433.html,TRUE,2026-05-11
2143,岐阜県,岐阜市,岐阜市空き家取得費・改修費補助金,住まい,取得上限30万円・改修加算上限50万円,all,市外転入・市内賃貸からの転居・子育て・新婚世帯などが市内空き家を取得または改修する費用を補助。受付開始2026年5月18日,2026年5月18日〜2026年12月25日（改修）/ 2027年2月10日（取得）,住宅・空家対策課 TEL:058-214-2258,https://www.city.gifu.lg.jp/kurashi/sumai/1002445/1002448.html,TRUE,2026-05-11
2144,岐阜県,岐阜市,東京圏から岐阜市への移住支援金,生活支援,単身60万円・世帯100万円（子ども加算30万円/人）,all,東京23区在住・在勤者が岐阜市へ移住し就業・起業等の要件を満たした場合に最大100万円＋子ども加算を支給,2026年12月25日まで（移住日から1年以内）,経済部労働雇用課 TEL:058-214-2358,https://www.city.gifu.lg.jp/kurashi/sumai/1002451/1016154.html,TRUE,2026-05-11
2145,岐阜県,岐阜市,まちなか居住支援事業（中心市街地新築住宅取得助成）,住まい,市内転居20万円・市外転入50万円（子育て加算最大40万円）,ownsHome,岐阜市中心市街地内で新築住宅を取得しローンを利用する世帯に住宅取得費用の一部を助成。子育て世帯は子どもの人数で加算,住宅取得・居住開始から1年6か月以内,一般財団法人岐阜市未来のまちづくり財団 TEL:058-201-4010,https://www.city.gifu.lg.jp/kurashi/sumai/1002451/1002453.html,TRUE,2026-05-11
2146,岐阜県,大垣市,子育て世代等住宅取得支援事業利子補給金,子育て,年間最大10万円・最大3年間（計30万円）,hasChildren,大垣市内の新築住宅取得・ローン利用の子育て世帯または40歳未満の夫婦を対象に利子支払額（上限10万円/年）を補助,4月1日〜12月28日（住宅取得から1年以内）,都市計画部住宅課 TEL:0584-47-8184,https://www.city.ogaki.lg.jp/0000021947.html,TRUE,2026-05-11
2147,岐阜県,大垣市,子育て世代等中古住宅取得リフォーム支援事業補助金,住まい,上限30万円（市外移住者は上限50万円・費用の1/2）,hasChildren,中古住宅取得後に移住する子育て世帯または40歳未満の夫婦を対象にリフォーム費用の1/3〜1/2を補助（市外転入は拡充）,住宅取得から1年以内・工事着手前に申請,都市計画部住宅課 TEL:0584-47-8184,https://www.city.ogaki.lg.jp/0000030637.html,TRUE,2026-05-11
2148,岐阜県,大垣市,子育て世代近居支援事業補助金,子育て,引越費用の3/5（上限6万円）,hasChildren,大垣市外から転入する子育て世帯が、市内居住の親世帯の近くに引っ越す場合に引越費用の3/5（上限6万円）を補助,転入日から6か月以内,都市計画部住宅課 TEL:0584-47-8184,https://www.city.ogaki.lg.jp/0000025875.html,TRUE,2026-05-11
2149,岐阜県,大垣市,令和8年度ゼロカーボンシティ推進設備設置事業補助金,エコ,太陽光7万円/kW（上限35万円）・蓄電池1/3（上限23.5万円）など,ownsHome,太陽光発電・蓄電池・EV・地中熱ヒートポンプ・ZEHなど設置費用を補助。令和8年5月1日受付開始,2026年5月1日〜予算上限まで,生活環境部環境政策課 TEL:0584-81-4111,https://www.city.ogaki.lg.jp/0000057453.html,TRUE,2026-05-11
2150,岐阜県,大垣市,大垣市ライフサイクルカーボンマイナス住宅普及促進事業補助金,エコ,上限5万円,ownsHome,建材の製造から廃棄までのCO2排出量を抑えたLCCM住宅の新築・購入費用の一部を補助する大垣市独自のエコ住宅支援制度,令和8年度受付中,生活環境部環境政策課 TEL:0584-81-4111,https://www.city.ogaki.lg.jp/0000035806.html,TRUE,2026-05-11
2151,岐阜県,高山市,飛騨高山ふるさと暮らし・移住促進事業補助金,住まい,取得・改修各上限100万円／賃借月1.5万円（最大36か月）,all,飛騨地域外から高山市へ移住し5年以上居住する意思を持つ方を対象に住宅取得・改修・賃借費用の一部を補助,転入から1年未満に申請,ブランド戦略課 TEL:0577-35-3001,https://www.city.takayama.lg.jp/shisei/1015214/1003942.html,TRUE,2026-05-11
2152,岐阜県,高山市,高山市匠の家づくり支援事業,住まい,上限50万円（構造材2万円/m³・内装材2千円/m²）,ownsHome,飛騨高山の木材と匠の技術を活かした市産材60%以上使用の住宅建築に上限50万円を補助する林業・住宅振興策,令和8年度受付中,森林・環境政策部森林政策課 TEL:0577-35-3143,https://www.city.takayama.lg.jp/kurashi/1006064/1006088/1006089.html,TRUE,2026-05-11
2153,岐阜県,高山市,高山市結婚新生活支援補助金,住まい,最大60万円（29歳以下）/ 最大30万円（39歳以下）,all,令和8年1月1日〜令和9年3月31日に婚姻した夫婦（双方39歳以下・所得500万円未満）の住居費・引越費を補助,令和8年4月1日から受付（ライフデザイン支援講座受講が条件）,市民活動部協働推進課 TEL:0577-35-3412,https://www.city.takayama.lg.jp/kurashi/1006064/1006088/1010738.html,TRUE,2026-05-11
