id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
2600,北海道,釧路市,こども医療費助成制度,子育て,中学生まで無料,hasChildren,釧路市内に住む0歳から中学3年生までの子どものいる家庭が対象。保険診療の自己負担分を市が助成。,通年,釧路市 子ども保健課,https://www.city.kushiro.lg.jp/kosodate/,FALSE,2026-05-14
2601,北海道,釧路市,木造住宅耐震改修補助（釧路市）,住まい,最大100万円,ownsHome,昭和56年5月以前建築の木造住宅（個人所有）の耐震改修工事に対して費用の一部を補助。,令和8年12月末まで（予算上限あり）,釧路市 建築指導課,https://www.city.kushiro.lg.jp/kurashi/sumai/,FALSE,2026-05-14
2602,北海道,釧路市,結婚新生活支援補助金（釧路市）,生活支援,最大30万円,all,婚姻日時点で夫婦ともに39歳以下・世帯所得500万円未満の新婚世帯の住宅費・引越し費用を補助。,令和8年度（先着・予算上限あり）,釧路市 子育て支援課,https://www.city.kushiro.lg.jp/kosodate/,FALSE,2026-05-14
2603,北海道,釧路市,冬季暖房費灯油購入補助（釧路市）,生活支援,灯油代一部補助（世帯人数に応じた定額）,all,道東の厳しい冬の暖房費（灯油代）を市が一部負担。低所得世帯・子育て世帯を優先的に支援。,11月〜3月（冬季限定）,釧路市 福祉事務所 生活支援係,https://www.city.kushiro.lg.jp/fukushi/,FALSE,2026-05-14
2604,北海道,帯広市,こども医療費助成（帯広市）,子育て,高校生まで無料,hasChildren,帯広市在住の0歳〜高校3年生の子どもの医療費（保険診療分）を全額助成。子育て負担軽減を支援。,通年,帯広市 こども支援課,https://www.city.obihiro.hokkaido.jp/kosodate/,FALSE,2026-05-14
2605,北海道,帯広市,木造住宅耐震改修補助（帯広市）,住まい,最大100万円,ownsHome,旧耐震基準（昭56年以前）の木造住宅の耐震補強工事費の一部を補助。診断費も補助対象。,令和8年度内（事前相談必須）,帯広市 建築指導課,https://www.city.obihiro.hokkaido.jp/kurashi/,FALSE,2026-05-14
2606,北海道,帯広市,移住支援金（帯広市ふるさと就業支援）,ユニーク,単身60万円・世帯100万円（子加算30万円/人）,all,東京23区在住・在勤者が帯広市に移住し対象企業に就業または起業した場合に支援金を支給。,令和8年度内（移住後1年以内申請）,帯広市 企画課,https://www.city.obihiro.hokkaido.jp/iju/,FALSE,2026-05-14
2607,北海道,帯広市,自転車ヘルメット購入補助（帯広市）,安全,最大2000円,usesBike,帯広市内の自転車利用者のヘルメット着用促進のため購入費を補助。SGマーク等安全基準適合品が対象。,令和8年3月31日まで（予算上限あり）,帯広市 交通安全課,https://www.city.obihiro.hokkaido.jp/kurashi/kotsu/,FALSE,2026-05-14
2608,北海道,苫小牧市,こども医療費助成（苫小牧市）,子育て,中学生まで無料,hasChildren,苫小牧市在住の0歳〜中学3年生の子どものいる家庭の医療費自己負担を市が助成。,通年,苫小牧市 こども子育て課,https://www.city.tomakomai.hokkaido.jp/kosodate/,FALSE,2026-05-14
2609,北海道,苫小牧市,木造住宅耐震診断補助（苫小牧市）,住まい,診断費無料（市派遣）,ownsHome,昭和56年以前建築の木造住宅に市が耐震診断士を無料で派遣し耐震性能を診断。,令和8年度内（申込先着順）,苫小牧市 建築指導課,https://www.city.tomakomai.hokkaido.jp/kurashi/sumai/,FALSE,2026-05-14
2610,北海道,苫小牧市,結婚新生活支援補助金（苫小牧市）,生活支援,最大30万円,all,39歳以下の新婚夫婦（世帯所得500万円未満）の住居費・引越し費用を補助。,令和8年度（予算上限あり）,苫小牧市 子ども育成課,https://www.city.tomakomai.hokkaido.jp/kosodate/,FALSE,2026-05-14
2611,北海道,小樽市,こども医療費助成（小樽市）,子育て,中学生まで無料,hasChildren,小樽市在住の0歳〜中学3年生の子どもの医療費の一部または全部を市が助成。,通年,小樽市 こども家庭課,https://www.city.otaru.lg.jp/kosodate/,FALSE,2026-05-14
2612,北海道,小樽市,歴史的建築物・空き家改修補助（小樽市）,住まい,改修費の50%（上限100万円）,ownsHome,小樽市内の空き家・歴史的建物を活用する際のリノベーション工事費を補助。定住・観光振興が目的。,令和8年度（予算上限あり）,小樽市 建設部 住宅課,https://www.city.otaru.lg.jp/kurashi/juutaku/,FALSE,2026-05-14
2613,北海道,小樽市,移住支援金（小樽市定住促進）,ユニーク,最大50万円（子加算あり）,all,東京圏から小樽市に移住し就業・起業した世帯に移住支援金を支給。子育て世帯はさらに加算あり。,令和8年度内,小樽市 政策推進課,https://www.city.otaru.lg.jp/iju/,FALSE,2026-05-14
2614,岩手県,花巻市,こども医療費助成（花巻市）,子育て,高校生まで無料,hasChildren,花巻市在住の0歳〜高校3年生の子どものいる家庭の保険診療自己負担分を全額助成。,通年,花巻市 市民生活部 こども課,https://www.city.hanamaki.iwate.jp/kosodate/,FALSE,2026-05-14
2615,岩手県,花巻市,木造住宅耐震改修補助（花巻市）,住まい,最大100万円,ownsHome,昭和56年以前建築の木造住宅の耐震補強工事に補助。診断費・設計費も対象。,令和8年度内（予算上限あり）,花巻市 建設部 建築指導課,https://www.city.hanamaki.iwate.jp/kurashi/,FALSE,2026-05-14
2616,岩手県,花巻市,移住支援金（花巻市UIJターン）,ユニーク,単身60万円・世帯100万円（子加算30万円/人）,all,東京23区在住・在勤者が花巻市に移住し就業または起業した世帯に支援金を支給。,令和8年度内（移住後1年以内）,花巻市 地域振興部 移住定住推進課,https://www.city.hanamaki.iwate.jp/iju/,FALSE,2026-05-14
2617,岩手県,花巻市,結婚新生活支援補助（花巻市）,生活支援,最大30万円,all,39歳以下の新婚夫婦の住宅費・引越し費用の一部を補助。世帯所得500万円未満が条件。,令和8年度内（予算上限あり）,花巻市 健康福祉部 子ども課,https://www.city.hanamaki.iwate.jp/kosodate/,FALSE,2026-05-14
2618,岩手県,奥州市,こども医療費助成（奥州市）,子育て,高校生まで無料,hasChildren,奥州市在住の0歳〜高校3年生の子どもの医療費を市が助成。所得制限なし。,通年,奥州市 子ども未来部,https://www.city.oshu.iwate.jp/kosodate/,FALSE,2026-05-14
2619,岩手県,奥州市,木造住宅耐震改修補助（奥州市）,住まい,最大100万円,ownsHome,昭和56年以前建築の木造住宅の耐震改修工事費の一部を補助。,令和8年度内,奥州市 建設部 建築指導課,https://www.city.oshu.iwate.jp/kurashi/,FALSE,2026-05-14
2620,岩手県,奥州市,移住支援金（奥州市UIJターン）,ユニーク,単身60万円・世帯100万円（子加算30万円/人）,all,東京圏から奥州市に移住し就業または起業した世帯に支援金を支給。南部鉄器の産地として工芸・ものづくり職人も歓迎。,令和8年度内,奥州市 政策企画部 企画調整課,https://www.city.oshu.iwate.jp/iju/,FALSE,2026-05-14
2621,山形県,鶴岡市,こども医療費助成（鶴岡市）,子育て,高校生まで無料,hasChildren,鶴岡市在住の0歳〜高校3年生の子どもの医療費（保険診療分）を全額助成。,通年,鶴岡市 子育て推進課,https://www.city.tsuruoka.lg.jp/kosodate/,FALSE,2026-05-14
2622,山形県,鶴岡市,木造住宅耐震改修補助（鶴岡市）,住まい,最大100万円,ownsHome,昭和56年以前建築の木造住宅の耐震補強工事費を補助。診断費も助成対象。,令和8年度内（予算上限あり）,鶴岡市 建設部 建築指導課,https://www.city.tsuruoka.lg.jp/kurashi/,FALSE,2026-05-14
2623,山形県,鶴岡市,移住支援金（出羽庄内移住促進）,ユニーク,単身60万円・世帯100万円（子加算30万円/人）,all,東京圏から鶴岡市に移住し就業または起業した世帯に支援金を支給。庄内の豊かな食文化・自然を楽しめる。,令和8年度内,鶴岡市 企画部 政策推進課,https://www.city.tsuruoka.lg.jp/iju/,FALSE,2026-05-14
2624,山形県,鶴岡市,結婚新生活支援補助（鶴岡市）,生活支援,最大30万円,all,39歳以下の新婚夫婦の住宅費・引越し費用を補助。庄内地域で新生活を始めるカップルを応援。,令和8年度内,鶴岡市 子育て推進課,https://www.city.tsuruoka.lg.jp/kosodate/,FALSE,2026-05-14
