id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
3000,神奈川県,鎌倉市,ひとり親家庭等家賃助成制度,子育て,月最大9千円,hasChildren,月額家賃1万5千円以上10万円以内の民間賃貸住宅に住むひとり親家庭が対象。20歳未満の児童を養育し市内に1年以上居住・所得制限あり。,通年,鎌倉市 こどもみらい課,https://www.city.kamakura.kanagawa.jp/kosodate/yachinjosei.html,TRUE,2026-06-10
3001,神奈川県,鎌倉市,在宅子育て家庭支援事業,子育て,利用料の最大2分の1,hasChildren,妊娠中または未就学児を在宅養育する家庭等が対象。ファミリーサポートセンターや子育て支援事業者の利用料の半額を助成（月20時間まで・時間単価上限あり）。電子申請可。,通年,鎌倉市 こどもみらい課,https://www.city.kamakura.kanagawa.jp/kosodate/zaitaku.html,TRUE,2026-06-10
3002,神奈川県,鎌倉市,生ごみ処理機購入費助成制度,エコ,最大3万円,all,家庭用生ごみ処理機の購入費を助成。非電動型は購入額の90％・電動型は75％（いずれも上限3万円）。1世帯につき電動型1台・非電動型2台まで。,通年,鎌倉市 ごみ減量対策課,https://www.city.kamakura.kanagawa.jp/gomi/josei.html,TRUE,2026-06-10
3003,神奈川県,鎌倉市,木造住宅耐震改修工事費補助金,安全,最大100万円,ownsHome,昭和56年5月31日以前に着工した自己所有の木造一戸建て等が対象。耐震診断・補強設計・改修工事費の2分の1を補助。低所得者世帯等は上限120万円。,通年,鎌倉市 建築指導課,https://www.city.kamakura.kanagawa.jp/kenchikushidou/taishin-kaisyu.html,TRUE,2026-06-10
3004,神奈川県,鎌倉市,住宅用再生可能エネルギー・省エネ機器等設置費補助金,エコ,最大5万円,ownsHome,太陽光発電1kWあたり1万円（上限5万円）・蓄電池上限5万円・エネファーム上限4万円・V2H上限3万円。ZEH住宅等は5万円加算。市税滞納なしが要件。予算600万円で先着順。,令和9年3月1日まで,鎌倉市 環境政策課,https://www.city.kamakura.kanagawa.jp/kankyo/saiseihojyo.html,TRUE,2026-06-10
3005,神奈川県,秦野市,こども医療費助成制度,子育て,18歳まで無料,hasChildren,0歳から18歳の年度末までの子どもの保険診療自己負担分を助成。所得制限なし。医療証を県内医療機関の窓口で提示。県外受診は償還払い。,通年,秦野市 こども政策課,https://www.city.hadano.kanagawa.jp/info-search/hojokin/1/10073.html,TRUE,2026-06-10
3006,神奈川県,秦野市,結婚新生活支援事業助成金,生活支援,最大60万円,all,夫婦ともに40歳以下・合計所得500万円未満の新婚世帯の住居費・引越費用を助成。29歳以下なら最大60万円・40歳以下は最大30万円。3年以上の継続居住予定が要件。,令和9年2月末まで,秦野市 こども政策課,https://www.city.hadano.kanagawa.jp/info-search/hojokin/3/10098.html,TRUE,2026-06-10
3007,神奈川県,秦野市,はだのOMOTANライフ応援事業,住まい,最大60万円,ownsHome,40歳以下の方の市内戸建て・分譲マンション取得（中古含む）を支援。基本額20万円に転入・子育て・同居・結婚等の加算各10万円。登記から3か月以内に申請。,通年,秦野市 交通住宅課,https://www.city.hadano.kanagawa.jp/info-search/hojokin/3/10171.html,TRUE,2026-06-10
3008,神奈川県,秦野市,木造住宅耐震改修補助,安全,最大90万円,ownsHome,昭和56年5月31日以前建築の自己所有・居住の木造住宅が対象。耐震診断は全額（上限8万5千円）・改修工事は2分の1（上限90万円）を補助。事前相談が必要。,通年,秦野市 建築指導課,https://www.city.hadano.kanagawa.jp/info-search/hojokin/3/10110.html,TRUE,2026-06-10
3009,神奈川県,秦野市,木のある暮らしづくり補助金,ユニーク,最大10万コイン,ownsHome,秦野産木材を使用した市内の住宅建築等に電子地域通貨はだのコインで最大10万コインを交付。9月30日までに申請枠登録・事業完了後30日以内に申請。,申請枠登録は9月末まで,秦野市 森林ふれあい課,https://www.city.hadano.kanagawa.jp/soshiki/7/1045/4/shinrin-004/11928.html,TRUE,2026-06-10
3010,神奈川県,座間市,子育て世帯等住宅リフォーム補助金,子育て,最大30万円,hasChildren,18歳以下の子どもまたは妊婦がいる世帯の30万円以上（税抜）のリフォーム工事費の2分の1を補助。交付決定前の着工は対象外。通常版リフォーム補助との併用不可。,年数回募集（8月下旬等）,座間市 都市整備課,https://www.city.zama.kanagawa.jp/kurashi/sumai/josei/1013056.html,TRUE,2026-06-10
3011,神奈川県,座間市,住宅リフォーム補助制度,住まい,5万円（定額）,ownsHome,市内に住宅を所有し市税滞納がない方の10万円以上（税抜）のリフォーム工事に定額5万円を補助。交付決定前の着工は対象外。,年数回募集（8月下旬等）,座間市 都市整備課,https://www.city.zama.kanagawa.jp/kurashi/sumai/josei/1013056.html,TRUE,2026-06-10
3012,神奈川県,座間市,スマートハウス関連設備設置補助金,エコ,最大4万円,ownsHome,太陽光発電は1kWあたり1万円（上限4万円）・リチウムイオン蓄電池は定額4万円を補助。設置工事着手の14日前までに申請。市税滞納なしが要件。,通年（令和9年3月末まで）,座間市 ゼロカーボン推進課,https://www.city.zama.kanagawa.jp/shisei/seisaku/kankyo/josei/1004178.html,TRUE,2026-06-10
3013,神奈川県,座間市,特殊詐欺対策電話機器購入費補助,安全,最大5千円,hasElderly,自動録音機能付き電話機等の購入費の2分の1（上限5千円）を補助。昭和32年3月31日以前生まれの高齢者が対象。1世帯1回限り。予算の範囲内で先着順。,令和9年3月末まで,座間市 生活安全課,https://www.city.zama.kanagawa.jp/kurashi/koutsu/bouhan/1002546.html,TRUE,2026-06-10
3014,神奈川県,座間市,小児医療費助成,子育て,自己負担分を助成,hasChildren,座間市内に住む子どもの保険診療自己負担分を市が助成。対象年齢・所得要件等の詳細は市公式サイトで確認。,通年,座間市 子育て支援課,https://www.city.zama.kanagawa.jp/kosodate/ninshin/josei/index.html,FALSE,2026-06-10
3015,東京都,青梅市,移住支援金,ユニーク,最大100万円,all,市外から移住相談を経て転入し2年以内に住宅を取得した世帯主が対象。基本額10万円に空き家再生・若者・子育て（中学生以下1人10万円）等の加算。5年以上の定住意向が要件。,通年,青梅市 シティプロモーション課,https://www.city.ome.tokyo.jp/soshiki/76/69118.html,TRUE,2026-06-10
3016,東京都,青梅市,木造住宅耐震改修補助,安全,最大100万円,ownsHome,昭和56年5月以前の旧耐震基準で建築された2階建て以下の木造一戸建てが対象。改修費用の2分の1（上限100万円）を補助。耐震診断補助（上限9万円）もあり。,通年（12月上旬締切目安）,青梅市 住宅課,https://www.city.ome.tokyo.jp/soshiki/45/680.html,TRUE,2026-06-10
3017,東京都,青梅市,住宅用省エネルギー等設備普及促進補助制度,エコ,最大6万円,ownsHome,太陽光発電1kWあたり1万5千円（上限6万円）・高断熱窓上限5万円・蓄電池上限3万円。自ら居住する住宅の所有者が対象。先着順で予算到達次第終了。令和7年度は7月上旬に受付終了しており早期申請推奨。,5月受付開始・先着順,青梅市 環境政策課,https://www.city.ome.tokyo.jp/soshiki/22/67056.html,TRUE,2026-06-10
3018,東京都,青梅市,高校生等医療費助成制度（マル青）,子育て,18歳まで助成,hasChildren,高校生年代（18歳に達した日以後最初の3月31日まで）の子どもの保険診療自己負担分の一部を助成。医療証の交付申請が必要。,通年,青梅市 こども育成課,https://www.city.ome.tokyo.jp/soshiki/33/61976.html,TRUE,2026-06-10
3019,東京都,青梅市,介護保険住宅改修費の支給,福祉,最大20万円,hasElderly,要介護・要支援認定を受けた方の手すり取付・段差解消・便器の洋式化等の住宅改修費を支給。上限20万円のうち7～9割を補助。複数回に分割利用可。,通年,青梅市 介護保険課,https://www.city.ome.tokyo.jp/soshiki/29/612.html,TRUE,2026-06-10
3020,東京都,昭島市,家庭用防犯機器購入費補助事業,安全,最大3万円,all,防犯カメラ・カメラ付きインターホン・防犯フィルム・センサーライト等の侵入盗対策機器の購入・設置費を補助（上限3万円・令和7年度受給者は2万円）。1世帯1回限り。,令和8年6月1日～令和9年2月1日,昭島市 防災安全課,https://www.city.akishima.lg.jp/kurashi/bohan/1008259/1008262/1011800.html,TRUE,2026-06-10
3021,東京都,昭島市,住宅用新エネルギー機器等普及促進補助金,エコ,最大6万円,ownsHome,太陽光発電1kWあたり1万5千円（上限6万円）・蓄電池上限5万円・エネファーム5万円等。1機器のみ申請可・同一住宅1回限り。予算超過時は按分。,12月～1月受付,昭島市 環境課,https://www.city.akishima.lg.jp/machi/kankyo/1008380/1008381/1002588.html,TRUE,2026-06-10
3022,東京都,昭島市,昭島市給付型奨学金制度,子育て,月最大2万円,hasChildren,中学3年生対象の返済不要の奨学金。入学準備金8万円と月額最大2万円を給付。成績（平均3.5以上等）と就学援助相当の所得要件あり。募集15名。,9月上旬～中旬,昭島市 教育総務課,https://www.city.akishima.lg.jp/s113/020/010/030/030/20170825171044.html,TRUE,2026-06-10
3023,東京都,昭島市,木造住宅耐震改修等補助制度,住まい,最大60万円,ownsHome,耐震診断評点1.0未満の2階建て以下の木造一戸建てが対象。改修・建替え費用の3分の1（上限60万円）を補助。太陽光パネル同時設置で最大36万円を追加補助。,通年,昭島市 都市計画課,https://www.city.akishima.lg.jp/s093/010/020/030/20140914184729.html,TRUE,2026-06-10
3024,東京都,昭島市,子ども医療費助成制度,子育て,18歳まで助成,hasChildren,高校生年代までの子どもの保険診療自己負担分を助成。マイナポータルからの電子申請にも対応。詳細は市公式サイトで確認。,通年,昭島市 子ども未来課,https://www.city.akishima.lg.jp/li/030/030/080/,FALSE,2026-06-10
3025,東京都,小金井市,木造住宅耐震改修等助成金,安全,最大60万円,ownsHome,耐震診断評点1.0未満の2階建て以下の木造一戸建てが対象。改修費用の2分の1（上限60万円）・除却は2分の1（上限30万円）を助成。事前相談が必要。,通年,小金井市 まちづくり推進課,https://www.city.koganei.lg.jp/shisei/seisakukeikaku/machitoshi/jutaku_shien/taishinkaishuu.html,TRUE,2026-06-10
3026,東京都,小金井市,雨水貯留施設（雨水タンク）設置費補助金,エコ,最大3万円,ownsHome,市内の建物に雨水タンクを設置する方へ購入金額の2分の1（1台上限3万円）を補助。雨どいに接続する既製品が対象。事前申請必須・3年間は再申請不可。,令和9年1月末まで,小金井市 環境政策課,https://www.city.koganei.lg.jp/kurashi/473/hozyokin/D040101020140414.html,TRUE,2026-06-10
3027,東京都,小金井市,高齢者補聴器購入費助成,福祉,最大3万円,hasElderly,65歳以上の住民税非課税の方の補聴器購入費を上限3万円で助成。耳鼻咽喉科医の意見書が必要。購入前の事前申請必須。1人1台限り。,通年,小金井市 介護福祉課,https://www.city.koganei.lg.jp/kenkofukuhsi/koreishafukushi/oshirase/D0503030202308141533.html,TRUE,2026-06-10
3028,東京都,小金井市,中等度難聴児発達支援事業（補聴器購入費助成）,子育て,購入費の9割助成,hasChildren,身体障害者手帳の対象とならない18歳未満の難聴児の補聴器購入費の9割（非課税世帯等は10割）を基準価格内で助成。購入前の申請が必要。所得要件あり。,通年,小金井市 自立生活支援課,https://www.city.koganei.lg.jp/smph/kenkofukuhsi/shogaishafukushi/service/chutodonanchou.html,TRUE,2026-06-10
3029,東京都,小金井市,子ども医療費助成（高校生等まで）,子育て,18歳まで助成,hasChildren,高校生等までの子どもの保険診療自己負担分を助成。医療証の申請が必要。詳細は市公式サイトの手当・補助ページで確認。,通年,小金井市 子育て支援課,https://www.city.koganei.lg.jp/kosodatekyoiku/N84/index.html,FALSE,2026-06-10
3030,千葉県,習志野市,子どもの医療費等助成,子育て,18歳まで助成,hasChildren,0歳から高校3年生相当年齢（18歳になった日以後最初の3月31日）までの子どもの保険診療自己負担分を助成。令和4年4月から高校生相当まで拡大。,通年,習志野市 子育て支援課,https://www.city.narashino.lg.jp/soshiki/kosodate_shien/gyomu/teatejosei/4703_20100930113504175.html,TRUE,2026-06-10
