id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
3200,兵庫県,宝塚市,乳幼児等・こども医療費助成,子育て,中学生まで無料,hasChildren,"宝塚市内に住む0歳から中学3年生までの子どもの保険診療自己負担分を無料化。1歳以上は所得制限なし。高校生等は入院医療費も助成対象。",通年,宝塚市 医療助成課,https://www.city.takarazuka.hyogo.jp/kurashi/nenkin/1041227/1040013.html,TRUE,2026-06-10
3201,兵庫県,宝塚市,地域脱炭素移行・再エネ推進助成金,エコ,太陽光7万円/kW,ownsHome,"自宅に太陽光発電設備（個人1kWあたり7万円）や蓄電池（対象経費の3分の1）を導入する市民を助成。市税滞納がないことが条件。申請窓口は宝塚商工会議所内の事務局。",2026年6月1日〜2027年1月29日（予算到達まで）,宝塚市 環境エネルギー課,https://www.city.takarazuka.hyogo.jp/1060685/1060714/1061609/energy/1014263/1052998.html,TRUE,2026-06-10
3202,兵庫県,宝塚市,住宅耐震化促進事業,安全,最大115万円,ownsHome,"1981年5月31日以前着工で耐震診断の結果安全性が低いと判定された住宅の耐震改修工事費を5分の4以内・最大115万円補助。簡易耐震改修や屋根軽量化（上限60万円）・防災ベッド設置（定額10万円）メニューもあり。",2026年5月7日受付開始（先着順）,宝塚市 建築指導課,https://www.city.takarazuka.hyogo.jp/kurashi/sumai/1010169/1000400.html,TRUE,2026-06-10
3203,兵庫県,宝塚市,高齢者住宅改造費助成,福祉,改造費の一部,hasElderly,"高齢者が住み慣れた家で長く暮らせるよう手すり設置や段差解消などバリアフリー改造工事費の一部を助成。令和8年度は4月1日から受付開始。",通年（予算到達まで）,宝塚市 高齢福祉課,https://www.city.takarazuka.hyogo.jp/kurashi/sumai/1008343/1000406.html,TRUE,2026-06-10
3204,兵庫県,宝塚市,障碍高齢者タクシー運賃助成,生活支援,運賃の一部助成,hasElderly,"身体に障碍のある高齢者の外出を支援するためタクシー運賃の一部を助成。一般高齢者向けのバス・タクシー運賃助成事業は廃止されているため対象条件に注意。",通年,宝塚市 高齢福祉課,https://www.city.takarazuka.hyogo.jp/kenkofukushi/koreisha/1049450/index.html,FALSE,2026-06-10
3205,兵庫県,加古川市,乳幼児等・こども医療費助成,子育て,18歳まで無料,hasChildren,"加古川市内に住む0歳から18歳までの子どもの医療費を無料化。安心して医療機関を受診できるよう保険診療の自己負担分を市が助成。",通年,加古川市 医療助成・年金課,https://www.city.kakogawa.lg.jp/soshikikarasagasu/kenkouiryou/iryojoseinenkinka/iryojosei/1416213237850.html,TRUE,2026-06-10
3206,兵庫県,加古川市,結婚新生活支援補助金,生活支援,最大60万円,all,"新婚世帯の住居費・リフォーム費・引越費用を補助。夫婦とも29歳以下は最大60万円・夫婦とも39歳以下は最大30万円。所得要件あり・先着順で予算到達次第終了。",2026年6月1日〜2027年3月31日（先着順）,加古川市 こども政策課,https://www.city.kakogawa.lg.jp/soshikikarasagasu/kodomo/kodomoseisaku/kekkonshinseikatsu/31177.html,TRUE,2026-06-10
3207,兵庫県,加古川市,再生可能エネルギー利用設備設置事業補助金,エコ,最大42万円,ownsHome,"住宅用太陽光発電設備の設置費を最大出力1kWあたり14万円（上限42万円）補助。市内に住民登録があり市税滞納がない方が対象。過去に同補助金を受けた方は対象外。",2026年4月20日〜2027年3月31日,加古川市 環境政策課,https://www.city.kakogawa.lg.jp/soshikikarasagasu/kankyobu/kankyo_sesaku/seisaku/hojo_josei/43146.html,TRUE,2026-06-10
3208,兵庫県,加古川市,住宅改造費助成事業,福祉,改造費の一部,hasElderly,"要介護・要支援認定者や身体障害者手帳保有者のいる世帯のバリアフリー住宅改造費を助成。給与収入800万円以下等の収入要件あり。過去に受給した世帯は対象外。",通年（予算到達まで）,加古川市 介護保険課 給付係,https://www.city.kakogawa.lg.jp/soshikikarasagasu/fukushibu/kaigohokenka/kakushushinseisho/j_kaisyu_kaizo/1413872945470.html,TRUE,2026-06-10
3209,兵庫県,加古川市,家庭用蓄電池導入補助金,エコ,導入費の一部,ownsHome,"太陽光発電設備の設置から10年が経過した家庭の蓄電池導入を補助。再生可能エネルギーの自家消費量増加と温室効果ガス削減が目的。",通年（予算到達まで）,加古川市 環境政策課,https://www.city.kakogawa.lg.jp/soshikikarasagasu/kankyobu/kankyo_sesaku/seisaku/hojo_josei/49703.html,FALSE,2026-06-10
3210,兵庫県,川西市,こども医療費助成（福祉医療費助成）,子育て,高3まで無料,hasChildren,"0歳から高校3年生（18歳到達後最初の3月31日）までの子どもの外来・入院医療費を無料化。令和5年7月から所得制限なし。",通年,川西市 医療助成・年金課,https://www.city.kawanishi.hyogo.jp/kurashi/fukushi_kaigo/kenko/1001276.html,TRUE,2026-06-10
