id,prefecture,city,title,category,amount,condition,desc,period,contact,applicationUrl,verified,lastChecked
3300,石川県,小松市,「ようこそ小松」定住促進奨励金,住まい,最大40万円,all,市外に3年以上居住後に転入し一戸建ての自己居住用住宅（専用面積50平米以上）に住む転入2年未満の人に基本額30万円を交付。申請者が45歳以下の若者世帯は10万円加算。市税滞納なしが条件。,令和8年4月1日〜令和9年3月19日,小松市 建築住宅課（0761-24-8104）,https://www.city.komatsu.lg.jp/soshiki/1027/teijuusokushinshienseido/2221.html,TRUE,2026-06-11
3301,石川県,小松市,おなかの赤ちゃん給付金・うまれた赤ちゃん給付金,子育て,計15万円,hasChildren,妊婦給付認定後に5万円・出産予定日8週間前経過後に胎児1人につき5万円・出生後に新生児1人につき5万円を給付。出生後最初の住民登録が小松市であること等が条件。,通年（うまれた赤ちゃん給付金は出生翌日から4か月以内）,小松市 子育て支援課（0761-24-8057）,https://www.city.komatsu.lg.jp/soshiki/1029/kakushuteate/17636.html,TRUE,2026-06-11
3302,石川県,小松市,再生可能エネルギー設備設置費補助金,エコ,最大30万円,ownsHome,市内の住宅に設置する住宅用蓄電システム一律5万円・V2H充放電設備一律10万円・バイオマス設備最大30万円等を補助。工事開始2週間前までに申請。市税滞納なしが条件。,通年（予算上限あり）,小松市 環境推進課（0761-24-8067）,https://www.city.komatsu.lg.jp/soshiki/1021/kankyou/6/3273.html,TRUE,2026-06-11
3303,石川県,小松市,木造住宅耐震・防火改修工事費等補助金,安全,改修費用の一部,ownsHome,木造住宅の簡易耐震診断・耐震改修・防火改修を行う際の費用の一部を助成。対象要件や補助額の詳細は建築住宅課へ確認。,通年,小松市 建築住宅課（0761-24-8105）,https://www.city.komatsu.lg.jp/soshiki/1027/teijuusokushinshienseido/728.html,TRUE,2026-06-11
3304,石川県,小松市,高齢者自立支援型住宅リフォーム推進事業,福祉,リフォーム費の一部,hasElderly,介護を要する高齢者がいる世帯の浴室・トイレ等のバリアフリー改修費用を助成。障がいのある人向けの住宅リフォーム助成制度もあり。詳細は担当課へ確認。,通年,小松市 長寿介護課（0761-24-8149）,https://www.city.komatsu.lg.jp/soshiki/1027/teijuusokushinshienseido/728.html,TRUE,2026-06-11
3305,石川県,七尾市,定住促進住宅取得奨励金,住まい,最大20万円＋各種加算,all,延床面積70平米以上の一戸建て住宅を金融機関借入で取得した人に借入額の2%（上限20万円・中古は1%上限10万円）を交付。市内業者新築＋上限10万円・市外転入＋上限20万円・中学生以下の子1人につき＋上限10万円の加算あり。,通年,七尾市 住宅再建課（0767-53-8468）,https://www.city.nanao.lg.jp/juutakusaiken/20120601.html,TRUE,2026-06-11
3306,石川県,七尾市,既存木造住宅耐震対策補助金,安全,最大280万円,ownsHome,昭和56年5月31日以前着工の木造住宅の耐震改修工事費を10分の10（280万円限度）で全額補助。簡易耐震診断は図面ありなら無料。申請前の来庁は電話予約制。,通年,七尾市 都市建築課（0767-53-8429）,https://www.city.nanao.lg.jp/toshikenchiku/kurashi/sumai/sumai/mo-taishin.html,TRUE,2026-06-11
3307,石川県,七尾市,移住定住者向け住宅家賃補助,生活支援,月最大1万円＋子ども加算,all,石川県外から転入後3年以内で民間賃貸住宅に入居する移住者に月額家賃の50%（単身5000円・夫婦1万円上限）を補助。15歳未満の子ども1人につき月5000円加算。過去10年以上県内に住んでいないこと等が条件。,通年,七尾市 産業振興課（0767-53-8565）,https://www.city.nanao.lg.jp/sangyou-s/sumai/sumai/hojokin/jutakuyachin.html,TRUE,2026-06-11
3308,石川県,七尾市,結婚新生活支援事業,生活支援,最大60万円,all,令和8年1月1日以降に婚姻届が受理された39歳以下・令和7年所得合計500万円未満の新婚世帯に住宅購入費・リフォーム費・賃借費用・引越費用を補助。夫婦とも29歳以下は最大60万円・39歳以下は最大30万円。,通年（予算上限あり）,七尾市 子育て支援課（0767-53-8419）,https://www.city.nanao.lg.jp/kosodate/2024kekkon_newlife.html,TRUE,2026-06-11
3309,石川県,七尾市,住まいの省エネ促進事業費補助金,エコ,最大20万円,ownsHome,県補助金の交付を受けてZEH等の省エネ住宅を新築・購入・改修する人に補助。ZEHは上限20万円・NearlyZEH等は上限10万円。令和7年度分は予算上限到達で受付終了済みのため次年度実施は市に要確認。,年度ごと（予算上限あり）,七尾市 環境課（0767-53-8421）,https://www.city.nanao.lg.jp/kankyo/kurashi/recycling/kankyo/hojo_sumai.html,TRUE,2026-06-11
